ward,precinct,total,Joseph Mario Moreno,Joseph Mario Moreno Percent,Jesus G. Garcia,Jesus G. Garcia Percent,precinct_id
3,13,85,33,38.82,52,61.18,03013
3,19,16,12,75.0,4,25.0,03019
11,1,1,1,100.0,0,0.0,11001
11,2,136,51,37.5,85,62.5,11002
11,3,104,49,47.12,55,52.88,11003
11,6,154,76,49.35,78,50.65,11006
11,10,0,0,0.0,0,0.0,11010
11,17,171,76,44.44,95,55.56,11017
11,30,12,8,66.67,4,33.33,11030
12,1,63,32,50.79,31,49.21,12001
12,2,94,42,44.68,52,55.32,12002
12,3,80,37,46.25,43,53.75,12003
12,4,46,21,45.65,25,54.35,12004
12,5,80,37,46.25,43,53.75,12005
12,6,66,23,34.85,43,65.15,12006
12,7,101,31,30.69,70,69.31,12007
12,8,62,29,46.77,33,53.23,12008
12,9,69,39,56.52,30,43.48,12009
12,10,87,37,42.53,50,57.47,12010
12,11,133,56,42.11,77,57.89,12011
12,12,54,31,57.41,23,42.59,12012
12,13,122,62,50.82,60,49.18,12013
12,14,95,42,44.21,53,55.79,12014
12,15,75,31,41.33,44,58.67,12015
12,16,83,26,31.33,57,68.67,12016
12,17,109,56,51.38,53,48.62,12017
12,18,64,27,42.19,37,57.81,12018
12,19,106,50,47.17,56,52.83,12019
12,20,75,38,50.67,37,49.33,12020
12,21,86,46,53.49,40,46.51,12021
12,22,83,30,36.14,53,63.86,12022
12,23,106,57,53.77,49,46.23,12023
12,24,114,56,49.12,58,50.88,12024
13,3,186,91,48.92,95,51.08,13003
13,5,20,12,60.0,8,40.0,13005
13,15,203,124,61.08,79,38.92,13015
13,16,73,45,61.64,28,38.36,13016
13,18,151,70,46.36,81,53.64,13018
13,20,158,75,47.47,83,52.53,13020
13,28,111,53,47.75,58,52.25,13028
13,30,209,137,65.55,72,34.45,13030
13,31,196,102,52.04,94,47.96,13031
13,33,149,103,69.13,46,30.87,13033
13,34,234,166,70.94,68,29.06,13034
13,35,37,29,78.38,8,21.62,13035
13,39,10,5,50.0,5,50.0,13039
13,40,12,9,75.0,3,25.0,13040
13,46,76,33,43.42,43,56.58,13046
14,1,85,52,61.18,33,38.82,14001
14,3,175,85,48.57,90,51.43,14003
14,4,102,48,47.06,54,52.94,14004
14,5,181,106,58.56,75,41.44,14005
14,6,132,61,46.21,71,53.79,14006
14,7,116,76,65.52,40,34.48,14007
14,8,87,49,56.32,38,43.68,14008
14,9,173,108,62.43,65,37.57,14009
14,10,111,65,58.56,46,41.44,14010
14,11,122,83,68.03,39,31.97,14011
14,12,101,73,72.28,28,27.72,14012
14,13,187,119,63.64,68,36.36,14013
14,14,92,54,58.7,38,41.3,14014
14,15,153,104,67.97,49,32.03,14015
14,16,107,66,61.68,41,38.32,14016
14,17,110,58,52.73,52,47.27,14017
14,18,89,47,52.81,42,47.19,14018
14,19,158,100,63.29,58,36.71,14019
14,20,94,45,47.87,49,52.13,14020
14,21,137,89,64.96,48,35.04,14021
14,22,140,68,48.57,72,51.43,14022
14,23,125,73,58.4,52,41.6,14023
14,24,105,50,47.62,55,52.38,14024
14,26,113,57,50.44,56,49.56,14026
14,27,172,114,66.28,58,33.72,14027
14,29,152,104,68.42,48,31.58,14029
14,30,110,78,70.91,32,29.09,14030
14,31,116,84,72.41,32,27.59,14031
14,32,117,52,44.44,65,55.56,14032
14,33,98,65,66.33,33,33.67,14033
14,34,133,91,68.42,42,31.58,14034
14,35,107,54,50.47,53,49.53,14035
15,1,80,51,63.75,29,36.25,15001
15,10,71,29,40.85,42,59.15,15010
15,14,109,38,34.86,71,65.14,15014
15,16,76,37,48.68,39,51.32,15016
15,25,66,19,28.79,47,71.21,15025
15,28,101,47,46.53,54,53.47,15028
15,32,78,41,52.56,37,47.44,15032
15,44,80,31,38.75,49,61.25,15044
15,49,55,25,45.45,30,54.55,15049
16,1,34,17,50.0,17,50.0,16001
16,4,61,34,55.74,27,44.26,16004
16,13,55,24,43.64,31,56.36,16013
16,17,96,29,30.21,67,69.79,16017
16,21,71,26,36.62,45,63.38,16021
16,23,51,24,47.06,27,52.94,16023
16,32,83,45,54.22,38,45.78,16032
16,35,80,30,37.5,50,62.5,16035
16,39,108,50,46.3,58,53.7,16039
16,42,55,22,40.0,33,60.0,16042
16,44,11,5,45.45,6,54.55,16044
20,4,76,28,36.84,48,63.16,20004
20,8,47,30,63.83,17,36.17,20008
20,15,87,53,60.92,34,39.08,20015
20,21,53,25,47.17,28,52.83,20021
20,41,37,17,45.95,20,54.05,20041
22,1,88,17,19.32,71,80.68,22001
22,2,81,23,28.4,58,71.6,22002
22,3,137,46,33.58,91,66.42,22003
22,4,99,36,36.36,63,63.64,22004
22,5,140,24,17.14,116,82.86,22005
22,6,119,21,17.65,98,82.35,22006
22,8,65,13,20.0,52,80.0,22008
22,9,122,25,20.49,97,79.51,22009
22,10,132,29,21.97,103,78.03,22010
22,11,102,29,28.43,73,71.57,22011
22,12,102,29,28.43,73,71.57,22012
22,13,140,42,30.0,98,70.0,22013
22,14,61,11,18.03,50,81.97,22014
22,15,73,22,30.14,51,69.86,22015
22,16,141,28,19.86,113,80.14,22016
22,17,133,21,15.79,112,84.21,22017
22,18,124,25,20.16,99,79.84,22018
22,20,137,31,22.63,106,77.37,22020
22,22,77,21,27.27,56,72.73,22022
22,23,160,22,13.75,138,86.25,22023
22,24,97,17,17.53,80,82.47,22024
22,25,105,32,30.48,73,69.52,22025
22,26,96,30,31.25,66,68.75,22026
22,27,148,36,24.32,112,75.68,22027
22,28,71,18,25.35,53,74.65,22028
22,29,69,23,33.33,46,66.67,22029
