ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,18,13,13,100.0,33018
38,5,159,159,100.0,38005
38,7,93,93,100.0,38007
38,10,114,114,100.0,38010
38,20,140,140,100.0,38020
39,1,99,99,100.0,39001
39,2,140,140,100.0,39002
39,3,152,152,100.0,39003
39,4,94,94,100.0,39004
39,5,86,86,100.0,39005
39,6,99,99,100.0,39006
39,7,80,80,100.0,39007
39,8,116,116,100.0,39008
39,9,150,150,100.0,39009
39,10,91,91,100.0,39010
39,11,147,147,100.0,39011
39,12,16,16,100.0,39012
39,14,111,111,100.0,39014
39,15,105,105,100.0,39015
39,16,78,78,100.0,39016
39,17,71,71,100.0,39017
39,18,110,110,100.0,39018
39,19,61,61,100.0,39019
39,20,103,103,100.0,39020
39,21,79,79,100.0,39021
39,25,97,97,100.0,39025
39,26,105,105,100.0,39026
39,32,77,77,100.0,39032
39,33,107,107,100.0,39033
39,34,111,111,100.0,39034
39,35,106,106,100.0,39035
39,36,100,100,100.0,39036
39,37,184,184,100.0,39037
39,38,119,119,100.0,39038
39,39,59,59,100.0,39039
39,40,72,72,100.0,39040
39,41,36,36,100.0,39041
39,42,103,103,100.0,39042
39,43,86,86,100.0,39043
39,45,52,52,100.0,39045
39,47,67,67,100.0,39047
40,1,27,27,100.0,40001
40,2,8,8,100.0,40002
40,10,35,35,100.0,40010
40,17,54,54,100.0,40017
40,20,11,11,100.0,40020
40,24,36,36,100.0,40024
40,29,129,129,100.0,40029
40,30,165,165,100.0,40030
40,31,86,86,100.0,40031
40,32,48,48,100.0,40032
40,34,63,63,100.0,40034
40,38,48,48,100.0,40038
40,48,53,53,100.0,40048
40,49,49,49,100.0,40049
41,6,152,152,100.0,41006
41,10,149,149,100.0,41010
41,14,176,176,100.0,41014
41,19,192,192,100.0,41019
41,23,120,120,100.0,41023
41,39,103,103,100.0,41039
41,44,150,150,100.0,41044
41,47,145,145,100.0,41047
41,54,130,130,100.0,41054
41,57,107,107,100.0,41057
45,4,175,175,100.0,45004
45,5,174,174,100.0,45005
45,10,135,135,100.0,45010
45,12,122,122,100.0,45012
45,14,106,106,100.0,45014
45,24,140,140,100.0,45024
45,36,101,101,100.0,45036
50,25,9,9,100.0,50025
50,44,77,77,100.0,50044
50,45,51,51,100.0,50045
