ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,precinct_id
13,1,150,150,100.0,13001
13,2,99,99,100.0,13002
13,4,150,150,100.0,13004
13,5,144,144,100.0,13005
13,6,111,111,100.0,13006
13,7,116,116,100.0,13007
13,8,154,154,100.0,13008
13,9,136,136,100.0,13009
13,10,107,107,100.0,13010
13,11,113,113,100.0,13011
13,12,111,111,100.0,13012
13,13,151,151,100.0,13013
13,14,121,121,100.0,13014
13,15,176,176,100.0,13015
13,16,177,177,100.0,13016
13,17,144,144,100.0,13017
13,19,99,99,100.0,13019
13,21,149,149,100.0,13021
13,22,92,92,100.0,13022
13,23,120,120,100.0,13023
13,24,128,128,100.0,13024
13,25,102,102,100.0,13025
13,26,125,125,100.0,13026
13,27,144,144,100.0,13027
13,28,105,105,100.0,13028
13,29,141,141,100.0,13029
13,30,25,25,100.0,13030
13,31,31,31,100.0,13031
13,32,115,115,100.0,13032
13,33,125,125,100.0,13033
13,34,177,177,100.0,13034
13,35,169,169,100.0,13035
13,36,77,77,100.0,13036
13,37,139,139,100.0,13037
13,38,134,134,100.0,13038
13,39,134,134,100.0,13039
13,40,153,153,100.0,13040
13,41,118,118,100.0,13041
13,42,133,133,100.0,13042
13,43,149,149,100.0,13043
13,44,126,126,100.0,13044
13,45,163,163,100.0,13045
13,46,136,136,100.0,13046
