ward,precinct,total,Ante Marijan,Ante Marijan Percent,precinct_id
11,1,0,0,0.0,11001
11,2,0,0,0.0,11002
11,3,0,0,0.0,11003
11,4,0,0,0.0,11004
11,5,0,0,0.0,11005
11,6,0,0,0.0,11006
11,7,0,0,0.0,11007
11,8,0,0,0.0,11008
11,9,0,0,0.0,11009
11,10,0,0,0.0,11010
11,11,0,0,0.0,11011
11,12,0,0,0.0,11012
11,13,0,0,0.0,11013
11,14,1,1,100.0,11014
11,15,0,0,0.0,11015
11,16,0,0,0.0,11016
11,17,1,1,100.0,11017
11,18,0,0,0.0,11018
11,19,0,0,0.0,11019
11,20,0,0,0.0,11020
11,21,0,0,0.0,11021
11,22,0,0,0.0,11022
11,23,0,0,0.0,11023
11,24,0,0,0.0,11024
11,25,1,1,100.0,11025
11,26,0,0,0.0,11026
11,27,0,0,0.0,11027
11,28,0,0,0.0,11028
11,29,0,0,0.0,11029
11,30,1,1,100.0,11030
11,31,0,0,0.0,11031
11,32,0,0,0.0,11032
11,33,0,0,0.0,11033
11,34,0,0,0.0,11034
11,35,0,0,0.0,11035
11,36,0,0,0.0,11036
11,37,0,0,0.0,11037
11,38,0,0,0.0,11038
11,39,0,0,0.0,11039
11,40,0,0,0.0,11040
11,41,1,1,100.0,11041
11,42,0,0,0.0,11042
11,43,0,0,0.0,11043
11,44,0,0,0.0,11044
11,45,0,0,0.0,11045
11,46,0,0,0.0,11046
11,47,0,0,0.0,11047
11,48,0,0,0.0,11048
11,49,0,0,0.0,11049
11,50,0,0,0.0,11050
