ward,precinct,total,Nathan Kantrowitz,Nathan Kantrowitz Percent,precinct_id
48,1,0,0,0.0,48001
48,2,0,0,0.0,48002
48,3,0,0,0.0,48003
48,4,0,0,0.0,48004
48,5,1,1,100.0,48005
48,6,1,1,100.0,48006
48,7,0,0,0.0,48007
48,8,0,0,0.0,48008
48,9,0,0,0.0,48009
48,10,0,0,0.0,48010
48,11,1,1,100.0,48011
48,12,0,0,0.0,48012
48,13,0,0,0.0,48013
48,14,1,1,100.0,48014
48,15,0,0,0.0,48015
48,16,0,0,0.0,48016
48,17,0,0,0.0,48017
48,18,1,1,100.0,48018
48,19,0,0,0.0,48019
48,20,0,0,0.0,48020
48,21,0,0,0.0,48021
48,22,1,1,100.0,48022
48,23,2,2,100.0,48023
48,24,0,0,0.0,48024
48,25,0,0,0.0,48025
48,26,1,1,100.0,48026
48,27,0,0,0.0,48027
48,28,0,0,0.0,48028
48,29,0,0,0.0,48029
48,30,0,0,0.0,48030
48,31,0,0,0.0,48031
48,32,1,1,100.0,48032
48,33,1,1,100.0,48033
48,34,0,0,0.0,48034
48,35,1,1,100.0,48035
48,36,1,1,100.0,48036
48,37,0,0,0.0,48037
48,38,0,0,0.0,48038
48,39,0,0,0.0,48039
48,40,0,0,0.0,48040
48,41,1,1,100.0,48041
48,42,1,1,100.0,48042
48,43,0,0,0.0,48043
48,44,1,1,100.0,48044
48,45,0,0,0.0,48045
48,46,0,0,0.0,48046
48,47,2,2,100.0,48047
48,48,1,1,100.0,48048
48,49,0,0,0.0,48049
48,50,0,0,0.0,48050
48,51,0,0,0.0,48051
48,52,0,0,0.0,48052
48,53,0,0,0.0,48053
48,54,0,0,0.0,48054
