ward,precinct,total,Michael Karijolich,Michael Karijolich Percent,precinct_id
38,1,0,0,0.0,38001
38,2,0,0,0.0,38002
38,3,0,0,0.0,38003
38,4,0,0,0.0,38004
38,5,0,0,0.0,38005
38,6,0,0,0.0,38006
38,7,0,0,0.0,38007
38,8,0,0,0.0,38008
38,9,0,0,0.0,38009
38,10,0,0,0.0,38010
38,11,0,0,0.0,38011
38,12,0,0,0.0,38012
38,13,0,0,0.0,38013
38,14,0,0,0.0,38014
38,15,0,0,0.0,38015
38,16,0,0,0.0,38016
38,17,0,0,0.0,38017
38,18,2,2,100.0,38018
38,19,0,0,0.0,38019
38,20,1,1,100.0,38020
38,21,0,0,0.0,38021
38,22,0,0,0.0,38022
38,23,0,0,0.0,38023
38,24,0,0,0.0,38024
38,25,0,0,0.0,38025
38,26,0,0,0.0,38026
38,27,0,0,0.0,38027
38,28,0,0,0.0,38028
38,29,0,0,0.0,38029
38,30,0,0,0.0,38030
38,31,0,0,0.0,38031
38,32,1,1,100.0,38032
38,33,0,0,0.0,38033
38,34,0,0,0.0,38034
38,35,0,0,0.0,38035
38,36,1,1,100.0,38036
38,37,0,0,0.0,38037
38,38,0,0,0.0,38038
38,39,0,0,0.0,38039
38,40,0,0,0.0,38040
38,41,0,0,0.0,38041
38,42,0,0,0.0,38042
38,43,0,0,0.0,38043
38,44,1,1,100.0,38044
38,45,0,0,0.0,38045
38,46,0,0,0.0,38046
38,47,0,0,0.0,38047
38,48,0,0,0.0,38048
38,49,0,0,0.0,38049
38,50,0,0,0.0,38050
38,51,0,0,0.0,38051
38,52,0,0,0.0,38052
38,53,0,0,0.0,38053
