ward,precinct,total,Gerald Mead-Lucero,Gerald Mead-Lucero Percent,precinct_id
25,1,0,0,0.0,25001
25,2,3,3,100.0,25002
25,3,0,0,0.0,25003
25,4,0,0,0.0,25004
25,5,1,1,100.0,25005
25,6,0,0,0.0,25006
25,7,2,2,100.0,25007
25,8,1,1,100.0,25008
25,9,0,0,0.0,25009
25,10,0,0,0.0,25010
25,11,0,0,0.0,25011
25,12,2,2,100.0,25012
25,13,0,0,0.0,25013
25,14,0,0,0.0,25014
25,15,0,0,0.0,25015
25,16,0,0,0.0,25016
25,17,3,3,100.0,25017
25,18,0,0,0.0,25018
25,19,1,1,100.0,25019
25,20,1,1,100.0,25020
25,21,1,1,100.0,25021
25,22,0,0,0.0,25022
25,23,2,2,100.0,25023
25,24,1,1,100.0,25024
25,25,0,0,0.0,25025
25,26,0,0,0.0,25026
25,27,0,0,0.0,25027
25,28,0,0,0.0,25028
25,29,0,0,0.0,25029
25,30,1,1,100.0,25030
25,31,0,0,0.0,25031
