ward,precinct,total,Craig Brozefsky,Craig Brozefsky Percent,precinct_id
35,1,0,0,0.0,35001
35,2,0,0,0.0,35002
35,3,1,1,100.0,35003
35,4,0,0,0.0,35004
35,5,1,1,100.0,35005
35,6,0,0,0.0,35006
35,7,1,1,100.0,35007
35,8,0,0,0.0,35008
35,9,0,0,0.0,35009
35,10,0,0,0.0,35010
35,11,1,1,100.0,35011
35,12,3,3,100.0,35012
35,13,0,0,0.0,35013
35,14,0,0,0.0,35014
35,15,1,1,100.0,35015
35,16,1,1,100.0,35016
35,17,0,0,0.0,35017
35,18,1,1,100.0,35018
35,19,1,1,100.0,35019
35,20,0,0,0.0,35020
35,21,2,2,100.0,35021
35,22,0,0,0.0,35022
35,23,1,1,100.0,35023
35,24,0,0,0.0,35024
35,25,3,3,100.0,35025
35,26,0,0,0.0,35026
35,27,2,2,100.0,35027
35,28,2,2,100.0,35028
35,29,0,0,0.0,35029
35,30,3,3,100.0,35030
35,31,0,0,0.0,35031
35,32,0,0,0.0,35032
35,33,0,0,0.0,35033
35,34,1,1,100.0,35034
35,35,0,0,0.0,35035
35,36,1,1,100.0,35036
