ward,precinct,total,John ''Jack'' Ailey,John ''Jack'' Ailey Percent,precinct_id
22,1,0,0,0.0,22001
22,2,0,0,0.0,22002
22,3,0,0,0.0,22003
22,4,0,0,0.0,22004
22,5,0,0,0.0,22005
22,6,0,0,0.0,22006
22,7,0,0,0.0,22007
22,8,0,0,0.0,22008
22,9,0,0,0.0,22009
22,10,0,0,0.0,22010
22,11,0,0,0.0,22011
22,12,0,0,0.0,22012
22,13,2,2,100.0,22013
22,14,0,0,0.0,22014
22,15,0,0,0.0,22015
22,16,0,0,0.0,22016
22,17,0,0,0.0,22017
22,18,0,0,0.0,22018
22,19,0,0,0.0,22019
22,20,0,0,0.0,22020
22,21,0,0,0.0,22021
22,22,0,0,0.0,22022
22,23,0,0,0.0,22023
22,24,0,0,0.0,22024
22,25,0,0,0.0,22025
22,26,0,0,0.0,22026
22,27,0,0,0.0,22027
22,28,0,0,0.0,22028
22,29,0,0,0.0,22029
