ward,precinct,total,Terrence A. Gilhooly,Terrence A. Gilhooly Percent,precinct_id
41,1,1,1,100.0,41001
41,2,0,0,0.0,41002
41,3,0,0,0.0,41003
41,4,0,0,0.0,41004
41,5,1,1,100.0,41005
41,6,0,0,0.0,41006
41,7,0,0,0.0,41007
41,8,0,0,0.0,41008
41,9,1,1,100.0,41009
41,10,0,0,0.0,41010
41,11,1,1,100.0,41011
41,12,0,0,0.0,41012
41,13,0,0,0.0,41013
41,14,0,0,0.0,41014
41,15,0,0,0.0,41015
41,16,0,0,0.0,41016
41,17,0,0,0.0,41017
41,18,0,0,0.0,41018
41,19,0,0,0.0,41019
41,20,0,0,0.0,41020
41,21,0,0,0.0,41021
41,22,0,0,0.0,41022
41,23,0,0,0.0,41023
41,24,0,0,0.0,41024
41,25,0,0,0.0,41025
41,26,0,0,0.0,41026
41,27,0,0,0.0,41027
41,28,0,0,0.0,41028
41,29,0,0,0.0,41029
41,30,0,0,0.0,41030
41,31,0,0,0.0,41031
41,32,0,0,0.0,41032
41,33,0,0,0.0,41033
41,34,0,0,0.0,41034
41,35,1,1,100.0,41035
41,36,1,1,100.0,41036
41,37,0,0,0.0,41037
41,38,0,0,0.0,41038
41,39,0,0,0.0,41039
41,40,0,0,0.0,41040
41,41,0,0,0.0,41041
41,42,0,0,0.0,41042
41,43,0,0,0.0,41043
41,44,0,0,0.0,41044
41,45,0,0,0.0,41045
41,46,0,0,0.0,41046
41,47,0,0,0.0,41047
41,48,0,0,0.0,41048
41,49,0,0,0.0,41049
41,50,0,0,0.0,41050
41,51,0,0,0.0,41051
41,52,1,1,100.0,41052
41,53,0,0,0.0,41053
41,54,0,0,0.0,41054
41,55,0,0,0.0,41055
41,56,0,0,0.0,41056
41,57,1,1,100.0,41057
