ward,precinct,total,Sharon Oden-Johnson,Sharon Oden-Johnson Percent,precinct_id
5,12,129,129,100.0,05012
5,50,47,47,100.0,05050
6,1,281,281,100.0,06001
6,2,280,280,100.0,06002
6,3,259,259,100.0,06003
6,4,184,184,100.0,06004
6,5,124,124,100.0,06005
6,6,216,216,100.0,06006
6,8,306,306,100.0,06008
6,9,238,238,100.0,06009
6,10,354,354,100.0,06010
6,11,234,234,100.0,06011
6,12,218,218,100.0,06012
6,13,221,221,100.0,06013
6,14,227,227,100.0,06014
6,16,273,273,100.0,06016
6,17,288,288,100.0,06017
6,19,297,297,100.0,06019
6,21,250,250,100.0,06021
6,22,241,241,100.0,06022
6,23,185,185,100.0,06023
6,24,234,234,100.0,06024
6,25,166,166,100.0,06025
6,26,241,241,100.0,06026
6,27,310,310,100.0,06027
6,28,422,422,100.0,06028
6,29,317,317,100.0,06029
6,31,287,287,100.0,06031
6,34,200,200,100.0,06034
6,35,222,222,100.0,06035
6,36,164,164,100.0,06036
6,37,281,281,100.0,06037
6,38,251,251,100.0,06038
6,39,140,140,100.0,06039
6,40,143,143,100.0,06040
6,41,260,260,100.0,06041
6,42,143,143,100.0,06042
6,43,251,251,100.0,06043
6,44,240,240,100.0,06044
6,45,177,177,100.0,06045
6,46,235,235,100.0,06046
6,47,242,242,100.0,06047
6,49,263,263,100.0,06049
6,50,265,265,100.0,06050
6,51,163,163,100.0,06051
6,52,165,165,100.0,06052
6,53,231,231,100.0,06053
6,54,242,242,100.0,06054
6,55,212,212,100.0,06055
6,56,171,171,100.0,06056
6,57,133,133,100.0,06057
6,58,268,268,100.0,06058
6,59,246,246,100.0,06059
6,60,144,144,100.0,06060
6,63,220,220,100.0,06063
6,64,281,281,100.0,06064
7,1,368,368,100.0,07001
7,2,245,245,100.0,07002
7,3,162,162,100.0,07003
7,4,171,171,100.0,07004
7,5,187,187,100.0,07005
7,6,172,172,100.0,07006
7,7,149,149,100.0,07007
7,8,72,72,100.0,07008
7,10,156,156,100.0,07010
7,12,164,164,100.0,07012
7,13,155,155,100.0,07013
7,14,243,243,100.0,07014
7,15,139,139,100.0,07015
7,16,157,157,100.0,07016
7,17,102,102,100.0,07017
7,18,138,138,100.0,07018
7,19,283,283,100.0,07019
7,20,106,106,100.0,07020
7,21,214,214,100.0,07021
7,22,158,158,100.0,07022
7,23,224,224,100.0,07023
7,24,204,204,100.0,07024
7,25,274,274,100.0,07025
7,26,258,258,100.0,07026
7,27,302,302,100.0,07027
7,28,245,245,100.0,07028
7,29,197,197,100.0,07029
7,30,232,232,100.0,07030
7,31,197,197,100.0,07031
7,32,155,155,100.0,07032
7,33,151,151,100.0,07033
7,34,210,210,100.0,07034
7,36,229,229,100.0,07036
7,37,117,117,100.0,07037
7,38,160,160,100.0,07038
7,39,190,190,100.0,07039
7,41,171,171,100.0,07041
7,42,311,311,100.0,07042
7,43,240,240,100.0,07043
7,46,96,96,100.0,07046
7,47,212,212,100.0,07047
7,48,186,186,100.0,07048
7,49,110,110,100.0,07049
7,51,353,353,100.0,07051
7,52,166,166,100.0,07052
7,53,183,183,100.0,07053
7,54,87,87,100.0,07054
7,55,181,181,100.0,07055
7,56,207,207,100.0,07056
7,57,161,161,100.0,07057
7,58,232,232,100.0,07058
7,59,110,110,100.0,07059
7,60,154,154,100.0,07060
7,61,193,193,100.0,07061
8,1,255,255,100.0,08001
8,2,124,124,100.0,08002
8,3,301,301,100.0,08003
8,4,228,228,100.0,08004
8,5,257,257,100.0,08005
8,6,230,230,100.0,08006
8,7,216,216,100.0,08007
8,8,272,272,100.0,08008
