ward,precinct,total,Joel Barry Pollak,Joel Barry Pollak Percent,Janice D. Schakowsky,Janice D. Schakowsky Percent,Simon Ribeiro,Simon Ribeiro Percent,precinct_id
50,30,279,180,64.52,97,34.77,2,0.72,50030
50,31,97,66,68.04,31,31.96,0,0.0,50031
50,32,306,33,10.78,259,84.64,14,4.58,50032
50,33,232,103,44.4,125,53.88,4,1.72,50033
50,34,260,33,12.69,215,82.69,12,4.62,50034
50,35,373,65,17.43,303,81.23,5,1.34,50035
50,36,319,78,24.45,230,72.1,11,3.45,50036
50,37,335,62,18.51,263,78.51,10,2.99,50037
50,38,179,66,36.87,110,61.45,3,1.68,50038
50,39,242,87,35.95,150,61.98,5,2.07,50039
50,40,370,256,69.19,112,30.27,2,0.54,50040
50,41,420,263,62.62,155,36.9,2,0.48,50041
50,42,273,74,27.11,190,69.6,9,3.3,50042
50,43,271,47,17.34,218,80.44,6,2.21,50043
