ward,precinct,total,William ''Will'' Davis,William ''Will'' Davis Percent,precinct_id
9,4,274,274,100.0,09004
9,6,348,348,100.0,09006
9,11,217,217,100.0,09011
9,18,266,266,100.0,09018
9,19,288,288,100.0,09019
9,30,293,293,100.0,09030
9,39,348,348,100.0,09039
9,45,261,261,100.0,09045
34,3,123,123,100.0,34003
34,6,181,181,100.0,34006
34,35,347,347,100.0,34035
