ward,precinct,total,Wes Fowler,Wes Fowler Percent,precinct_id
32,32,16,7,43.75,32032
32,44,220,54,24.55,32044
32,47,349,145,41.55,32047
32,49,197,71,36.04,32049
32,50,391,151,38.62,32050
32,51,374,153,40.91,32051
39,1,257,118,45.91,39001
39,2,339,137,40.41,39002
39,3,264,104,39.39,39003
39,4,207,83,40.1,39004
39,15,254,111,43.7,39015
39,16,193,44,22.8,39016
39,17,209,53,25.36,39017
39,18,276,65,23.55,39018
39,20,246,101,41.06,39020
39,26,270,125,46.3,39026
39,32,178,54,30.34,39032
39,36,206,62,30.1,39036
39,37,378,133,35.19,39037
39,39,104,17,16.35,39039
39,40,179,78,43.58,39040
39,41,111,29,26.13,39041
39,42,225,95,42.22,39042
39,47,165,66,40.0,39047
40,2,161,41,25.47,40002
40,3,263,35,13.31,40003
40,4,253,37,14.62,40004
40,7,282,33,11.7,40007
40,8,79,21,26.58,40008
40,9,236,50,21.19,40009
40,10,284,72,25.35,40010
40,11,220,34,15.45,40011
40,12,187,19,10.16,40012
40,13,319,43,13.48,40013
40,15,239,45,18.83,40015
40,16,237,50,21.1,40016
40,18,284,48,16.9,40018
40,22,175,33,18.86,40022
40,25,187,55,29.41,40025
40,26,299,31,10.37,40026
40,27,207,30,14.49,40027
40,28,300,38,12.67,40028
40,29,281,73,25.98,40029
40,30,103,37,35.92,40030
40,31,203,61,30.05,40031
40,33,255,42,16.47,40033
40,35,276,77,27.9,40035
40,37,207,36,17.39,40037
40,39,189,46,24.34,40039
40,45,402,93,23.13,40045
40,46,321,73,22.74,40046
40,47,258,26,10.08,40047
40,49,91,16,17.58,40049
41,19,249,95,38.15,41019
43,1,389,110,28.28,43001
43,2,347,151,43.52,43002
43,3,323,112,34.67,43003
43,4,406,159,39.16,43004
43,5,311,116,37.3,43005
43,6,223,71,31.84,43006
43,7,327,105,32.11,43007
43,8,386,120,31.09,43008
43,9,282,113,40.07,43009
43,10,302,115,38.08,43010
43,11,251,96,38.25,43011
43,12,368,135,36.68,43012
43,14,248,55,22.18,43014
43,15,254,85,33.46,43015
43,16,294,118,40.14,43016
43,17,371,157,42.32,43017
43,18,375,141,37.6,43018
43,20,300,85,28.33,43020
43,21,318,101,31.76,43021
43,22,287,117,40.77,43022
43,23,246,75,30.49,43023
43,24,307,111,36.16,43024
43,25,323,82,25.39,43025
43,26,247,89,36.03,43026
43,27,230,79,34.35,43027
43,29,268,97,36.19,43029
43,31,367,134,36.51,43031
43,32,304,83,27.3,43032
43,33,216,74,34.26,43033
43,34,149,48,32.21,43034
43,36,269,96,35.69,43036
43,38,235,77,32.77,43038
43,41,172,57,33.14,43041
43,42,258,108,41.86,43042
43,43,251,101,40.24,43043
43,44,315,109,34.6,43044
43,45,123,46,37.4,43045
43,46,388,165,42.53,43046
43,47,295,115,38.98,43047
43,48,292,83,28.42,43048
43,49,293,107,36.52,43049
43,50,255,105,41.18,43050
43,52,294,132,44.9,43052
43,53,298,103,34.56,43053
43,55,213,31,14.55,43055
43,56,224,77,34.38,43056
43,57,230,79,34.35,43057
43,58,225,60,26.67,43058
43,59,273,79,28.94,43059
44,1,276,76,27.54,44001
44,2,226,64,28.32,44002
44,3,315,75,23.81,44003
44,4,290,64,22.07,44004
44,5,318,70,22.01,44005
44,6,328,91,27.74,44006
44,7,322,113,35.09,44007
44,8,132,40,30.3,44008
44,9,171,52,30.41,44009
44,10,250,95,38.0,44010
44,11,305,90,29.51,44011
44,12,257,63,24.51,44012
44,13,210,67,31.9,44013
44,14,272,78,28.68,44014
44,15,402,96,23.88,44015
44,16,313,90,28.75,44016
44,17,348,66,18.97,44017
44,18,242,79,32.64,44018
44,19,183,37,20.22,44019
44,20,306,86,28.1,44020
44,21,387,93,24.03,44021
44,22,347,97,27.95,44022
44,23,273,66,24.18,44023
44,24,226,59,26.11,44024
44,25,333,103,30.93,44025
44,26,270,50,18.52,44026
44,27,371,126,33.96,44027
44,28,218,95,43.58,44028
44,29,387,121,31.27,44029
44,30,276,51,18.48,44030
44,31,372,136,36.56,44031
44,32,242,46,19.01,44032
44,33,374,51,13.64,44033
44,34,198,46,23.23,44034
44,35,231,56,24.24,44035
44,36,304,92,30.26,44036
44,37,407,91,22.36,44037
44,38,329,122,37.08,44038
44,39,349,158,45.27,44039
44,40,316,118,37.34,44040
44,41,337,87,25.82,44041
44,42,427,109,25.53,44042
44,43,373,118,31.64,44043
44,44,364,78,21.43,44044
44,45,381,107,28.08,44045
44,46,235,55,23.4,44046
44,47,370,154,41.62,44047
44,48,239,63,26.36,44048
44,49,461,107,23.21,44049
44,50,317,125,39.43,44050
44,51,248,90,36.29,44051
45,4,165,70,42.42,45004
45,5,218,104,47.71,45005
