ward,precinct,total,Joseph M. Lyons,Joseph M. Lyons Percent,precinct_id
36,6,201,147,73.13,36006
36,13,46,27,58.7,36013
36,26,281,167,59.43,36026
36,41,70,48,68.57,36041
36,43,222,166,74.77,36043
38,1,269,182,67.66,38001
38,2,192,137,71.35,38002
38,4,132,89,67.42,38004
38,5,36,26,72.22,38005
38,6,222,150,67.57,38006
38,8,179,103,57.54,38008
38,9,272,187,68.75,38009
38,11,179,118,65.92,38011
38,12,241,153,63.49,38012
38,13,219,146,66.67,38013
38,14,194,134,69.07,38014
38,15,162,113,69.75,38015
38,17,184,142,77.17,38017
38,18,253,161,63.64,38018
38,19,276,187,67.75,38019
38,21,222,134,60.36,38021
38,22,248,163,65.73,38022
38,23,176,121,68.75,38023
38,25,203,159,78.33,38025
38,26,172,113,65.7,38026
38,27,144,96,66.67,38027
38,28,180,128,71.11,38028
38,29,200,144,72.0,38029
38,30,217,151,69.59,38030
38,31,265,212,80.0,38031
38,32,281,184,65.48,38032
38,33,193,136,70.47,38033
38,35,279,193,69.18,38035
38,36,233,167,71.67,38036
38,37,236,168,71.19,38037
38,39,235,153,65.11,38039
38,40,195,125,64.1,38040
38,41,340,249,73.24,38041
38,42,270,200,74.07,38042
38,43,247,186,75.3,38043
38,44,251,167,66.53,38044
38,45,296,207,69.93,38045
38,46,209,144,68.9,38046
38,47,234,145,61.97,38047
38,48,234,169,72.22,38048
38,49,242,153,63.22,38049
38,50,243,163,67.08,38050
38,51,179,121,67.6,38051
38,52,243,170,69.96,38052
41,53,371,204,54.99,41053
45,1,230,168,73.04,45001
45,2,356,211,59.27,45002
45,3,326,266,81.6,45003
45,6,302,210,69.54,45006
45,7,295,207,70.17,45007
45,8,240,178,74.17,45008
45,9,315,215,68.25,45009
45,11,290,199,68.62,45011
45,13,338,244,72.19,45013
45,15,304,196,64.47,45015
45,16,288,228,79.17,45016
45,17,249,167,67.07,45017
45,18,289,237,82.01,45018
45,19,320,229,71.56,45019
45,20,265,180,67.92,45020
45,21,277,167,60.29,45021
45,22,265,150,56.6,45022
45,23,325,206,63.38,45023
45,25,288,222,77.08,45025
45,26,321,239,74.45,45026
45,27,263,188,71.48,45027
45,28,236,184,77.97,45028
45,29,307,221,71.99,45029
45,30,317,216,68.14,45030
45,31,294,212,72.11,45031
45,32,212,151,71.23,45032
45,33,276,183,66.3,45033
45,34,232,151,65.09,45034
45,35,306,224,73.2,45035
45,37,297,211,71.04,45037
45,38,335,250,74.63,45038
45,39,323,235,72.76,45039
45,40,319,246,77.12,45040
45,41,210,165,78.57,45041
45,42,282,201,71.28,45042
45,43,235,172,73.19,45043
45,44,323,228,70.59,45044
45,45,230,157,68.26,45045
45,46,310,227,73.23,45046
45,47,291,209,71.82,45047
45,48,280,201,71.79,45048
45,49,279,205,73.48,45049
45,50,264,174,65.91,45050
45,51,294,174,59.18,45051
45,52,306,197,64.38,45052
45,53,232,154,66.38,45053
