ward,precinct,total,Scott Tucker,Scott Tucker Percent,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,79,20,25.32,59,74.68,01028
1,42,34,7,20.59,27,79.41,01042
32,7,273,93,34.07,180,65.93,32007
32,8,464,184,39.66,280,60.34,32008
32,9,503,127,25.25,376,74.75,32009
32,10,339,121,35.69,218,64.31,32010
32,13,186,84,45.16,102,54.84,32013
32,15,236,74,31.36,162,68.64,32015
32,16,174,36,20.69,138,79.31,32016
32,18,290,103,35.52,187,64.48,32018
32,19,299,80,26.76,219,73.24,32019
32,20,319,123,38.56,196,61.44,32020
32,21,261,76,29.12,185,70.88,32021
32,22,386,108,27.98,278,72.02,32022
32,23,328,94,28.66,234,71.34,32023
32,24,441,200,45.35,241,54.65,32024
32,25,277,72,25.99,205,74.01,32025
32,27,336,119,35.42,217,64.58,32027
32,28,272,69,25.37,203,74.63,32028
32,29,41,7,17.07,34,82.93,32029
32,30,392,156,39.8,236,60.2,32030
32,32,348,142,40.8,206,59.2,32032
32,34,73,23,31.51,50,68.49,32034
32,37,276,71,25.72,205,74.28,32037
32,38,354,93,26.27,261,73.73,32038
32,39,413,159,38.5,254,61.5,32039
32,40,361,96,26.59,265,73.41,32040
32,41,413,154,37.29,259,62.71,32041
32,42,413,125,30.27,288,69.73,32042
32,43,367,159,43.32,208,56.68,32043
32,44,233,58,24.89,175,75.11,32044
32,45,319,99,31.03,220,68.97,32045
32,47,359,147,40.95,212,59.05,32047
32,48,460,148,32.17,312,67.83,32048
32,49,210,68,32.38,142,67.62,32049
32,50,384,151,39.32,233,60.68,32050
33,7,458,80,17.47,378,82.53,33007
33,8,343,61,17.78,282,82.22,33008
33,10,354,82,23.16,272,76.84,33010
33,24,436,86,19.72,350,80.28,33024
40,5,289,65,22.49,224,77.51,40005
40,6,280,39,13.93,241,86.07,40006
40,20,195,43,22.05,152,77.95,40020
43,2,376,153,40.69,223,59.31,43002
43,6,233,81,34.76,152,65.24,43006
43,7,344,100,29.07,244,70.93,43007
43,20,317,82,25.87,235,74.13,43020
43,21,330,109,33.03,221,66.97,43021
43,22,307,127,41.37,180,58.63,43022
43,29,274,99,36.13,175,63.87,43029
43,31,396,144,36.36,252,63.64,43031
43,41,187,66,35.29,121,64.71,43041
43,50,284,110,38.73,174,61.27,43050
43,56,233,79,33.91,154,66.09,43056
43,57,242,74,30.58,168,69.42,43057
44,9,278,104,37.41,174,62.59,44009
44,11,322,94,29.19,228,70.81,44011
44,13,226,69,30.53,157,69.47,44013
44,16,332,94,28.31,238,71.69,44016
44,25,354,106,29.94,248,70.06,44025
44,27,407,131,32.19,276,67.81,44027
44,40,346,128,36.99,218,63.01,44040
44,43,399,126,31.58,273,68.42,44043
44,47,504,175,34.72,329,65.28,44047
44,51,264,102,38.64,162,61.36,44051
47,1,387,69,17.83,318,82.17,47001
47,2,260,77,29.62,183,70.38,47002
47,3,274,81,29.56,193,70.44,47003
47,4,347,86,24.78,261,75.22,47004
47,6,389,90,23.14,299,76.86,47006
47,7,315,71,22.54,244,77.46,47007
47,8,412,93,22.57,319,77.43,47008
47,9,272,72,26.47,200,73.53,47009
47,12,354,79,22.32,275,77.68,47012
47,13,465,62,13.33,403,86.67,47013
47,14,251,51,20.32,200,79.68,47014
47,15,386,43,11.14,343,88.86,47015
47,16,340,60,17.65,280,82.35,47016
47,17,327,75,22.94,252,77.06,47017
47,18,385,101,26.23,284,73.77,47018
47,21,372,64,17.2,308,82.8,47021
47,24,397,114,28.72,283,71.28,47024
47,25,415,101,24.34,314,75.66,47025
47,27,335,87,25.97,248,74.03,47027
47,29,409,123,30.07,286,69.93,47029
47,35,502,106,21.12,396,78.88,47035
47,40,345,56,16.23,289,83.77,47040
47,42,291,57,19.59,234,80.41,47042
47,43,231,62,26.84,169,73.16,47043
47,44,365,110,30.14,255,69.86,47044
47,46,267,63,23.6,204,76.4,47046
47,47,306,90,29.41,216,70.59,47047
47,48,55,11,20.0,44,80.0,47048
47,49,246,57,23.17,189,76.83,47049
47,50,342,100,29.24,242,70.76,47050
47,51,198,42,21.21,156,78.79,47051
47,52,201,43,21.39,158,78.61,47052
