ward,precinct,total,Maureen Masterson Pulia,Maureen Masterson Pulia Percent,Daniel J. Gallagher,Daniel J. Gallagher Percent,precinct_id
1,1,239,54,22.59,185,77.41,01001
1,2,264,58,21.97,206,78.03,01002
1,3,195,38,19.49,157,80.51,01003
1,4,227,46,20.26,181,79.74,01004
1,5,234,51,21.79,183,78.21,01005
1,6,221,65,29.41,156,70.59,01006
1,7,219,62,28.31,157,71.69,01007
1,8,242,44,18.18,198,81.82,01008
1,9,184,34,18.48,150,81.52,01009
1,10,261,72,27.59,189,72.41,01010
1,11,203,51,25.12,152,74.88,01011
1,12,286,85,29.72,201,70.28,01012
1,13,282,55,19.5,227,80.5,01013
1,14,233,46,19.74,187,80.26,01014
1,15,158,16,10.13,142,89.87,01015
1,16,89,11,12.36,78,87.64,01016
1,17,144,23,15.97,121,84.03,01017
1,18,185,28,15.14,157,84.86,01018
1,19,134,31,23.13,103,76.87,01019
1,20,205,42,20.49,163,79.51,01020
1,21,197,61,30.96,136,69.04,01021
1,22,168,23,13.69,145,86.31,01022
1,23,187,48,25.67,139,74.33,01023
1,24,293,51,17.41,242,82.59,01024
1,25,162,40,24.69,122,75.31,01025
1,26,233,59,25.32,174,74.68,01026
1,27,151,47,31.13,104,68.87,01027
1,28,117,25,21.37,92,78.63,01028
1,29,222,53,23.87,169,76.13,01029
1,30,298,56,18.79,242,81.21,01030
1,31,305,104,34.1,201,65.9,01031
1,32,184,42,22.83,142,77.17,01032
1,33,236,57,24.15,179,75.85,01033
1,34,164,37,22.56,127,77.44,01034
1,35,230,71,30.87,159,69.13,01035
1,36,261,63,24.14,198,75.86,01036
1,37,176,42,23.86,134,76.14,01037
1,38,133,26,19.55,107,80.45,01038
1,39,194,36,18.56,158,81.44,01039
1,40,124,25,20.16,99,79.84,01040
1,41,164,39,23.78,125,76.22,01041
1,42,167,43,25.75,124,74.25,01042
1,43,192,31,16.15,161,83.85,01043
1,44,183,37,20.22,146,79.78,01044
1,45,201,38,18.91,163,81.09,01045
1,46,257,63,24.51,194,75.49,01046
1,47,218,50,22.94,168,77.06,01047
1,48,135,30,22.22,105,77.78,01048
1,49,137,24,17.52,113,82.48,01049
1,50,151,27,17.88,124,82.12,01050
2,1,645,176,27.29,469,72.71,02001
2,2,80,7,8.75,73,91.25,02002
2,3,326,74,22.7,252,77.3,02003
2,4,205,2,0.98,203,99.02,02004
2,5,234,13,5.56,221,94.44,02005
2,6,472,173,36.65,299,63.35,02006
2,7,272,7,2.57,265,97.43,02007
2,8,374,103,27.54,271,72.46,02008
2,9,248,22,8.87,226,91.13,02009
2,10,136,9,6.62,127,93.38,02010
2,11,407,99,24.32,308,75.68,02011
2,12,490,174,35.51,316,64.49,02012
2,13,263,29,11.03,234,88.97,02013
2,14,324,28,8.64,296,91.36,02014
2,15,152,7,4.61,145,95.39,02015
2,16,446,152,34.08,294,65.92,02016
2,17,213,9,4.23,204,95.77,02017
2,18,320,97,30.31,223,69.69,02018
2,19,469,177,37.74,292,62.26,02019
2,20,359,31,8.64,328,91.36,02020
2,21,247,32,12.96,215,87.04,02021
2,22,427,108,25.29,319,74.71,02022
2,23,177,16,9.04,161,90.96,02023
2,24,185,48,25.95,137,74.05,02024
2,25,367,59,16.08,308,83.92,02025
2,26,281,68,24.2,213,75.8,02026
2,27,209,9,4.31,200,95.69,02027
2,28,225,73,32.44,152,67.56,02028
2,29,144,23,15.97,121,84.03,02029
2,30,338,117,34.62,221,65.38,02030
2,31,255,14,5.49,241,94.51,02031
2,32,131,25,19.08,106,80.92,02032
2,33,170,4,2.35,166,97.65,02033
2,34,165,11,6.67,154,93.33,02034
2,35,81,16,19.75,65,80.25,02035
2,36,458,113,24.67,345,75.33,02036
2,37,254,76,29.92,178,70.08,02037
2,38,507,197,38.86,310,61.14,02038
2,39,280,44,15.71,236,84.29,02039
2,40,592,157,26.52,435,73.48,02040
2,41,142,2,1.41,140,98.59,02041
2,42,115,7,6.09,108,93.91,02042
2,43,329,61,18.54,268,81.46,02043
2,44,163,13,7.98,150,92.02,02044
2,45,244,24,9.84,220,90.16,02045
2,46,312,21,6.73,291,93.27,02046
2,47,167,7,4.19,160,95.81,02047
2,48,140,2,1.43,138,98.57,02048
2,49,290,62,21.38,228,78.62,02049
2,50,175,40,22.86,135,77.14,02050
2,51,197,10,5.08,187,94.92,02051
2,52,290,21,7.24,269,92.76,02052
2,53,295,77,26.1,218,73.9,02053
2,54,369,69,18.7,300,81.3,02054
2,55,185,64,34.59,121,65.41,02055
2,56,224,13,5.8,211,94.2,02056
3,1,198,9,4.55,189,95.45,03001
3,2,264,12,4.55,252,95.45,03002
3,3,279,42,15.05,237,84.95,03003
3,4,174,3,1.72,171,98.28,03004
3,5,183,14,7.65,169,92.35,03005
3,6,56,1,1.79,55,98.21,03006
3,7,173,8,4.62,165,95.38,03007
3,8,226,9,3.98,217,96.02,03008
3,9,228,4,1.75,224,98.25,03009
3,10,87,4,4.6,83,95.4,03010
3,11,245,7,2.86,238,97.14,03011
3,12,195,9,4.62,186,95.38,03012
3,13,130,25,19.23,105,80.77,03013
3,14,124,4,3.23,120,96.77,03014
3,15,240,9,3.75,231,96.25,03015
3,16,186,11,5.91,175,94.09,03016
3,17,120,2,1.67,118,98.33,03017
3,18,120,3,2.5,117,97.5,03018
3,19,64,13,20.31,51,79.69,03019
3,20,172,13,7.56,159,92.44,03020
3,21,99,2,2.02,97,97.98,03021
3,22,119,6,5.04,113,94.96,03022
3,23,200,12,6.0,188,94.0,03023
3,24,322,18,5.59,304,94.41,03024
3,25,159,4,2.52,155,97.48,03025
3,26,67,1,1.49,66,98.51,03026
3,27,236,8,3.39,228,96.61,03027
3,28,493,153,31.03,340,68.97,03028
3,29,210,7,3.33,203,96.67,03029
3,30,141,3,2.13,138,97.87,03030
3,31,294,7,2.38,287,97.62,03031
3,32,200,4,2.0,196,98.0,03032
3,33,284,14,4.93,270,95.07,03033
3,34,180,9,5.0,171,95.0,03034
3,35,229,10,4.37,219,95.63,03035
3,36,77,1,1.3,76,98.7,03036
3,37,96,4,4.17,92,95.83,03037
3,38,287,13,4.53,274,95.47,03038
3,39,284,5,1.76,279,98.24,03039
3,40,215,4,1.86,211,98.14,03040
3,41,163,20,12.27,143,87.73,03041
3,42,169,6,3.55,163,96.45,03042
3,43,39,0,0.0,39,100.0,03043
3,44,77,1,1.3,76,98.7,03044
3,45,310,56,18.06,254,81.94,03045
3,46,48,0,0.0,48,100.0,03046
3,47,130,5,3.85,125,96.15,03047
3,48,144,4,2.78,140,97.22,03048
3,49,86,3,3.49,83,96.51,03049
3,50,131,3,2.29,128,97.71,03050
4,1,417,48,11.51,369,88.49,04001
4,2,358,13,3.63,345,96.37,04002
4,3,292,15,5.14,277,94.86,04003
4,4,271,7,2.58,264,97.42,04004
4,5,359,21,5.85,338,94.15,04005
4,6,100,2,2.0,98,98.0,04006
4,7,324,15,4.63,309,95.37,04007
4,8,326,10,3.07,316,96.93,04008
4,9,484,21,4.34,463,95.66,04009
4,10,305,14,4.59,291,95.41,04010
4,11,245,6,2.45,239,97.55,04011
4,12,174,6,3.45,168,96.55,04012
4,13,211,25,11.85,186,88.15,04013
4,14,204,7,3.43,197,96.57,04014
4,15,238,14,5.88,224,94.12,04015
4,16,298,12,4.03,286,95.97,04016
4,17,284,34,11.97,250,88.03,04017
4,18,256,17,6.64,239,93.36,04018
4,19,258,16,6.2,242,93.8,04019
4,20,229,10,4.37,219,95.63,04020
4,21,382,25,6.54,357,93.46,04021
4,22,309,33,10.68,276,89.32,04022
4,23,225,33,14.67,192,85.33,04023
4,24,288,25,8.68,263,91.32,04024
4,25,277,19,6.86,258,93.14,04025
4,26,281,19,6.76,262,93.24,04026
4,27,236,12,5.08,224,94.92,04027
4,28,169,15,8.88,154,91.12,04028
4,29,235,38,16.17,197,83.83,04029
4,30,210,17,8.1,193,91.9,04030
4,31,188,24,12.77,164,87.23,04031
4,32,310,31,10.0,279,90.0,04032
4,33,263,22,8.37,241,91.63,04033
4,34,201,20,9.95,181,90.05,04034
4,35,170,10,5.88,160,94.12,04035
4,36,204,8,3.92,196,96.08,04036
4,37,4,0,0.0,4,100.0,04037
4,38,411,32,7.79,379,92.21,04038
4,39,184,5,2.72,179,97.28,04039
4,40,288,26,9.03,262,90.97,04040
4,41,146,14,9.59,132,90.41,04041
4,42,294,24,8.16,270,91.84,04042
4,43,177,13,7.34,164,92.66,04043
4,44,162,12,7.41,150,92.59,04044
4,45,395,34,8.61,361,91.39,04045
4,46,226,10,4.42,216,95.58,04046
4,47,391,36,9.21,355,90.79,04047
4,48,339,48,14.16,291,85.84,04048
4,49,209,7,3.35,202,96.65,04049
4,50,236,10,4.24,226,95.76,04050
4,51,243,12,4.94,231,95.06,04051
4,52,277,9,3.25,268,96.75,04052
5,1,270,11,4.07,259,95.93,05001
5,2,195,12,6.15,183,93.85,05002
5,3,142,10,7.04,132,92.96,05003
5,4,181,4,2.21,177,97.79,05004
5,5,227,4,1.76,223,98.24,05005
5,6,303,5,1.65,298,98.35,05006
5,7,275,15,5.45,260,94.55,05007
5,8,315,36,11.43,279,88.57,05008
5,9,242,6,2.48,236,97.52,05009
5,10,208,5,2.4,203,97.6,05010
5,11,219,26,11.87,193,88.13,05011
5,12,147,7,4.76,140,95.24,05012
5,13,247,15,6.07,232,93.93,05013
5,14,347,29,8.36,318,91.64,05014
5,15,238,26,10.92,212,89.08,05015
5,16,180,7,3.89,173,96.11,05016
5,17,244,11,4.51,233,95.49,05017
5,18,257,16,6.23,241,93.77,05018
5,19,130,6,4.62,124,95.38,05019
5,20,137,3,2.19,134,97.81,05020
5,21,271,7,2.58,264,97.42,05021
5,22,222,8,3.6,214,96.4,05022
5,23,171,8,4.68,163,95.32,05023
5,24,204,9,4.41,195,95.59,05024
5,25,239,8,3.35,231,96.65,05025
5,26,252,16,6.35,236,93.65,05026
5,27,359,55,15.32,304,84.68,05027
5,28,251,17,6.77,234,93.23,05028
5,29,229,18,7.86,211,92.14,05029
5,30,236,38,16.1,198,83.9,05030
5,31,224,10,4.46,214,95.54,05031
5,32,371,21,5.66,350,94.34,05032
5,33,148,6,4.05,142,95.95,05033
5,34,282,5,1.77,277,98.23,05034
5,35,197,28,14.21,169,85.79,05035
5,36,131,4,3.05,127,96.95,05036
5,37,200,21,10.5,179,89.5,05037
5,38,253,24,9.49,229,90.51,05038
5,39,332,33,9.94,299,90.06,05039
5,40,258,6,2.33,252,97.67,05040
5,41,239,31,12.97,208,87.03,05041
5,42,260,9,3.46,251,96.54,05042
5,43,264,12,4.55,252,95.45,05043
5,44,276,10,3.62,266,96.38,05044
5,45,158,7,4.43,151,95.57,05045
5,46,219,28,12.79,191,87.21,05046
5,47,187,7,3.74,180,96.26,05047
5,48,163,21,12.88,142,87.12,05048
5,49,55,2,3.64,53,96.36,05049
5,50,207,6,2.9,201,97.1,05050
5,51,164,4,2.44,160,97.56,05051
5,52,15,2,13.33,13,86.67,05052
5,53,278,22,7.91,256,92.09,05053
5,54,335,18,5.37,317,94.63,05054
5,55,206,4,1.94,202,98.06,05055
6,1,301,8,2.66,293,97.34,06001
6,2,297,18,6.06,279,93.94,06002
6,3,284,7,2.46,277,97.54,06003
6,4,196,14,7.14,182,92.86,06004
6,5,125,2,1.6,123,98.4,06005
6,6,224,12,5.36,212,94.64,06006
6,7,245,9,3.67,236,96.33,06007
6,8,339,7,2.06,332,97.94,06008
6,9,269,7,2.6,262,97.4,06009
6,10,374,13,3.48,361,96.52,06010
6,11,241,14,5.81,227,94.19,06011
6,12,244,5,2.05,239,97.95,06012
6,13,238,4,1.68,234,98.32,06013
6,14,244,5,2.05,239,97.95,06014
6,15,179,9,5.03,170,94.97,06015
6,16,296,11,3.72,285,96.28,06016
6,17,309,8,2.59,301,97.41,06017
6,18,157,4,2.55,153,97.45,06018
6,19,308,11,3.57,297,96.43,06019
6,20,255,7,2.75,248,97.25,06020
6,21,277,7,2.53,270,97.47,06021
6,22,260,6,2.31,254,97.69,06022
6,23,208,6,2.88,202,97.12,06023
6,24,250,6,2.4,244,97.6,06024
6,25,191,6,3.14,185,96.86,06025
6,26,266,7,2.63,259,97.37,06026
6,27,333,2,0.6,331,99.4,06027
6,28,448,10,2.23,438,97.77,06028
6,29,332,12,3.61,320,96.39,06029
6,30,212,9,4.25,203,95.75,06030
6,31,308,8,2.6,300,97.4,06031
6,32,258,5,1.94,253,98.06,06032
6,33,313,7,2.24,306,97.76,06033
6,34,227,10,4.41,217,95.59,06034
6,35,251,7,2.79,244,97.21,06035
6,36,167,4,2.4,163,97.6,06036
6,37,306,9,2.94,297,97.06,06037
6,38,267,12,4.49,255,95.51,06038
6,39,241,12,4.98,229,95.02,06039
6,40,151,4,2.65,147,97.35,06040
6,41,282,8,2.84,274,97.16,06041
6,42,145,6,4.14,139,95.86,06042
6,43,275,3,1.09,272,98.91,06043
6,44,259,11,4.25,248,95.75,06044
6,45,193,6,3.11,187,96.89,06045
6,46,248,7,2.82,241,97.18,06046
6,47,266,12,4.51,254,95.49,06047
6,48,229,6,2.62,223,97.38,06048
6,49,273,10,3.66,263,96.34,06049
6,50,287,11,3.83,276,96.17,06050
6,51,179,5,2.79,174,97.21,06051
6,52,177,3,1.69,174,98.31,06052
6,53,252,6,2.38,246,97.62,06053
6,54,278,9,3.24,269,96.76,06054
6,55,227,6,2.64,221,97.36,06055
6,56,188,5,2.66,183,97.34,06056
6,57,147,5,3.4,142,96.6,06057
6,58,284,10,3.52,274,96.48,06058
6,59,273,6,2.2,267,97.8,06059
6,60,173,1,0.58,172,99.42,06060
6,61,141,4,2.84,137,97.16,06061
6,62,220,5,2.27,215,97.73,06062
6,63,232,5,2.16,227,97.84,06063
6,64,299,11,3.68,288,96.32,06064
7,1,400,14,3.5,386,96.5,07001
7,2,279,16,5.73,263,94.27,07002
7,3,171,7,4.09,164,95.91,07003
7,4,191,12,6.28,179,93.72,07004
7,5,205,11,5.37,194,94.63,07005
7,6,180,5,2.78,175,97.22,07006
7,7,165,6,3.64,159,96.36,07007
