ward,precinct,total,Susana Mendoza,Susana Mendoza Percent,precinct_id
11,3,161,161,100.0,11003
12,2,115,115,100.0,12002
12,3,144,144,100.0,12003
12,4,101,101,100.0,12004
12,5,108,108,100.0,12005
12,6,96,96,100.0,12006
12,8,44,44,100.0,12008
12,9,65,65,100.0,12009
12,10,144,144,100.0,12010
12,11,209,209,100.0,12011
12,12,120,120,100.0,12012
12,13,214,214,100.0,12013
12,14,153,153,100.0,12014
12,17,160,160,100.0,12017
12,19,164,164,100.0,12019
12,20,141,141,100.0,12020
12,21,142,142,100.0,12021
12,23,167,167,100.0,12023
12,24,176,176,100.0,12024
14,7,131,131,100.0,14007
14,8,101,101,100.0,14008
14,10,157,157,100.0,14010
14,12,131,131,100.0,14012
14,14,128,128,100.0,14014
14,16,166,166,100.0,14016
14,17,142,142,100.0,14017
14,18,153,153,100.0,14018
14,19,210,210,100.0,14019
14,20,134,134,100.0,14020
14,21,145,145,100.0,14021
14,22,174,174,100.0,14022
14,23,191,191,100.0,14023
14,26,167,167,100.0,14026
14,29,187,187,100.0,14029
14,30,135,135,100.0,14030
14,31,148,148,100.0,14031
14,33,85,85,100.0,14033
14,34,18,18,100.0,14034
14,35,149,149,100.0,14035
16,11,185,185,100.0,16011
16,13,139,139,100.0,16013
16,21,154,154,100.0,16021
16,23,139,139,100.0,16023
16,32,71,71,100.0,16032
16,42,121,121,100.0,16042
20,4,161,161,100.0,20004
20,21,91,91,100.0,20021
22,8,117,117,100.0,22008
22,9,167,167,100.0,22009
22,11,147,147,100.0,22011
22,15,109,109,100.0,22015
22,22,132,132,100.0,22022
22,28,1,1,100.0,22028
