ward,precinct,total,Robert B. Steele,Robert B. Steele Percent,Michael Smith,Michael Smith Percent,precinct_id
2,1,639,478,74.8,161,25.2,02001
2,2,83,74,89.16,9,10.84,02002
2,4,245,243,99.18,2,0.82,02004
2,6,323,249,77.09,74,22.91,02006
2,8,408,322,78.92,86,21.08,02008
2,9,276,258,93.48,18,6.52,02009
2,10,170,162,95.29,8,4.71,02010
2,11,459,324,70.59,135,29.41,02011
2,12,482,348,72.2,134,27.8,02012
2,13,309,270,87.38,39,12.62,02013
2,15,94,91,96.81,3,3.19,02015
2,16,85,62,72.94,23,27.06,02016
2,17,245,232,94.69,13,5.31,02017
2,22,461,348,75.49,113,24.51,02022
2,24,200,160,80.0,40,20.0,02024
2,25,415,362,87.23,53,12.77,02025
2,26,0,0,0.0,0,0.0,02026
2,27,237,233,98.31,4,1.69,02027
2,28,231,166,71.86,65,28.14,02028
2,29,171,152,88.89,19,11.11,02029
2,32,167,144,86.23,23,13.77,02032
2,33,197,192,97.46,5,2.54,02033
2,34,207,200,96.62,7,3.38,02034
2,35,85,52,61.18,33,38.82,02035
2,37,268,210,78.36,58,21.64,02037
2,39,311,270,86.82,41,13.18,02039
2,40,660,540,81.82,120,18.18,02040
2,41,165,157,95.15,8,4.85,02041
2,43,385,317,82.34,68,17.66,02043
2,47,196,191,97.45,5,2.55,02047
2,48,169,161,95.27,8,4.73,02048
2,49,299,216,72.24,83,27.76,02049
2,50,196,154,78.57,42,21.43,02050
2,51,216,209,96.76,7,3.24,02051
2,53,297,228,76.77,69,23.23,02053
2,54,403,309,76.67,94,23.33,02054
2,55,186,129,69.35,57,30.65,02055
2,56,252,229,90.87,23,9.13,02056
3,3,307,250,81.43,57,18.57,03003
3,8,254,246,96.85,8,3.15,03008
3,12,235,224,95.32,11,4.68,03012
3,14,155,152,98.06,3,1.94,03014
3,17,139,135,97.12,4,2.88,03017
3,18,133,125,93.98,8,6.02,03018
3,21,107,99,92.52,8,7.48,03021
3,22,137,133,97.08,4,2.92,03022
3,25,186,186,100.0,0,0.0,03025
3,26,81,78,96.3,3,3.7,03026
3,27,274,263,95.99,11,4.01,03027
3,28,498,370,74.3,128,25.7,03028
3,29,249,244,97.99,5,2.01,03029
3,36,91,90,98.9,1,1.1,03036
3,42,196,183,93.37,13,6.63,03042
3,44,91,89,97.8,2,2.2,03044
3,45,359,291,81.06,68,18.94,03045
3,47,153,146,95.42,7,4.58,03047
3,48,190,186,97.89,4,2.11,03048
3,50,157,151,96.18,6,3.82,03050
6,18,185,180,97.3,5,2.7,06018
6,62,273,263,96.34,10,3.66,06062
11,14,184,131,71.2,53,28.8,11014
11,27,207,149,71.98,58,28.02,11027
11,31,0,0,0.0,0,0.0,11031
11,34,80,69,86.25,11,13.75,11034
11,36,64,51,79.69,13,20.31,11036
11,46,138,96,69.57,42,30.43,11046
12,1,14,12,85.71,2,14.29,12001
12,6,25,16,64.0,9,36.0,12006
