ward,precinct,total,Linda Thompson LaFianza,Linda Thompson LaFianza Percent,Larry Suffredin,Larry Suffredin Percent,George E. Milkowski,George E. Milkowski Percent,precinct_id
49,1,281,16,5.69,252,89.68,13,4.63,49001
49,3,190,17,8.95,155,81.58,18,9.47,49003
49,5,288,25,8.68,246,85.42,17,5.9,49005
49,6,298,34,11.41,241,80.87,23,7.72,49006
49,8,307,43,14.01,237,77.2,27,8.79,49008
49,10,255,33,12.94,208,81.57,14,5.49,49010
49,11,188,25,13.3,146,77.66,17,9.04,49011
49,12,308,23,7.47,267,86.69,18,5.84,49012
49,13,368,48,13.04,290,78.8,30,8.15,49013
49,14,291,39,13.4,218,74.91,34,11.68,49014
49,15,246,30,12.2,200,81.3,16,6.5,49015
49,16,221,29,13.12,172,77.83,20,9.05,49016
49,18,207,19,9.18,165,79.71,23,11.11,49018
49,19,202,22,10.89,165,81.68,15,7.43,49019
49,20,344,44,12.79,268,77.91,32,9.3,49020
49,22,260,23,8.85,210,80.77,27,10.38,49022
49,23,220,17,7.73,176,80.0,27,12.27,49023
49,24,279,27,9.68,233,83.51,19,6.81,49024
49,25,314,27,8.6,250,79.62,37,11.78,49025
49,26,310,70,22.58,210,67.74,30,9.68,49026
49,27,411,31,7.54,342,83.21,38,9.25,49027
49,28,213,24,11.27,175,82.16,14,6.57,49028
49,29,345,45,13.04,268,77.68,32,9.28,49029
49,30,309,38,12.3,247,79.94,24,7.77,49030
49,31,273,42,15.38,199,72.89,32,11.72,49031
49,33,218,21,9.63,184,84.4,13,5.96,49033
49,34,289,23,7.96,243,84.08,23,7.96,49034
49,35,325,40,12.31,239,73.54,46,14.15,49035
49,36,401,33,8.23,328,81.8,40,9.98,49036
49,38,254,19,7.48,216,85.04,19,7.48,49038
49,39,255,21,8.24,207,81.18,27,10.59,49039
49,40,255,35,13.73,203,79.61,17,6.67,49040
49,41,287,40,13.94,227,79.09,20,6.97,49041
49,42,300,21,7.0,251,83.67,28,9.33,49042
50,1,331,87,26.28,221,66.77,23,6.95,50001
50,2,353,92,26.06,236,66.86,25,7.08,50002
50,3,271,51,18.82,203,74.91,17,6.27,50003
50,4,290,40,13.79,242,83.45,8,2.76,50004
50,5,338,98,28.99,192,56.8,48,14.2,50005
50,6,196,37,18.88,142,72.45,17,8.67,50006
50,7,327,42,12.84,255,77.98,30,9.17,50007
50,9,212,39,18.4,155,73.11,18,8.49,50009
50,10,219,45,20.55,160,73.06,14,6.39,50010
50,11,276,97,35.14,164,59.42,15,5.43,50011
50,12,186,50,26.88,129,69.35,7,3.76,50012
50,13,327,49,14.98,258,78.9,20,6.12,50013
50,14,128,32,25.0,90,70.31,6,4.69,50014
50,15,327,50,15.29,247,75.54,30,9.17,50015
50,16,146,45,30.82,95,65.07,6,4.11,50016
50,18,224,32,14.29,176,78.57,16,7.14,50018
50,19,240,44,18.33,184,76.67,12,5.0,50019
50,20,260,61,23.46,174,66.92,25,9.62,50020
50,21,284,50,17.61,214,75.35,20,7.04,50021
50,22,282,39,13.83,216,76.6,27,9.57,50022
50,27,123,35,28.46,83,67.48,5,4.07,50027
50,28,279,61,21.86,203,72.76,15,5.38,50028
50,30,234,83,35.47,141,60.26,10,4.27,50030
50,31,87,18,20.69,68,78.16,1,1.15,50031
50,33,214,57,26.64,147,68.69,10,4.67,50033
50,35,362,50,13.81,284,78.45,28,7.73,50035
50,36,305,65,21.31,210,68.85,30,9.84,50036
50,37,313,51,16.29,244,77.96,18,5.75,50037
50,38,166,38,22.89,121,72.89,7,4.22,50038
50,40,322,102,31.68,205,63.66,15,4.66,50040
50,41,367,110,29.97,223,60.76,34,9.26,50041
50,42,254,40,15.75,189,74.41,25,9.84,50042
