ward,precinct,total,Sylvester ''Junebug Hendricks,Sylvester ''Junebug Hendricks Percent,William D. ''Will'' Burns,William D. ''Will'' Burns Percent,precinct_id
2,7,332,8,2.41,324,97.59,02007
2,8,431,101,23.43,330,76.57,02008
2,18,366,97,26.5,269,73.5,02018
2,19,540,164,30.37,376,69.63,02019
2,20,374,28,7.49,346,92.51,02020
2,21,314,37,11.78,277,88.22,02021
2,24,114,42,36.84,72,63.16,02024
2,26,326,59,18.1,267,81.9,02026
2,30,404,118,29.21,286,70.79,02030
2,31,165,4,2.42,161,97.58,02031
2,36,520,117,22.5,403,77.5,02036
2,37,289,80,27.68,209,72.32,02037
2,38,572,176,30.77,396,69.23,02038
2,40,712,158,22.19,554,77.81,02040
2,44,218,16,7.34,202,92.66,02044
2,46,384,12,3.13,372,96.88,02046
3,2,329,9,2.74,320,97.26,03002
3,4,204,4,1.96,200,98.04,03004
3,5,237,16,6.75,221,93.25,03005
3,7,272,21,7.72,251,92.28,03007
3,9,124,4,3.23,120,96.77,03009
3,11,63,1,1.59,62,98.41,03011
3,16,215,12,5.58,203,94.42,03016
3,20,199,7,3.52,192,96.48,03020
3,30,177,3,1.69,174,98.31,03030
3,31,357,11,3.08,346,96.92,03031
3,34,204,6,2.94,198,97.06,03034
3,38,295,5,1.69,290,98.31,03038
3,39,334,13,3.89,321,96.11,03039
3,45,128,15,11.72,113,88.28,03045
3,49,9,0,0.0,9,100.0,03049
4,2,402,9,2.24,393,97.76,04002
4,3,363,8,2.2,355,97.8,04003
4,4,366,9,2.46,357,97.54,04004
4,5,434,13,3.0,421,97.0,04005
4,7,390,16,4.1,374,95.9,04007
4,8,396,7,1.77,389,98.23,04008
4,10,366,8,2.19,358,97.81,04010
4,11,295,6,2.03,289,97.97,04011
4,12,202,7,3.47,195,96.53,04012
4,13,257,15,5.84,242,94.16,04013
4,14,258,8,3.1,250,96.9,04014
4,15,294,21,7.14,273,92.86,04015
4,16,380,5,1.32,375,98.68,04016
4,18,305,15,4.92,290,95.08,04018
4,19,328,9,2.74,319,97.26,04019
4,20,269,9,3.35,260,96.65,04020
4,23,251,20,7.97,231,92.03,04023
4,24,347,23,6.63,324,93.37,04024
4,25,330,16,4.85,314,95.15,04025
4,26,351,12,3.42,339,96.58,04026
4,27,274,6,2.19,268,97.81,04027
4,30,249,16,6.43,233,93.57,04030
4,33,296,13,4.39,283,95.61,04033
4,35,208,5,2.4,203,97.6,04035
4,36,243,5,2.06,238,97.94,04036
4,37,7,0,0.0,7,100.0,04037
4,39,231,2,0.87,229,99.13,04039
4,40,351,16,4.56,335,95.44,04040
4,42,344,15,4.36,329,95.64,04042
4,46,257,2,0.78,255,99.22,04046
4,49,260,6,2.31,254,97.69,04049
4,50,287,6,2.09,281,97.91,04050
4,51,291,8,2.75,283,97.25,04051
4,52,341,13,3.81,328,96.19,04052
5,2,262,9,3.44,253,96.56,05002
5,9,278,6,2.16,272,97.84,05009
5,10,243,13,5.35,230,94.65,05010
5,13,292,12,4.11,280,95.89,05013
5,15,274,22,8.03,252,91.97,05015
5,16,221,9,4.07,212,95.93,05016
5,18,299,9,3.01,290,96.99,05018
5,19,161,5,3.11,156,96.89,05019
5,23,190,10,5.26,180,94.74,05023
5,45,172,5,2.91,167,97.09,05045
5,51,205,8,3.9,197,96.1,05051
5,52,14,1,7.14,13,92.86,05052
6,39,0,0,0.0,0,0.0,06039
20,2,199,8,4.02,191,95.98,20002
20,5,157,1,0.64,156,99.36,20005
20,9,332,9,2.71,323,97.29,20009
20,14,0,0,0.0,0,0.0,20014
20,16,311,17,5.47,294,94.53,20016
20,18,144,2,1.39,142,98.61,20018
20,22,351,11,3.13,340,96.87,20022
20,24,274,6,2.19,268,97.81,20024
20,29,278,16,5.76,262,94.24,20029
20,32,166,6,3.61,160,96.39,20032
20,36,189,1,0.53,188,99.47,20036
20,47,184,4,2.17,180,97.83,20047
42,1,418,144,34.45,274,65.55,42001
42,2,219,56,25.57,163,74.43,42002
42,5,260,67,25.77,193,74.23,42005
42,6,463,145,31.32,318,68.68,42006
42,7,265,96,36.23,169,63.77,42007
42,9,277,87,31.41,190,68.59,42009
42,11,343,145,42.27,198,57.73,42011
42,13,451,153,33.92,298,66.08,42013
42,23,381,121,31.76,260,68.24,42023
42,24,291,108,37.11,183,62.89,42024
42,25,270,83,30.74,187,69.26,42025
42,29,369,152,41.19,217,58.81,42029
42,31,342,144,42.11,198,57.89,42031
42,35,244,95,38.93,149,61.07,42035
42,37,290,114,39.31,176,60.69,42037
42,38,233,84,36.05,149,63.95,42038
42,40,331,119,35.95,212,64.05,42040
42,41,539,210,38.96,329,61.04,42041
42,42,208,80,38.46,128,61.54,42042
42,43,291,100,34.36,191,65.64,42043
42,44,276,87,31.52,189,68.48,42044
42,47,178,53,29.78,125,70.22,42047
42,48,283,139,49.12,144,50.88,42048
42,50,488,192,39.34,296,60.66,42050
42,51,637,230,36.11,407,63.89,42051
42,52,151,51,33.77,100,66.23,42052
42,53,394,123,31.22,271,68.78,42053
42,54,245,81,33.06,164,66.94,42054
42,61,245,113,46.12,132,53.88,42061
42,62,202,61,30.2,141,69.8,42062
42,63,281,93,33.1,188,66.9,42063
42,64,107,24,22.43,83,77.57,42064
42,65,418,159,38.04,259,61.96,42065
42,66,287,113,39.37,174,60.63,42066
43,35,389,157,40.36,232,59.64,43035
43,40,141,58,41.13,83,58.87,43040
