ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,18,32,32,100.0,33018
38,5,284,284,100.0,38005
38,7,208,208,100.0,38007
38,10,217,217,100.0,38010
38,20,252,252,100.0,38020
39,1,197,197,100.0,39001
39,2,226,226,100.0,39002
39,3,246,246,100.0,39003
39,4,176,176,100.0,39004
39,5,170,170,100.0,39005
39,6,219,219,100.0,39006
39,7,136,136,100.0,39007
39,8,223,223,100.0,39008
39,9,274,274,100.0,39009
39,10,186,186,100.0,39010
39,11,262,262,100.0,39011
39,12,75,75,100.0,39012
39,14,225,225,100.0,39014
39,15,202,202,100.0,39015
39,16,149,149,100.0,39016
39,17,155,155,100.0,39017
39,18,232,232,100.0,39018
39,19,133,133,100.0,39019
39,20,194,194,100.0,39020
39,21,149,149,100.0,39021
39,25,224,224,100.0,39025
39,26,205,205,100.0,39026
39,32,147,147,100.0,39032
39,33,257,257,100.0,39033
39,34,237,237,100.0,39034
39,35,245,245,100.0,39035
39,36,181,181,100.0,39036
39,37,311,311,100.0,39037
39,38,238,238,100.0,39038
39,39,86,86,100.0,39039
39,40,137,137,100.0,39040
39,41,95,95,100.0,39041
39,42,183,183,100.0,39042
39,43,220,220,100.0,39043
39,45,128,128,100.0,39045
39,47,133,133,100.0,39047
40,1,68,68,100.0,40001
40,2,13,13,100.0,40002
40,10,85,85,100.0,40010
40,17,100,100,100.0,40017
40,20,28,28,100.0,40020
40,24,92,92,100.0,40024
40,29,231,231,100.0,40029
40,30,223,223,100.0,40030
40,31,162,162,100.0,40031
40,32,102,102,100.0,40032
40,34,117,117,100.0,40034
40,38,106,106,100.0,40038
40,48,113,113,100.0,40048
40,49,134,134,100.0,40049
41,6,243,243,100.0,41006
41,10,253,253,100.0,41010
41,14,267,267,100.0,41014
41,19,307,307,100.0,41019
41,23,223,223,100.0,41023
41,39,183,183,100.0,41039
41,44,269,269,100.0,41044
41,47,234,234,100.0,41047
41,54,181,181,100.0,41054
41,57,208,208,100.0,41057
45,4,287,287,100.0,45004
45,5,260,260,100.0,45005
45,10,257,257,100.0,45010
45,12,261,261,100.0,45012
45,14,255,255,100.0,45014
45,24,283,283,100.0,45024
45,36,212,212,100.0,45036
50,25,22,22,100.0,50025
50,44,181,181,100.0,50044
50,45,127,127,100.0,50045
