ward,precinct,total,Robert Enriquez,Robert Enriquez Percent,Jesse White,Jesse White Percent,Josh Hanson,Josh Hanson Percent,precinct_id
1,1,283,36,12.72,234,82.69,13,4.59,01001
1,2,328,45,13.72,274,83.54,9,2.74,01002
1,3,225,26,11.56,192,85.33,7,3.11,01003
1,4,279,39,13.98,233,83.51,7,2.51,01004
1,5,285,44,15.44,231,81.05,10,3.51,01005
1,6,289,46,15.92,232,80.28,11,3.81,01006
1,7,291,42,14.43,241,82.82,8,2.75,01007
1,8,304,36,11.84,255,83.88,13,4.28,01008
1,9,224,28,12.5,185,82.59,11,4.91,01009
1,10,315,57,18.1,241,76.51,17,5.4,01010
1,11,250,29,11.6,214,85.6,7,2.8,01011
1,12,353,65,18.41,268,75.92,20,5.67,01012
1,13,349,48,13.75,291,83.38,10,2.87,01013
1,14,288,30,10.42,245,85.07,13,4.51,01014
1,15,188,16,8.51,163,86.7,9,4.79,01015
1,16,118,7,5.93,110,93.22,1,0.85,01016
1,17,181,19,10.5,151,83.43,11,6.08,01017
1,18,249,26,10.44,208,83.53,15,6.02,01018
1,19,183,24,13.11,154,84.15,5,2.73,01019
1,20,297,41,13.8,247,83.16,9,3.03,01020
1,21,225,43,19.11,174,77.33,8,3.56,01021
1,22,223,16,7.17,204,91.48,3,1.35,01022
1,23,226,42,18.58,172,76.11,12,5.31,01023
1,24,381,42,11.02,325,85.3,14,3.67,01024
1,25,210,35,16.67,163,77.62,12,5.71,01025
1,26,269,46,17.1,206,76.58,17,6.32,01026
1,27,189,40,21.16,138,73.02,11,5.82,01027
1,28,153,18,11.76,131,85.62,4,2.61,01028
1,29,301,42,13.95,246,81.73,13,4.32,01029
1,30,366,35,9.56,314,85.79,17,4.64,01030
1,31,378,88,23.28,279,73.81,11,2.91,01031
1,32,251,37,14.74,208,82.87,6,2.39,01032
1,33,292,37,12.67,247,84.59,8,2.74,01033
1,34,199,25,12.56,165,82.91,9,4.52,01034
1,35,268,56,20.9,204,76.12,8,2.99,01035
1,36,291,54,18.56,225,77.32,12,4.12,01036
1,37,212,29,13.68,169,79.72,14,6.6,01037
1,38,167,18,10.78,142,85.03,7,4.19,01038
1,39,240,36,15.0,196,81.67,8,3.33,01039
1,40,146,20,13.7,120,82.19,6,4.11,01040
1,41,209,34,16.27,170,81.34,5,2.39,01041
1,42,232,44,18.97,178,76.72,10,4.31,01042
1,43,233,25,10.73,205,87.98,3,1.29,01043
1,44,217,19,8.76,184,84.79,14,6.45,01044
1,45,254,27,10.63,213,83.86,14,5.51,01045
