ward,precinct,total,Mark M. Weiman,Mark M. Weiman Percent,Danny K. Davis,Danny K. Davis Percent,Clarence Desmond Clemons,Clarence Desmond Clemons Percent,precinct_id
1,1,182,38,20.88,133,73.08,11,6.04,01001
1,6,283,70,24.73,198,69.96,15,5.3,01006
1,11,46,9,19.57,36,78.26,1,2.17,01011
1,44,183,34,18.58,143,78.14,6,3.28,01044
2,1,739,199,26.93,519,70.23,21,2.84,02001
2,2,87,6,6.9,81,93.1,0,0.0,02002
2,3,392,92,23.47,288,73.47,12,3.06,02003
2,4,263,5,1.9,255,96.96,3,1.14,02004
2,5,292,14,4.79,275,94.18,3,1.03,02005
2,6,541,187,34.57,340,62.85,14,2.59,02006
2,7,342,5,1.46,329,96.2,8,2.34,02007
2,8,461,109,23.64,335,72.67,17,3.69,02008
2,9,295,18,6.1,269,91.19,8,2.71,02009
2,10,173,4,2.31,169,97.69,0,0.0,02010
2,11,491,107,21.79,364,74.13,20,4.07,02011
2,12,574,178,31.01,380,66.2,16,2.79,02012
2,13,333,30,9.01,296,88.89,7,2.1,02013
2,14,11,1,9.09,10,90.91,0,0.0,02014
2,15,180,8,4.44,165,91.67,7,3.89,02015
2,16,510,186,36.47,303,59.41,21,4.12,02016
2,17,252,4,1.59,246,97.62,2,0.79,02017
2,18,383,112,29.24,259,67.62,12,3.13,02018
2,19,578,193,33.39,366,63.32,19,3.29,02019
2,20,182,24,13.19,152,83.52,6,3.3,02020
2,21,341,36,10.56,293,85.92,12,3.52,02021
2,22,519,110,21.19,390,75.14,19,3.66,02022
2,23,207,18,8.7,182,87.92,7,3.38,02023
2,24,227,55,24.23,164,72.25,8,3.52,02024
2,25,452,61,13.5,379,83.85,12,2.65,02025
2,26,351,72,20.51,267,76.07,12,3.42,02026
2,27,241,4,1.66,237,98.34,0,0.0,02027
2,28,260,77,29.62,169,65.0,14,5.38,02028
2,29,184,14,7.61,165,89.67,5,2.72,02029
2,30,451,143,31.71,295,65.41,13,2.88,02030
2,32,177,25,14.12,149,84.18,3,1.69,02032
2,33,203,4,1.97,197,97.04,2,0.99,02033
2,34,224,8,3.57,212,94.64,4,1.79,02034
2,35,89,15,16.85,71,79.78,3,3.37,02035
2,36,547,133,24.31,407,74.41,7,1.28,02036
2,37,305,87,28.52,209,68.52,9,2.95,02037
2,38,599,198,33.06,382,63.77,19,3.17,02038
2,39,332,39,11.75,286,86.14,7,2.11,02039
2,40,742,158,21.29,560,75.47,24,3.23,02040
2,41,176,1,0.57,170,96.59,5,2.84,02041
2,42,173,3,1.73,169,97.69,1,0.58,02042
2,43,404,68,16.83,324,80.2,12,2.97,02043
2,45,308,18,5.84,280,90.91,10,3.25,02045
2,47,210,2,0.95,205,97.62,3,1.43,02047
2,48,173,0,0.0,173,100.0,0,0.0,02048
2,49,336,71,21.13,251,74.7,14,4.17,02049
2,50,209,36,17.22,165,78.95,8,3.83,02050
2,51,225,5,2.22,217,96.44,3,1.33,02051
2,52,348,12,3.45,330,94.83,6,1.72,02052
2,53,339,83,24.48,248,73.16,8,2.36,02053
2,54,433,72,16.63,339,78.29,22,5.08,02054
2,55,203,48,23.65,146,71.92,9,4.43,02055
2,56,260,14,5.38,231,88.85,15,5.77,02056
3,1,255,0,0.0,247,96.86,8,3.14,03001
3,2,341,5,1.47,326,95.6,10,2.93,03002
3,3,334,39,11.68,280,83.83,15,4.49,03003
3,4,212,3,1.42,208,98.11,1,0.47,03004
3,6,73,2,2.74,70,95.89,1,1.37,03006
3,8,269,1,0.37,263,97.77,5,1.86,03008
3,9,287,3,1.05,279,97.21,5,1.74,03009
3,10,105,1,0.95,103,98.1,1,0.95,03010
3,11,282,5,1.77,272,96.45,5,1.77,03011
3,12,247,0,0.0,245,99.19,2,0.81,03012
3,14,162,3,1.85,158,97.53,1,0.62,03014
3,15,311,2,0.64,303,97.43,6,1.93,03015
3,16,225,5,2.22,212,94.22,8,3.56,03016
3,17,146,0,0.0,146,100.0,0,0.0,03017
3,18,141,3,2.13,136,96.45,2,1.42,03018
3,20,181,1,0.55,169,93.37,11,6.08,03020
3,21,119,2,1.68,113,94.96,4,3.36,03021
3,22,143,1,0.7,139,97.2,3,2.1,03022
3,23,184,5,2.72,170,92.39,9,4.89,03023
3,24,373,8,2.14,357,95.71,8,2.14,03024
3,25,192,0,0.0,191,99.48,1,0.52,03025
3,26,87,1,1.15,85,97.7,1,1.15,03026
3,27,280,5,1.79,270,96.43,5,1.79,03027
3,28,578,154,26.64,404,69.9,20,3.46,03028
3,29,259,4,1.54,251,96.91,4,1.54,03029
3,31,373,2,0.54,365,97.86,6,1.61,03031
3,32,228,1,0.44,224,98.25,3,1.32,03032
3,33,340,7,2.06,328,96.47,5,1.47,03033
3,35,275,3,1.09,267,97.09,5,1.82,03035
3,36,88,2,2.27,86,97.73,0,0.0,03036
3,37,109,1,0.92,103,94.5,5,4.59,03037
3,39,345,6,1.74,333,96.52,6,1.74,03039
3,40,251,2,0.8,243,96.81,6,2.39,03040
3,42,213,3,1.41,205,96.24,5,2.35,03042
3,43,48,0,0.0,47,97.92,1,2.08,03043
3,45,384,50,13.02,329,85.68,5,1.3,03045
3,46,63,0,0.0,63,100.0,0,0.0,03046
3,47,167,4,2.4,161,96.41,2,1.2,03047
3,48,201,1,0.5,195,97.01,5,2.49,03048
3,49,92,0,0.0,88,95.65,4,4.35,03049
3,50,162,2,1.23,158,97.53,2,1.23,03050
4,4,378,3,0.79,368,97.35,7,1.85,04004
4,5,447,8,1.79,420,93.96,19,4.25,04005
4,6,112,0,0.0,107,95.54,5,4.46,04006
4,7,396,9,2.27,378,95.45,9,2.27,04007
4,10,371,4,1.08,357,96.23,10,2.7,04010
4,11,307,4,1.3,298,97.07,5,1.63,04011
4,14,266,5,1.88,253,95.11,8,3.01,04014
4,15,303,17,5.61,274,90.43,12,3.96,04015
4,25,343,9,2.62,325,94.75,9,2.62,04025
4,27,278,1,0.36,273,98.2,4,1.44,04027
4,30,262,8,3.05,247,94.27,7,2.67,04030
4,35,218,6,2.75,206,94.5,6,2.75,04035
4,36,244,2,0.82,236,96.72,6,2.46,04036
4,42,289,13,4.5,268,92.73,8,2.77,04042
11,14,211,56,26.54,148,70.14,7,3.32,11014
11,27,250,72,28.8,168,67.2,10,4.0,11027
11,28,172,50,29.07,115,66.86,7,4.07,11028
11,31,0,0,0.0,0,0.0,0,0.0,11031
11,34,88,15,17.05,71,80.68,2,2.27,11034
11,36,68,9,13.24,56,82.35,3,4.41,11036
11,46,155,25,16.13,128,82.58,2,1.29,11046
12,1,16,3,18.75,13,81.25,0,0.0,12001
12,6,25,4,16.0,20,80.0,1,4.0,12006
12,18,41,0,0.0,41,100.0,0,0.0,12018
16,15,225,1,0.44,217,96.44,7,3.11,16015
16,16,211,0,0.0,210,99.53,1,0.47,16016
