ward,precinct,total,William M. Beavers,William M. Beavers Percent,Joseph A. Barton,Joseph A. Barton Percent,precinct_id
6,1,347,327,94.24,20,5.76,06001
6,2,337,310,91.99,27,8.01,06002
6,3,344,329,95.64,15,4.36,06003
6,8,382,361,94.5,21,5.5,06008
6,9,291,277,95.19,14,4.81,06009
6,10,426,402,94.37,24,5.63,06010
6,13,275,262,95.27,13,4.73,06013
6,14,286,268,93.71,18,6.29,06014
6,16,347,323,93.08,24,6.92,06016
6,17,350,321,91.71,29,8.29,06017
6,19,354,331,93.5,23,6.5,06019
6,21,314,297,94.59,17,5.41,06021
6,22,300,283,94.33,17,5.67,06022
6,24,291,273,93.81,18,6.19,06024
6,25,214,208,97.2,6,2.8,06025
6,26,317,305,96.21,12,3.79,06026
6,27,379,362,95.51,17,4.49,06027
6,28,511,470,91.98,41,8.02,06028
6,29,367,347,94.55,20,5.45,06029
6,31,353,326,92.35,27,7.65,06031
6,34,254,237,93.31,17,6.69,06034
6,35,287,270,94.08,17,5.92,06035
6,37,348,326,93.68,22,6.32,06037
6,38,308,295,95.78,13,4.22,06038
6,41,329,304,92.4,25,7.6,06041
6,43,313,296,94.57,17,5.43,06043
6,44,298,281,94.3,17,5.7,06044
6,45,224,209,93.3,15,6.7,06045
6,46,277,256,92.42,21,7.58,06046
6,47,307,294,95.77,13,4.23,06047
6,50,310,291,93.87,19,6.13,06050
6,51,213,204,95.77,9,4.23,06051
6,52,195,191,97.95,4,2.05,06052
6,53,279,263,94.27,16,5.73,06053
6,54,307,291,94.79,16,5.21,06054
6,57,176,169,96.02,7,3.98,06057
6,58,297,270,90.91,27,9.09,06058
6,59,301,283,94.02,18,5.98,06059
6,60,183,171,93.44,12,6.56,06060
6,63,263,250,95.06,13,4.94,06063
6,64,341,320,93.84,21,6.16,06064
7,1,452,396,87.61,56,12.39,07001
7,2,310,269,86.77,41,13.23,07002
7,3,190,166,87.37,24,12.63,07003
7,4,212,173,81.6,39,18.4,07004
7,5,223,185,82.96,38,17.04,07005
7,6,220,197,89.55,23,10.45,07006
7,7,196,168,85.71,28,14.29,07007
7,8,83,76,91.57,7,8.43,07008
7,10,187,165,88.24,22,11.76,07010
7,11,286,246,86.01,40,13.99,07011
7,12,209,177,84.69,32,15.31,07012
7,13,179,157,87.71,22,12.29,07013
7,14,298,246,82.55,52,17.45,07014
7,15,176,145,82.39,31,17.61,07015
7,16,182,163,89.56,19,10.44,07016
7,17,134,122,91.04,12,8.96,07017
7,18,168,139,82.74,29,17.26,07018
7,19,378,326,86.24,52,13.76,07019
7,20,135,133,98.52,2,1.48,07020
7,21,272,236,86.76,36,13.24,07021
7,22,193,172,89.12,21,10.88,07022
7,23,176,160,90.91,16,9.09,07023
7,24,236,217,91.95,19,8.05,07024
7,25,332,298,89.76,34,10.24,07025
7,26,320,274,85.63,46,14.38,07026
7,27,366,317,86.61,49,13.39,07027
7,28,302,269,89.07,33,10.93,07028
7,29,243,223,91.77,20,8.23,07029
7,30,291,267,91.75,24,8.25,07030
7,31,250,217,86.8,33,13.2,07031
7,32,190,147,77.37,43,22.63,07032
7,33,201,185,92.04,16,7.96,07033
7,34,252,224,88.89,28,11.11,07034
7,36,278,257,92.45,21,7.55,07036
7,37,143,129,90.21,14,9.79,07037
7,38,201,177,88.06,24,11.94,07038
7,39,242,214,88.43,28,11.57,07039
7,41,209,182,87.08,27,12.92,07041
7,42,386,332,86.01,54,13.99,07042
7,43,288,261,90.63,27,9.38,07043
7,44,412,348,84.47,64,15.53,07044
7,45,358,294,82.12,64,17.88,07045
7,46,137,127,92.7,10,7.3,07046
7,47,243,216,88.89,27,11.11,07047
7,48,225,204,90.67,21,9.33,07048
7,49,136,113,83.09,23,16.91,07049
7,51,440,382,86.82,58,13.18,07051
7,52,200,177,88.5,23,11.5,07052
7,53,212,196,92.45,16,7.55,07053
7,54,117,106,90.6,11,9.4,07054
7,55,227,200,88.11,27,11.89,07055
7,56,245,219,89.39,26,10.61,07056
7,57,201,169,84.08,32,15.92,07057
7,58,294,258,87.76,36,12.24,07058
7,59,141,124,87.94,17,12.06,07059
7,60,185,164,88.65,21,11.35,07060
7,61,236,207,87.71,29,12.29,07061
8,1,311,289,92.93,22,7.07,08001
8,2,150,138,92.0,12,8.0,08002
8,3,359,335,93.31,24,6.69,08003
8,4,275,260,94.55,15,5.45,08004
8,5,330,300,90.91,30,9.09,08005
8,6,294,279,94.9,15,5.1,08006
