ward,precinct,total,Ann Finley Collins,Ann Finley Collins Percent,precinct_id
29,2,117,117,100.0,29002
29,6,78,78,100.0,29006
29,7,85,85,100.0,29007
29,9,99,99,100.0,29009
29,10,95,95,100.0,29010
29,12,262,262,100.0,29012
29,15,273,273,100.0,29015
29,17,210,210,100.0,29017
29,24,137,137,100.0,29024
29,25,241,241,100.0,29025
29,30,98,98,100.0,29030
29,32,130,130,100.0,29032
29,36,290,290,100.0,29036
29,39,135,135,100.0,29039
29,49,307,307,100.0,29049
30,2,94,94,100.0,30002
30,6,79,79,100.0,30006
30,7,114,114,100.0,30007
30,8,139,139,100.0,30008
30,9,115,115,100.0,30009
30,10,102,102,100.0,30010
30,11,67,67,100.0,30011
30,12,80,80,100.0,30012
30,13,121,121,100.0,30013
30,14,41,41,100.0,30014
30,16,126,126,100.0,30016
30,17,81,81,100.0,30017
30,18,82,82,100.0,30018
30,25,63,63,100.0,30025
30,28,99,99,100.0,30028
30,30,150,150,100.0,30030
30,34,116,116,100.0,30034
30,36,122,122,100.0,30036
30,37,78,78,100.0,30037
30,38,164,164,100.0,30038
30,39,136,136,100.0,30039
31,3,88,88,100.0,31003
31,8,77,77,100.0,31008
31,9,77,77,100.0,31009
31,15,47,47,100.0,31015
31,16,94,94,100.0,31016
31,18,14,14,100.0,31018
31,26,75,75,100.0,31026
31,29,94,94,100.0,31029
31,38,55,55,100.0,31038
31,43,113,113,100.0,31043
31,45,78,78,100.0,31045
35,11,76,76,100.0,35011
35,13,49,49,100.0,35013
35,33,104,104,100.0,35033
36,1,120,120,100.0,36001
36,2,144,144,100.0,36002
36,3,293,293,100.0,36003
36,4,109,109,100.0,36004
36,5,110,110,100.0,36005
36,6,154,154,100.0,36006
36,7,131,131,100.0,36007
36,8,152,152,100.0,36008
36,9,138,138,100.0,36009
36,10,117,117,100.0,36010
36,11,197,197,100.0,36011
36,12,110,110,100.0,36012
36,13,209,209,100.0,36013
36,14,154,154,100.0,36014
36,15,146,146,100.0,36015
36,16,284,284,100.0,36016
36,17,154,154,100.0,36017
36,18,177,177,100.0,36018
36,19,162,162,100.0,36019
36,20,205,205,100.0,36020
36,21,260,260,100.0,36021
36,22,237,237,100.0,36022
36,23,102,102,100.0,36023
36,24,233,233,100.0,36024
36,25,111,111,100.0,36025
36,26,157,157,100.0,36026
36,27,92,92,100.0,36027
36,28,134,134,100.0,36028
36,29,135,135,100.0,36029
36,30,202,202,100.0,36030
36,31,176,176,100.0,36031
36,32,156,156,100.0,36032
36,33,149,149,100.0,36033
36,34,118,118,100.0,36034
36,35,155,155,100.0,36035
36,36,151,151,100.0,36036
36,37,130,130,100.0,36037
36,38,104,104,100.0,36038
36,39,134,134,100.0,36039
36,40,163,163,100.0,36040
36,41,134,134,100.0,36041
36,42,144,144,100.0,36042
36,43,151,151,100.0,36043
36,44,219,219,100.0,36044
36,45,170,170,100.0,36045
36,46,128,128,100.0,36046
36,47,103,103,100.0,36047
36,48,129,129,100.0,36048
36,49,209,209,100.0,36049
36,50,133,133,100.0,36050
36,51,154,154,100.0,36051
36,52,150,150,100.0,36052
36,53,101,101,100.0,36053
36,54,257,257,100.0,36054
36,55,243,243,100.0,36055
37,11,72,72,100.0,37011
37,16,251,251,100.0,37016
37,24,212,212,100.0,37024
37,26,266,266,100.0,37026
37,39,7,7,100.0,37039
38,2,129,129,100.0,38002
38,3,114,114,100.0,38003
38,6,133,133,100.0,38006
38,8,108,108,100.0,38008
38,9,164,164,100.0,38009
38,10,151,151,100.0,38010
38,11,125,125,100.0,38011
38,12,159,159,100.0,38012
38,13,132,132,100.0,38013
38,14,129,129,100.0,38014
38,15,101,101,100.0,38015
38,16,162,162,100.0,38016
38,17,134,134,100.0,38017
38,18,151,151,100.0,38018
38,19,189,189,100.0,38019
38,20,212,212,100.0,38020
38,21,138,138,100.0,38021
38,22,155,155,100.0,38022
38,23,104,104,100.0,38023
38,24,106,106,100.0,38024
38,25,146,146,100.0,38025
38,26,107,107,100.0,38026
38,27,89,89,100.0,38027
38,28,115,115,100.0,38028
38,29,127,127,100.0,38029
38,30,143,143,100.0,38030
38,31,175,175,100.0,38031
38,32,170,170,100.0,38032
38,33,140,140,100.0,38033
38,34,94,94,100.0,38034
38,35,175,175,100.0,38035
38,36,151,151,100.0,38036
38,37,149,149,100.0,38037
38,38,169,169,100.0,38038
38,39,143,143,100.0,38039
38,40,127,127,100.0,38040
38,43,157,157,100.0,38043
38,44,173,173,100.0,38044
38,45,193,193,100.0,38045
38,46,133,133,100.0,38046
38,47,140,140,100.0,38047
38,48,151,151,100.0,38048
38,49,144,144,100.0,38049
38,50,154,154,100.0,38050
38,51,120,120,100.0,38051
38,52,155,155,100.0,38052
38,53,33,33,100.0,38053
41,25,90,90,100.0,41025
41,26,90,90,100.0,41026
41,27,69,69,100.0,41027
41,28,193,193,100.0,41028
41,29,133,133,100.0,41029
41,48,103,103,100.0,41048
45,1,142,142,100.0,45001
45,20,93,93,100.0,45020
