ward,precinct,total,Jesus G. Garcia,Jesus G. Garcia Percent,Paloma Andrade,Paloma Andrade Percent,precinct_id
3,13,155,136,87.74,19,12.26,03013
3,19,50,42,84.0,8,16.0,03019
11,1,8,7,87.5,1,12.5,11001
11,2,213,181,84.98,32,15.02,11002
11,3,177,152,85.88,25,14.12,11003
11,6,275,223,81.09,52,18.91,11006
11,10,0,0,0.0,0,0.0,11010
11,17,265,202,76.23,63,23.77,11017
11,30,0,0,0.0,0,0.0,11030
12,1,94,79,84.04,15,15.96,12001
12,2,132,122,92.42,10,7.58,12002
12,3,157,131,83.44,26,16.56,12003
12,4,110,87,79.09,23,20.91,12004
12,5,120,110,91.67,10,8.33,12005
12,6,80,72,90.0,8,10.0,12006
12,7,218,188,86.24,30,13.76,12007
12,8,105,85,80.95,20,19.05,12008
12,9,130,116,89.23,14,10.77,12009
12,10,161,132,81.99,29,18.01,12010
12,11,227,201,88.55,26,11.45,12011
12,12,135,116,85.93,19,14.07,12012
12,13,231,196,84.85,35,15.15,12013
12,14,160,132,82.5,28,17.5,12014
12,15,112,100,89.29,12,10.71,12015
12,16,134,112,83.58,22,16.42,12016
12,17,178,163,91.57,15,8.43,12017
12,18,138,122,88.41,16,11.59,12018
12,19,219,178,81.28,41,18.72,12019
12,20,160,141,88.13,19,11.88,12020
12,21,173,142,82.08,31,17.92,12021
12,22,121,100,82.64,21,17.36,12022
12,23,178,153,85.96,25,14.04,12023
12,24,200,167,83.5,33,16.5,12024
13,3,280,239,85.36,41,14.64,13003
13,5,37,34,91.89,3,8.11,13005
13,15,310,256,82.58,54,17.42,13015
13,16,117,99,84.62,18,15.38,13016
13,18,198,170,85.86,28,14.14,13018
13,20,224,194,86.61,30,13.39,13020
13,28,186,163,87.63,23,12.37,13028
13,30,282,250,88.65,32,11.35,13030
13,31,247,221,89.47,26,10.53,13031
13,33,226,196,86.73,30,13.27,13033
13,34,334,296,88.62,38,11.38,13034
13,35,60,50,83.33,10,16.67,13035
13,39,31,28,90.32,3,9.68,13039
13,40,21,16,76.19,5,23.81,13040
13,46,74,63,85.14,11,14.86,13046
14,1,95,83,87.37,12,12.63,14001
14,3,188,158,84.04,30,15.96,14003
14,4,161,138,85.71,23,14.29,14004
14,5,221,200,90.5,21,9.5,14005
14,6,176,146,82.95,30,17.05,14006
14,7,160,134,83.75,26,16.25,14007
14,8,126,105,83.33,21,16.67,14008
14,9,201,177,88.06,24,11.94,14009
14,10,188,140,74.47,48,25.53,14010
14,11,146,135,92.47,11,7.53,14011
14,12,157,134,85.35,23,14.65,14012
14,13,196,169,86.22,27,13.78,14013
14,14,148,130,87.84,18,12.16,14014
14,15,187,171,91.44,16,8.56,14015
14,16,189,170,89.95,19,10.05,14016
14,17,160,147,91.88,13,8.13,14017
14,18,161,136,84.47,25,15.53,14018
14,19,235,212,90.21,23,9.79,14019
14,20,147,128,87.07,19,12.93,14020
14,21,185,165,89.19,20,10.81,14021
14,22,207,181,87.44,26,12.56,14022
14,23,204,181,88.73,23,11.27,14023
14,24,134,119,88.81,15,11.19,14024
14,26,188,160,85.11,28,14.89,14026
14,27,240,208,86.67,32,13.33,14027
