ward,precinct,total,Peter N. Silvestri,Peter N. Silvestri Percent,Cary Capparelli,Cary Capparelli Percent,Brock Merck,Brock Merck Percent,precinct_id
29,9,169,57,33.73,103,60.95,9,5.33,29009
29,32,185,48,25.95,129,69.73,8,4.32,29032
30,2,140,43,30.71,92,65.71,5,3.57,30002
36,1,199,68,34.17,116,58.29,15,7.54,36001
36,2,223,70,31.39,143,64.13,10,4.48,36002
36,3,368,67,18.21,289,78.53,12,3.26,36003
36,4,149,37,24.83,103,69.13,9,6.04,36004
36,5,210,116,55.24,81,38.57,13,6.19,36005
36,6,223,84,37.67,112,50.22,27,12.11,36006
36,7,196,109,55.61,69,35.2,18,9.18,36007
36,8,260,118,45.38,107,41.15,35,13.46,36008
36,9,224,112,50.0,92,41.07,20,8.93,36009
36,10,180,83,46.11,77,42.78,20,11.11,36010
36,11,327,173,52.91,139,42.51,15,4.59,36011
36,12,173,91,52.6,71,41.04,11,6.36,36012
36,13,322,127,39.44,168,52.17,27,8.39,36013
36,14,233,95,40.77,122,52.36,16,6.87,36014
36,15,223,93,41.7,114,51.12,16,7.17,36015
36,16,377,119,31.56,231,61.27,27,7.16,36016
36,17,250,159,63.6,71,28.4,20,8.0,36017
36,18,312,201,64.42,97,31.09,14,4.49,36018
36,19,242,92,38.02,136,56.2,14,5.79,36019
36,20,332,143,43.07,163,49.1,26,7.83,36020
36,21,427,211,49.41,193,45.2,23,5.39,36021
36,22,354,135,38.14,187,52.82,32,9.04,36022
36,25,183,78,42.62,88,48.09,17,9.29,36025
36,26,279,134,48.03,124,44.44,21,7.53,36026
36,27,134,70,52.24,56,41.79,8,5.97,36027
36,28,207,86,41.55,104,50.24,17,8.21,36028
36,29,210,107,50.95,87,41.43,16,7.62,36029
36,30,320,194,60.63,105,32.81,21,6.56,36030
36,31,274,124,45.26,128,46.72,22,8.03,36031
36,32,243,112,46.09,113,46.5,18,7.41,36032
36,33,194,63,32.47,117,60.31,14,7.22,36033
36,34,204,117,57.35,76,37.25,11,5.39,36034
36,35,275,163,59.27,98,35.64,14,5.09,36035
36,36,60,21,35.0,36,60.0,3,5.0,36036
36,37,225,97,43.11,98,43.56,30,13.33,36037
36,38,158,67,42.41,81,51.27,10,6.33,36038
36,39,243,138,56.79,90,37.04,15,6.17,36039
36,40,282,143,50.71,122,43.26,17,6.03,36040
36,42,225,101,44.89,104,46.22,20,8.89,36042
36,45,249,84,33.73,147,59.04,18,7.23,36045
36,46,204,115,56.37,79,38.73,10,4.9,36046
36,47,156,72,46.15,77,49.36,7,4.49,36047
36,48,202,100,49.5,86,42.57,16,7.92,36048
36,49,334,191,57.19,122,36.53,21,6.29,36049
36,50,208,105,50.48,89,42.79,14,6.73,36050
36,51,226,71,31.42,135,59.73,20,8.85,36051
36,52,249,85,34.14,144,57.83,20,8.03,36052
36,53,161,60,37.27,94,58.39,7,4.35,36053
36,55,369,139,37.67,217,58.81,13,3.52,36055
38,3,188,99,52.66,77,40.96,12,6.38,38003
38,8,180,90,50.0,73,40.56,17,9.44,38008
38,12,243,110,45.27,112,46.09,21,8.64,38012
38,19,286,133,46.5,125,43.71,28,9.79,38019
38,38,270,129,47.78,119,44.07,22,8.15,38038
41,1,414,220,53.14,138,33.33,56,13.53,41001
41,2,422,207,49.05,170,40.28,45,10.66,41002
41,3,337,187,55.49,120,35.61,30,8.9,41003
41,4,406,232,57.14,123,30.3,51,12.56,41004
41,5,475,237,49.89,192,40.42,46,9.68,41005
41,6,352,118,33.52,85,24.15,149,42.33,41006
41,7,444,230,51.8,129,29.05,85,19.14,41007
41,8,386,222,57.51,114,29.53,50,12.95,41008
41,9,385,199,51.69,151,39.22,35,9.09,41009
41,10,339,133,39.23,96,28.32,110,32.45,41010
41,11,387,204,52.71,135,34.88,48,12.4,41011
41,12,356,176,49.44,154,43.26,26,7.3,41012
41,13,216,127,58.8,74,34.26,15,6.94,41013
41,14,382,163,42.67,95,24.87,124,32.46,41014
41,15,429,222,51.75,151,35.2,56,13.05,41015
41,16,373,176,47.18,147,39.41,50,13.4,41016
41,17,382,185,48.43,159,41.62,38,9.95,41017
41,18,312,155,49.68,123,39.42,34,10.9,41018
41,19,139,82,58.99,33,23.74,24,17.27,41019
41,20,406,243,59.85,143,35.22,20,4.93,41020
41,21,389,188,48.33,160,41.13,41,10.54,41021
41,22,322,193,59.94,99,30.75,30,9.32,41022
41,23,318,146,45.91,135,42.45,37,11.64,41023
41,24,364,214,58.79,128,35.16,22,6.04,41024
41,25,171,61,35.67,98,57.31,12,7.02,41025
41,26,174,106,60.92,61,35.06,7,4.02,41026
41,27,131,69,52.67,54,41.22,8,6.11,41027
41,28,325,121,37.23,183,56.31,21,6.46,41028
41,29,195,74,37.95,108,55.38,13,6.67,41029
41,30,429,208,48.48,174,40.56,47,10.96,41030
41,31,407,223,54.79,143,35.14,41,10.07,41031
41,32,255,160,62.75,83,32.55,12,4.71,41032
41,33,272,170,62.5,82,30.15,20,7.35,41033
41,34,322,220,68.32,82,25.47,20,6.21,41034
41,35,425,234,55.06,135,31.76,56,13.18,41035
41,36,402,237,58.96,135,33.58,30,7.46,41036
41,37,450,277,61.56,114,25.33,59,13.11,41037
41,38,378,194,51.32,147,38.89,37,9.79,41038
41,39,261,106,40.61,79,30.27,76,29.12,41039
41,40,434,239,55.07,152,35.02,43,9.91,41040
41,41,390,207,53.08,152,38.97,31,7.95,41041
41,42,453,243,53.64,159,35.1,51,11.26,41042
41,43,365,209,57.26,129,35.34,27,7.4,41043
41,44,386,197,51.04,116,30.05,73,18.91,41044
41,45,371,182,49.06,162,43.67,27,7.28,41045
41,46,278,156,56.12,88,31.65,34,12.23,41046
41,47,331,138,41.69,63,19.03,130,39.27,41047
41,48,202,90,44.55,97,48.02,15,7.43,41048
41,49,443,242,54.63,133,30.02,68,15.35,41049
41,50,395,197,49.87,151,38.23,47,11.9,41050
41,51,258,117,45.35,121,46.9,20,7.75,41051
41,52,454,253,55.73,136,29.96,65,14.32,41052
41,53,368,189,51.36,142,38.59,37,10.05,41053
41,54,255,98,38.43,65,25.49,92,36.08,41054
41,55,359,239,66.57,84,23.4,36,10.03,41055
41,56,465,234,50.32,176,37.85,55,11.83,41056
41,57,332,165,49.7,127,38.25,40,12.05,41057
45,2,350,147,42.0,161,46.0,42,12.0,45002
45,3,293,104,35.49,154,52.56,35,11.95,45003
45,4,219,117,53.42,74,33.79,28,12.79,45004
45,5,137,60,43.8,41,29.93,36,26.28,45005
45,6,298,123,41.28,146,48.99,29,9.73,45006
45,8,59,26,44.07,22,37.29,11,18.64,45008
45,9,313,149,47.6,126,40.26,38,12.14,45009
45,11,276,102,36.96,132,47.83,42,15.22,45011
45,13,323,135,41.8,146,45.2,42,13.0,45013
45,15,302,134,44.37,128,42.38,40,13.25,45015
45,17,248,109,43.95,104,41.94,35,14.11,45017
45,18,294,86,29.25,171,58.16,37,12.59,45018
45,19,323,132,40.87,143,44.27,48,14.86,45019
45,21,273,133,48.72,118,43.22,22,8.06,45021
45,22,265,130,49.06,108,40.75,27,10.19,45022
45,23,327,136,41.59,141,43.12,50,15.29,45023
45,24,380,184,48.42,147,38.68,49,12.89,45024
45,26,122,27,22.13,83,68.03,12,9.84,45026
45,27,251,100,39.84,131,52.19,20,7.97,45027
45,30,312,129,41.35,135,43.27,48,15.38,45030
45,32,204,71,34.8,100,49.02,33,16.18,45032
45,33,278,125,44.96,109,39.21,44,15.83,45033
45,34,231,95,41.13,108,46.75,28,12.12,45034
45,35,301,124,41.2,140,46.51,37,12.29,45035
45,36,295,155,52.54,97,32.88,43,14.58,45036
45,37,294,107,36.39,151,51.36,36,12.24,45037
45,38,109,30,27.52,63,57.8,16,14.68,45038
45,39,242,90,37.19,119,49.17,33,13.64,45039
45,40,283,84,29.68,173,61.13,26,9.19,45040
45,41,206,65,31.55,114,55.34,27,13.11,45041
45,42,273,103,37.73,144,52.75,26,9.52,45042
45,43,230,79,34.35,127,55.22,24,10.43,45043
45,44,316,132,41.77,135,42.72,49,15.51,45044
45,45,227,100,44.05,95,41.85,32,14.1,45045
45,49,263,92,34.98,137,52.09,34,12.93,45049
45,51,297,145,48.82,113,38.05,39,13.13,45051
45,52,305,133,43.61,138,45.25,34,11.15,45052
