ward,precinct,total,Angel Garcia,Angel Garcia Percent,precinct_id
1,1,266,39,14.66,01001
1,2,311,63,20.26,01002
1,3,215,41,19.07,01003
1,4,265,47,17.74,01004
1,5,264,54,20.45,01005
1,6,273,65,23.81,01006
1,7,281,69,24.56,01007
1,8,281,47,16.73,01008
1,9,212,35,16.51,01009
1,10,293,70,23.89,01010
1,11,232,53,22.84,01011
1,12,333,91,27.33,01012
1,13,345,67,19.42,01013
1,14,271,45,16.61,01014
1,15,180,30,16.67,01015
1,16,108,13,12.04,01016
1,17,168,23,13.69,01017
1,18,235,42,17.87,01018
1,19,170,24,14.12,01019
1,20,280,57,20.36,01020
1,21,216,60,27.78,01021
1,22,212,29,13.68,01022
1,23,215,54,25.12,01023
1,24,369,54,14.63,01024
1,25,197,51,25.89,01025
1,26,261,67,25.67,01026
1,27,178,53,29.78,01027
1,28,146,34,23.29,01028
1,29,282,60,21.28,01029
1,30,353,52,14.73,01030
1,31,360,109,30.28,01031
1,32,236,42,17.8,01032
1,33,283,48,16.96,01033
1,34,188,33,17.55,01034
1,35,252,73,28.97,01035
1,36,279,66,23.66,01036
1,37,199,40,20.1,01037
1,38,162,29,17.9,01038
1,39,235,43,18.3,01039
1,40,139,26,18.71,01040
1,41,207,54,26.09,01041
1,42,217,55,25.35,01042
1,43,215,35,16.28,01043
1,44,207,34,16.43,01044
1,45,239,41,17.15,01045
1,46,305,49,16.07,01046
1,47,256,55,21.48,01047
1,48,175,32,18.29,01048
1,49,158,28,17.72,01049
1,50,172,28,16.28,01050
2,1,713,174,24.4,02001
2,2,83,6,7.23,02002
2,3,381,81,21.26,02003
2,4,247,6,2.43,02004
2,5,280,14,5.0,02005
2,6,531,171,32.2,02006
2,7,342,7,2.05,02007
2,8,453,91,20.09,02008
2,9,286,15,5.24,02009
2,10,163,8,4.91,02010
2,11,496,86,17.34,02011
2,12,566,153,27.03,02012
2,13,325,26,8.0,02013
2,14,358,18,5.03,02014
2,15,178,4,2.25,02015
2,16,499,150,30.06,02016
2,17,247,7,2.83,02017
2,18,382,98,25.65,02018
2,19,559,169,30.23,02019
2,20,450,31,6.89,02020
2,21,328,33,10.06,02021
2,22,509,94,18.47,02022
2,23,203,16,7.88,02023
2,24,228,49,21.49,02024
2,25,436,57,13.07,02025
2,26,339,68,20.06,02026
2,27,239,7,2.93,02027
2,28,253,65,25.69,02028
2,29,176,14,7.95,02029
2,30,434,113,26.04,02030
2,31,297,9,3.03,02031
2,32,173,22,12.72,02032
2,33,204,6,2.94,02033
2,34,214,11,5.14,02034
2,35,91,17,18.68,02035
2,36,537,114,21.23,02036
2,37,296,62,20.95,02037
2,38,593,160,26.98,02038
2,39,331,42,12.69,02039
2,40,714,146,20.45,02040
2,41,166,3,1.81,02041
2,42,165,7,4.24,02042
2,43,398,43,10.8,02043
2,44,220,11,5.0,02044
2,45,299,22,7.36,02045
2,46,395,15,3.8,02046
2,47,207,7,3.38,02047
2,48,169,2,1.18,02048
2,49,323,57,17.65,02049
2,50,210,39,18.57,02050
2,51,221,8,3.62,02051
2,52,346,13,3.76,02052
2,53,335,76,22.69,02053
2,54,432,62,14.35,02054
2,55,191,51,26.7,02055
2,56,258,12,4.65,02056
3,1,248,2,0.81,03001
3,2,343,7,2.04,03002
3,3,331,40,12.08,03003
3,4,209,4,1.91,03004
3,5,241,10,4.15,03005
3,6,70,1,1.43,03006
3,7,284,14,4.93,03007
3,8,265,4,1.51,03008
3,9,285,5,1.75,03009
3,10,103,1,0.97,03010
3,11,283,2,0.71,03011
3,12,249,5,2.01,03012
3,13,158,46,29.11,03013
3,14,159,2,1.26,03014
3,15,305,5,1.64,03015
3,16,225,3,1.33,03016
3,17,143,2,1.4,03017
3,18,141,3,2.13,03018
3,19,70,18,25.71,03019
3,20,208,6,2.88,03020
3,21,113,3,2.65,03021
3,22,140,2,1.43,03022
3,23,260,7,2.69,03023
3,24,371,14,3.77,03024
3,25,185,3,1.62,03025
3,26,87,0,0.0,03026
3,27,280,4,1.43,03027
3,28,572,137,23.95,03028
3,29,263,7,2.66,03029
3,30,184,3,1.63,03030
3,31,372,8,2.15,03031
3,32,233,2,0.86,03032
3,33,338,7,2.07,03033
3,34,210,6,2.86,03034
3,35,267,6,2.25,03035
3,36,92,4,4.35,03036
3,37,116,2,1.72,03037
3,38,350,9,2.57,03038
3,39,346,8,2.31,03039
3,40,254,4,1.57,03040
3,41,219,14,6.39,03041
3,42,200,2,1.0,03042
3,43,50,0,0.0,03043
3,44,94,3,3.19,03044
3,45,384,50,13.02,03045
3,46,63,0,0.0,03046
3,47,159,5,3.14,03047
3,48,205,6,2.93,03048
3,49,102,0,0.0,03049
3,50,158,6,3.8,03050
4,1,491,33,6.72,04001
4,2,415,7,1.69,04002
4,3,371,11,2.96,04003
4,4,372,8,2.15,04004
4,5,437,11,2.52,04005
4,6,114,0,0.0,04006
4,7,396,13,3.28,04007
4,8,399,5,1.25,04008
4,9,578,6,1.04,04009
4,10,373,6,1.61,04010
4,11,300,6,2.0,04011
4,12,207,2,0.97,04012
4,13,263,18,6.84,04013
4,14,263,10,3.8,04014
4,15,296,19,6.42,04015
4,16,385,5,1.3,04016
4,17,334,27,8.08,04017
4,18,309,14,4.53,04018
4,19,327,3,0.92,04019
4,20,272,8,2.94,04020
4,21,431,13,3.02,04021
4,22,394,10,2.54,04022
4,23,252,17,6.75,04023
4,24,346,22,6.36,04024
4,25,342,6,1.75,04025
4,26,357,6,1.68,04026
4,27,279,2,0.72,04027
4,28,199,17,8.54,04028
4,29,291,22,7.56,04029
4,30,262,12,4.58,04030
4,31,228,15,6.58,04031
4,32,385,26,6.75,04032
4,33,303,6,1.98,04033
4,34,250,21,8.4,04034
4,35,219,4,1.83,04035
4,36,243,7,2.88,04036
4,37,7,0,0.0,04037
4,38,481,20,4.16,04038
4,39,234,7,2.99,04039
4,40,351,17,4.84,04040
4,41,167,11,6.59,04041
4,42,356,10,2.81,04042
4,43,210,4,1.9,04043
4,44,187,9,4.81,04044
4,45,494,20,4.05,04045
4,46,260,6,2.31,04046
4,47,457,20,4.38,04047
4,48,409,29,7.09,04048
4,49,260,4,1.54,04049
4,50,297,11,3.7,04050
4,51,301,7,2.33,04051
4,52,354,12,3.39,04052
5,1,332,6,1.81,05001
5,2,262,10,3.82,05002
5,3,161,8,4.97,05003
5,4,220,1,0.45,05004
5,5,274,5,1.82,05005
5,6,360,5,1.39,05006
5,7,323,9,2.79,05007
5,8,383,25,6.53,05008
5,9,286,5,1.75,05009
5,10,251,4,1.59,05010
5,11,259,18,6.95,05011
5,12,192,4,2.08,05012
5,13,303,17,5.61,05013
5,14,426,14,3.29,05014
5,15,290,24,8.28,05015
5,16,227,7,3.08,05016
5,17,312,4,1.28,05017
5,18,309,14,4.53,05018
5,19,166,4,2.41,05019
5,20,155,1,0.65,05020
5,21,326,3,0.92,05021
5,22,280,10,3.57,05022
5,23,197,7,3.55,05023
5,24,257,14,5.45,05024
5,25,310,8,2.58,05025
5,26,318,4,1.26,05026
5,27,437,44,10.07,05027
5,28,324,7,2.16,05028
5,29,289,7,2.42,05029
5,30,289,28,9.69,05030
5,31,271,4,1.48,05031
5,32,467,12,2.57,05032
5,33,195,5,2.56,05033
5,34,346,3,0.87,05034
5,35,242,20,8.26,05035
5,36,156,2,1.28,05036
5,37,243,10,4.12,05037
5,38,311,14,4.5,05038
5,39,401,26,6.48,05039
5,40,313,6,1.92,05040
5,41,295,27,9.15,05041
5,42,318,9,2.83,05042
5,43,308,3,0.97,05043
5,44,336,6,1.79,05044
5,45,175,3,1.71,05045
5,46,272,19,6.99,05046
5,47,243,4,1.65,05047
5,48,209,11,5.26,05048
5,49,70,2,2.86,05049
5,50,251,6,2.39,05050
5,51,204,7,3.43,05051
5,52,15,1,6.67,05052
5,53,347,13,3.75,05053
5,54,420,8,1.9,05054
5,55,277,2,0.72,05055
6,1,358,4,1.12,06001
6,2,342,6,1.75,06002
6,3,348,6,1.72,06003
6,4,226,8,3.54,06004
6,5,157,0,0.0,06005
6,6,272,7,2.57,06006
6,7,295,4,1.36,06007
6,8,395,4,1.01,06008
6,9,295,2,0.68,06009
6,10,425,6,1.41,06010
6,11,279,8,2.87,06011
6,12,298,3,1.01,06012
6,13,274,1,0.36,06013
6,14,284,2,0.7,06014
6,15,224,3,1.34,06015
6,16,356,3,0.84,06016
6,17,356,2,0.56,06017
6,18,191,3,1.57,06018
6,19,357,6,1.68,06019
6,20,313,5,1.6,06020
6,21,320,8,2.5,06021
6,22,307,4,1.3,06022
6,23,238,5,2.1,06023
6,24,297,3,1.01,06024
6,25,225,5,2.22,06025
6,26,334,2,0.6,06026
