ward,precinct,total,Adam Robinson,Adam Robinson Percent,Heather A. Steans,Heather A. Steans Percent,precinct_id
40,1,70,13,18.57,57,81.43,40001
40,2,144,29,20.14,115,79.86,40002
40,3,270,32,11.85,238,88.15,40003
40,4,269,32,11.9,237,88.1,40004
40,7,294,33,11.22,261,88.78,40007
40,9,242,47,19.42,195,80.58,40009
40,10,173,43,24.86,130,75.14,40010
40,11,236,35,14.83,201,85.17,40011
40,12,195,17,8.72,178,91.28,40012
40,13,334,39,11.68,295,88.32,40013
40,14,287,63,21.95,224,78.05,40014
40,15,247,42,17.0,205,83.0,40015
40,16,255,64,25.1,191,74.9,40016
40,18,293,48,16.38,245,83.62,40018
40,19,248,55,22.18,193,77.82,40019
40,21,248,48,19.35,200,80.65,40021
40,22,181,34,18.78,147,81.22,40022
40,23,366,50,13.66,316,86.34,40023
40,24,50,16,32.0,34,68.0,40024
40,25,193,53,27.46,140,72.54,40025
40,26,316,27,8.54,289,91.46,40026
40,27,226,37,16.37,189,83.63,40027
40,28,311,36,11.58,275,88.42,40028
40,33,268,40,14.93,228,85.07,40033
40,35,285,74,25.96,211,74.04,40035
40,36,286,55,19.23,231,80.77,40036
40,37,213,38,17.84,175,82.16,40037
40,39,198,41,20.71,157,79.29,40039
40,40,164,25,15.24,139,84.76,40040
40,41,347,52,14.99,295,85.01,40041
40,42,309,65,21.04,244,78.96,40042
40,43,313,54,17.25,259,82.75,40043
40,44,163,41,25.15,122,74.85,40044
40,45,435,95,21.84,340,78.16,40045
40,46,342,64,18.71,278,81.29,40046
40,47,269,27,10.04,242,89.96,40047
46,2,342,43,12.57,299,87.43,46002
46,4,298,40,13.42,258,86.58,46004
46,6,356,55,15.45,301,84.55,46006
46,7,239,37,15.48,202,84.52,46007
46,8,343,51,14.87,292,85.13,46008
46,9,299,58,19.4,241,80.6,46009
46,11,348,62,17.82,286,82.18,46011
46,12,371,43,11.59,328,88.41,46012
46,14,275,22,8.0,253,92.0,46014
46,16,302,53,17.55,249,82.45,46016
46,19,387,43,11.11,344,88.89,46019
46,20,241,39,16.18,202,83.82,46020
46,21,156,28,17.95,128,82.05,46021
46,22,256,58,22.66,198,77.34,46022
46,23,267,39,14.61,228,85.39,46023
46,25,437,121,27.69,316,72.31,46025
46,26,326,42,12.88,284,87.12,46026
46,27,364,102,28.02,262,71.98,46027
46,32,241,42,17.43,199,82.57,46032
46,34,323,40,12.38,283,87.62,46034
46,35,405,76,18.77,329,81.23,46035
46,38,261,55,21.07,206,78.93,46038
46,39,400,104,26.0,296,74.0,46039
46,40,248,62,25.0,186,75.0,46040
46,41,300,79,26.33,221,73.67,46041
46,42,319,37,11.6,282,88.4,46042
46,45,376,70,18.62,306,81.38,46045
46,46,298,44,14.77,254,85.23,46046
46,47,136,22,16.18,114,83.82,46047
47,5,396,83,20.96,313,79.04,47005
47,10,242,39,16.12,203,83.88,47010
47,11,550,82,14.91,468,85.09,47011
47,19,382,53,13.87,329,86.13,47019
47,20,414,76,18.36,338,81.64,47020
47,22,324,70,21.6,254,78.4,47022
47,23,187,31,16.58,156,83.42,47023
47,26,592,83,14.02,509,85.98,47026
47,28,430,77,17.91,353,82.09,47028
47,30,376,61,16.22,315,83.78,47030
47,31,400,55,13.75,345,86.25,47031
47,32,401,59,14.71,342,85.29,47032
47,33,327,41,12.54,286,87.46,47033
47,34,429,65,15.15,364,84.85,47034
47,36,517,80,15.47,437,84.53,47036
47,37,460,118,25.65,342,74.35,47037
47,38,406,72,17.73,334,82.27,47038
47,39,339,66,19.47,273,80.53,47039
47,41,579,83,14.34,496,85.66,47041
47,45,380,64,16.84,316,83.16,47045
48,1,340,59,17.35,281,82.65,48001
48,2,265,58,21.89,207,78.11,48002
48,3,445,50,11.24,395,88.76,48003
48,4,415,98,23.61,317,76.39,48004
48,5,284,60,21.13,224,78.87,48005
48,6,400,79,19.75,321,80.25,48006
48,7,288,37,12.85,251,87.15,48007
48,8,234,65,27.78,169,72.22,48008
48,9,320,69,21.56,251,78.44,48009
48,10,217,29,13.36,188,86.64,48010
48,11,338,39,11.54,299,88.46,48011
48,12,322,54,16.77,268,83.23,48012
48,13,293,55,18.77,238,81.23,48013
48,14,406,155,38.18,251,61.82,48014
48,15,189,37,19.58,152,80.42,48015
48,16,269,39,14.5,230,85.5,48016
48,17,373,64,17.16,309,82.84,48017
48,18,214,25,11.68,189,88.32,48018
48,19,272,27,9.93,245,90.07,48019
48,20,209,37,17.7,172,82.3,48020
48,21,349,56,16.05,293,83.95,48021
48,22,392,76,19.39,316,80.61,48022
48,23,272,44,16.18,228,83.82,48023
48,24,165,16,9.7,149,90.3,48024
48,25,323,36,11.15,287,88.85,48025
48,26,339,70,20.65,269,79.35,48026
48,27,218,40,18.35,178,81.65,48027
48,28,264,53,20.08,211,79.92,48028
48,29,228,42,18.42,186,81.58,48029
48,30,309,39,12.62,270,87.38,48030
48,31,272,24,8.82,248,91.18,48031
48,32,265,35,13.21,230,86.79,48032
48,33,262,47,17.94,215,82.06,48033
48,34,338,45,13.31,293,86.69,48034
48,35,135,27,20.0,108,80.0,48035
48,36,272,50,18.38,222,81.62,48036
