ward,precinct,total,Adam Robinson,Adam Robinson Percent,Heather A. Steans,Heather A. Steans Percent,precinct_id
48,37,286,40,13.99,246,86.01,48037
48,38,362,48,13.26,314,86.74,48038
48,39,278,53,19.06,225,80.94,48039
48,40,222,35,15.77,187,84.23,48040
48,41,196,38,19.39,158,80.61,48041
48,42,300,27,9.0,273,91.0,48042
48,43,396,44,11.11,352,88.89,48043
48,44,401,41,10.22,360,89.78,48044
48,45,249,45,18.07,204,81.93,48045
48,46,198,28,14.14,170,85.86,48046
48,47,262,34,12.98,228,87.02,48047
48,48,334,68,20.36,266,79.64,48048
48,49,143,21,14.69,122,85.31,48049
48,50,353,44,12.46,309,87.54,48050
48,51,440,62,14.09,378,85.91,48051
48,52,232,27,11.64,205,88.36,48052
48,53,192,27,14.06,165,85.94,48053
48,54,256,29,11.33,227,88.67,48054
49,2,409,76,18.58,333,81.42,49002
49,3,202,25,12.38,177,87.62,49003
49,4,148,24,16.22,124,83.78,49004
49,7,245,28,11.43,217,88.57,49007
49,8,310,47,15.16,263,84.84,49008
49,9,234,24,10.26,210,89.74,49009
49,10,255,37,14.51,218,85.49,49010
49,11,199,34,17.09,165,82.91,49011
49,12,312,31,9.94,281,90.06,49012
49,13,370,52,14.05,318,85.95,49013
49,15,250,29,11.6,221,88.4,49015
49,17,101,13,12.87,88,87.13,49017
49,18,213,27,12.68,186,87.32,49018
49,19,204,21,10.29,183,89.71,49019
49,21,91,17,18.68,74,81.32,49021
49,22,263,33,12.55,230,87.45,49022
49,23,225,20,8.89,205,91.11,49023
49,25,318,30,9.43,288,90.57,49025
49,26,316,84,26.58,232,73.42,49026
49,27,417,34,8.15,383,91.85,49027
49,29,348,55,15.8,293,84.2,49029
49,31,279,44,15.77,235,84.23,49031
49,32,193,27,13.99,166,86.01,49032
49,33,227,28,12.33,199,87.67,49033
49,36,406,45,11.08,361,88.92,49036
49,37,448,60,13.39,388,86.61,49037
49,39,259,18,6.95,241,93.05,49039
49,42,299,24,8.03,275,91.97,49042
50,34,22,7,31.82,15,68.18,50034
