ward,precinct,total,Mike Quigley,Mike Quigley Percent,Matthew Reichel,Matthew Reichel Percent,precinct_id
1,7,5,4,80.0,1,20.0,01007
1,28,105,74,70.48,3,2.86,01028
1,42,120,83,69.17,5,4.17,01042
29,2,167,134,80.24,6,3.59,29002
29,9,179,139,77.65,4,2.23,29009
29,24,22,19,86.36,1,4.55,29024
29,30,144,111,77.08,6,4.17,29030
29,32,192,145,75.52,10,5.21,29032
30,1,232,166,71.55,9,3.88,30001
30,2,152,117,76.97,5,3.29,30002
30,3,246,190,77.24,20,8.13,30003
30,6,139,112,80.58,5,3.6,30006
30,7,147,119,80.95,9,6.12,30007
30,8,216,165,76.39,13,6.02,30008
30,9,184,149,80.98,7,3.8,30009
30,10,163,127,77.91,7,4.29,30010
30,11,122,92,75.41,2,1.64,30011
30,12,134,100,74.63,6,4.48,30012
30,13,187,131,70.05,10,5.35,30013
30,14,60,44,73.33,5,8.33,30014
30,15,245,179,73.06,7,2.86,30015
30,16,212,154,72.64,13,6.13,30016
30,17,82,65,79.27,1,1.22,30017
30,25,29,17,58.62,1,3.45,30025
30,28,162,113,69.75,6,3.7,30028
30,30,228,163,71.49,13,5.7,30030
30,34,186,147,79.03,4,2.15,30034
30,37,146,97,66.44,10,6.85,30037
30,38,254,206,81.1,8,3.15,30038
30,39,189,147,77.78,11,5.82,30039
30,40,169,125,73.96,7,4.14,30040
31,3,132,99,75.0,7,5.3,31003
31,8,132,103,78.03,7,5.3,31008
31,9,127,101,79.53,1,0.79,31009
31,15,84,56,66.67,6,7.14,31015
31,16,102,87,85.29,6,5.88,31016
31,19,124,99,79.84,7,5.65,31019
31,26,115,91,79.13,7,6.09,31026
31,28,152,127,83.55,7,4.61,31028
31,29,123,98,79.67,3,2.44,31029
31,32,179,148,82.68,9,5.03,31032
31,33,179,144,80.45,10,5.59,31033
31,35,16,14,87.5,1,6.25,31035
31,38,99,82,82.83,4,4.04,31038
31,41,143,118,82.52,6,4.2,31041
31,43,177,134,75.71,9,5.08,31043
31,45,131,95,72.52,9,6.87,31045
31,46,131,114,87.02,8,6.11,31046
31,47,148,114,77.03,9,6.08,31047
31,48,125,106,84.8,3,2.4,31048
31,50,162,115,70.99,6,3.7,31050
32,7,278,189,67.99,5,1.8,32007
32,8,487,322,66.12,11,2.26,32008
32,9,524,402,76.72,11,2.1,32009
32,10,350,231,66.0,12,3.43,32010
32,13,190,113,59.47,2,1.05,32013
32,15,241,170,70.54,6,2.49,32015
