ward,precinct,total,Brian G. Doherty,Brian G. Doherty Percent,John G. Mulroe,John G. Mulroe Percent,precinct_id
29,9,34,7,20.59,27,79.41,29009
36,5,212,123,58.02,89,41.98,36005
36,6,206,53,25.73,153,74.27,36006
36,7,203,118,58.13,85,41.87,36007
36,8,259,114,44.02,145,55.98,36008
36,9,237,80,33.76,157,66.24,36009
36,10,185,69,37.3,116,62.7,36010
36,11,336,143,42.56,193,57.44,36011
36,12,178,73,41.01,105,58.99,36012
36,13,357,130,36.41,227,63.59,36013
36,14,250,79,31.6,171,68.4,36014
36,15,225,63,28.0,162,72.0,36015
36,17,254,167,65.75,87,34.25,36017
36,18,313,200,63.9,113,36.1,36018
36,19,254,77,30.31,177,69.69,36019
36,20,346,102,29.48,244,70.52,36020
36,21,440,179,40.68,261,59.32,36021
36,25,187,82,43.85,105,56.15,36025
36,26,284,124,43.66,160,56.34,36026
36,27,136,56,41.18,80,58.82,36027
36,28,214,87,40.65,127,59.35,36028
36,29,215,87,40.47,128,59.53,36029
36,30,321,161,50.16,160,49.84,36030
36,31,271,100,36.9,171,63.1,36031
36,32,249,102,40.96,147,59.04,36032
36,34,210,113,53.81,97,46.19,36034
36,35,281,109,38.79,172,61.21,36035
36,37,233,104,44.64,129,55.36,36037
36,38,162,76,46.91,86,53.09,36038
36,39,249,129,51.81,120,48.19,36039
36,40,301,136,45.18,165,54.82,36040
36,41,70,27,38.57,43,61.43,36041
36,42,232,95,40.95,137,59.05,36042
36,43,228,71,31.14,157,68.86,36043
36,46,209,118,56.46,91,43.54,36046
36,47,171,68,39.77,103,60.23,36047
36,48,209,81,38.76,128,61.24,36048
36,49,344,144,41.86,200,58.14,36049
36,50,218,77,35.32,141,64.68,36050
36,52,250,81,32.4,169,67.6,36052
36,53,80,34,42.5,46,57.5,36053
38,1,275,102,37.09,173,62.91,38001
38,2,192,56,29.17,136,70.83,38002
38,3,185,88,47.57,97,52.43,38003
38,4,134,48,35.82,86,64.18,38004
38,5,36,11,30.56,25,69.44,38005
38,6,221,75,33.94,146,66.06,38006
38,8,185,91,49.19,94,50.81,38008
38,9,267,94,35.21,173,64.79,38009
38,11,177,62,35.03,115,64.97,38011
38,12,241,97,40.25,144,59.75,38012
38,13,223,73,32.74,150,67.26,38013
38,14,200,82,41.0,118,59.0,38014
38,15,161,47,29.19,114,70.81,38015
38,17,188,44,23.4,144,76.6,38017
38,18,248,103,41.53,145,58.47,38018
38,19,277,117,42.24,160,57.76,38019
38,21,220,103,46.82,117,53.18,38021
38,22,247,90,36.44,157,63.56,38022
38,23,178,67,37.64,111,62.36,38023
38,25,205,50,24.39,155,75.61,38025
38,26,176,67,38.07,109,61.93,38026
38,27,144,49,34.03,95,65.97,38027
38,28,183,62,33.88,121,66.12,38028
38,29,202,67,33.17,135,66.83,38029
38,30,222,69,31.08,153,68.92,38030
38,31,264,66,25.0,198,75.0,38031
38,32,280,105,37.5,175,62.5,38032
38,33,199,58,29.15,141,70.85,38033
38,35,286,92,32.17,194,67.83,38035
38,36,238,80,33.61,158,66.39,38036
38,37,231,69,29.87,162,70.13,38037
38,38,273,139,50.92,134,49.08,38038
38,39,235,81,34.47,154,65.53,38039
38,40,196,76,38.78,120,61.22,38040
38,41,336,115,34.23,221,65.77,38041
38,42,266,111,41.73,155,58.27,38042
38,43,255,96,37.65,159,62.35,38043
38,44,251,95,37.85,156,62.15,38044
38,45,297,109,36.7,188,63.3,38045
38,46,210,77,36.67,133,63.33,38046
38,47,236,78,33.05,158,66.95,38047
38,48,229,71,31.0,158,69.0,38048
38,49,248,110,44.35,138,55.65,38049
38,50,247,108,43.72,139,56.28,38050
38,51,182,70,38.46,112,61.54,38051
38,52,244,81,33.2,163,66.8,38052
41,1,418,228,54.55,190,45.45,41001
41,2,435,205,47.13,230,52.87,41002
41,3,346,180,52.02,166,47.98,41003
41,4,419,199,47.49,220,52.51,41004
41,5,484,219,45.25,265,54.75,41005
41,7,464,241,51.94,223,48.06,41007
41,8,399,221,55.39,178,44.61,41008
41,9,398,205,51.51,193,48.49,41009
41,11,396,196,49.49,200,50.51,41011
41,12,367,174,47.41,193,52.59,41012
41,15,442,207,46.83,235,53.17,41015
41,16,384,169,44.01,215,55.99,41016
41,17,392,193,49.23,199,50.77,41017
41,18,328,177,53.96,151,46.04,41018
41,20,418,291,69.62,127,30.38,41020
41,21,403,199,49.38,204,50.62,41021
41,22,336,189,56.25,147,43.75,41022
41,24,371,235,63.34,136,36.66,41024
41,30,437,212,48.51,225,51.49,41030
41,31,416,198,47.6,218,52.4,41031
41,33,277,186,67.15,91,32.85,41033
41,34,336,254,75.6,82,24.4,41034
41,35,430,223,51.86,207,48.14,41035
41,36,412,238,57.77,174,42.23,41036
41,37,452,287,63.5,165,36.5,41037
41,38,386,201,52.07,185,47.93,41038
41,40,448,224,50.0,224,50.0,41040
41,41,406,227,55.91,179,44.09,41041
41,42,465,228,49.03,237,50.97,41042
41,43,379,201,53.03,178,46.97,41043
41,45,386,201,52.07,185,47.93,41045
41,46,290,159,54.83,131,45.17,41046
41,49,466,202,43.35,264,56.65,41049
41,50,414,222,53.62,192,46.38,41050
41,51,272,114,41.91,158,58.09,41051
41,52,453,237,52.32,216,47.68,41052
41,53,376,225,59.84,151,40.16,41053
41,55,380,298,78.42,82,21.58,41055
41,56,487,237,48.67,250,51.33,41056
45,1,230,74,32.17,156,67.83,45001
45,2,362,147,40.61,215,59.39,45002
45,3,310,120,38.71,190,61.29,45003
45,6,296,121,40.88,175,59.12,45006
45,7,294,101,34.35,193,65.65,45007
45,8,241,90,37.34,151,62.66,45008
45,9,317,144,45.43,173,54.57,45009
45,11,287,124,43.21,163,56.79,45011
45,13,335,131,39.1,204,60.9,45013
45,15,302,144,47.68,158,52.32,45015
45,16,286,83,29.02,203,70.98,45016
45,17,258,111,43.02,147,56.98,45017
45,18,286,79,27.62,207,72.38,45018
45,19,324,141,43.52,183,56.48,45019
45,20,273,107,39.19,166,60.81,45020
45,21,275,127,46.18,148,53.82,45021
45,22,266,128,48.12,138,51.88,45022
45,23,327,150,45.87,177,54.13,45023
45,25,282,86,30.5,196,69.5,45025
45,26,320,98,30.63,222,69.38,45026
45,27,260,104,40.0,156,60.0,45027
45,28,236,76,32.2,160,67.8,45028
45,29,305,101,33.11,204,66.89,45029
45,30,318,145,45.6,173,54.4,45030
45,31,292,88,30.14,204,69.86,45031
45,32,211,71,33.65,140,66.35,45032
45,33,281,131,46.62,150,53.38,45033
