ward,precinct,total,Steve Kim,Steve Kim Percent,Lisa Madigan,Lisa Madigan Percent,Bill Malan,Bill Malan Percent,precinct_id
1,1,282,41,14.54,222,78.72,2,0.71,01001
1,2,330,52,15.76,258,78.18,4,1.21,01002
1,3,227,30,13.22,186,81.94,3,1.32,01003
1,4,283,40,14.13,221,78.09,7,2.47,01004
1,5,281,43,15.3,222,79.0,3,1.07,01005
1,6,289,55,19.03,224,77.51,2,0.69,01006
1,7,294,48,16.33,239,81.29,1,0.34,01007
1,8,303,34,11.22,254,83.83,5,1.65,01008
1,9,223,23,10.31,181,81.17,4,1.79,01009
1,10,315,57,18.1,236,74.92,8,2.54,01010
1,11,252,31,12.3,209,82.94,4,1.59,01011
1,12,352,78,22.16,249,70.74,9,2.56,01012
1,13,344,43,12.5,275,79.94,3,0.87,01013
1,14,288,40,13.89,228,79.17,6,2.08,01014
1,15,188,9,4.79,169,89.89,1,0.53,01015
1,16,116,8,6.9,106,91.38,1,0.86,01016
1,17,184,15,8.15,160,86.96,4,2.17,01017
1,18,250,26,10.4,206,82.4,5,2.0,01018
1,19,188,22,11.7,151,80.32,0,0.0,01019
1,20,299,46,15.38,227,75.92,4,1.34,01020
1,21,227,48,21.15,169,74.45,5,2.2,01021
1,22,220,18,8.18,191,86.82,1,0.45,01022
1,23,224,38,16.96,172,76.79,5,2.23,01023
1,24,388,38,9.79,312,80.41,6,1.55,01024
1,25,213,38,17.84,160,75.12,5,2.35,01025
1,26,273,60,21.98,195,71.43,11,4.03,01026
1,27,190,44,23.16,130,68.42,7,3.68,01027
1,28,151,18,11.92,122,80.79,3,1.99,01028
1,29,303,44,14.52,235,77.56,7,2.31,01029
1,30,369,40,10.84,305,82.66,3,0.81,01030
1,31,373,83,22.25,265,71.05,14,3.75,01031
1,32,250,33,13.2,203,81.2,5,2.0,01032
1,33,292,43,14.73,234,80.14,3,1.03,01033
1,34,199,31,15.58,155,77.89,2,1.01,01034
1,35,272,56,20.59,210,77.21,2,0.74,01035
1,36,292,63,21.58,218,74.66,3,1.03,01036
1,37,213,31,14.55,168,78.87,4,1.88,01037
1,38,168,22,13.1,136,80.95,1,0.6,01038
1,39,243,30,12.35,198,81.48,5,2.06,01039
1,40,150,26,17.33,111,74.0,5,3.33,01040
1,41,210,30,14.29,165,78.57,4,1.9,01041
1,42,233,48,20.6,176,75.54,3,1.29,01042
1,43,232,22,9.48,202,87.07,1,0.43,01043
1,44,218,21,9.63,178,81.65,8,3.67,01044
1,45,256,29,11.33,210,82.03,7,2.73,01045
1,46,322,45,13.98,255,79.19,5,1.55,01046
1,47,276,44,15.94,213,77.17,5,1.81,01047
1,48,192,29,15.1,156,81.25,3,1.56,01048
1,49,171,22,12.87,136,79.53,4,2.34,01049
1,50,184,26,14.13,152,82.61,1,0.54,01050
2,1,751,145,19.31,573,76.3,10,1.33,02001
2,2,85,3,3.53,80,94.12,0,0.0,02002
2,3,394,54,13.71,327,82.99,10,2.54,02003
2,4,263,6,2.28,253,96.2,1,0.38,02004
2,5,292,8,2.74,277,94.86,2,0.68,02005
2,6,546,144,26.37,376,68.86,16,2.93,02006
2,7,350,5,1.43,340,97.14,0,0.0,02007
2,8,459,78,16.99,370,80.61,4,0.87,02008
2,9,296,11,3.72,275,92.91,4,1.35,02009
2,10,176,4,2.27,161,91.48,4,2.27,02010
2,11,502,67,13.35,415,82.67,5,1.0,02011
2,12,591,136,23.01,423,71.57,12,2.03,02012
2,13,330,27,8.18,291,88.18,4,1.21,02013
2,14,362,16,4.42,333,91.99,3,0.83,02014
2,15,182,6,3.3,174,95.6,0,0.0,02015
2,16,530,140,26.42,373,70.38,4,0.75,02016
2,17,254,3,1.18,246,96.85,2,0.79,02017
2,18,393,86,21.88,294,74.81,9,2.29,02018
2,19,588,147,25.0,418,71.09,8,1.36,02019
2,20,455,25,5.49,422,92.75,2,0.44,02020
2,21,343,25,7.29,306,89.21,5,1.46,02021
2,22,529,90,17.01,426,80.53,5,0.95,02022
2,23,211,14,6.64,194,91.94,1,0.47,02023
2,24,234,37,15.81,184,78.63,6,2.56,02024
2,25,458,40,8.73,407,88.86,5,1.09,02025
2,26,355,48,13.52,291,81.97,6,1.69,02026
2,27,242,5,2.07,233,96.28,3,1.24,02027
2,28,274,62,22.63,203,74.09,4,1.46,02028
2,29,188,13,6.91,172,91.49,0,0.0,02029
2,30,463,102,22.03,349,75.38,5,1.08,02030
2,31,303,8,2.64,291,96.04,0,0.0,02031
2,32,182,21,11.54,158,86.81,1,0.55,02032
2,33,201,3,1.49,198,98.51,0,0.0,02033
2,34,226,7,3.1,210,92.92,5,2.21,02034
2,35,92,10,10.87,77,83.7,0,0.0,02035
2,36,562,103,18.33,442,78.65,6,1.07,02036
2,37,315,52,16.51,249,79.05,5,1.59,02037
2,38,605,144,23.8,441,72.89,6,0.99,02038
2,39,335,28,8.36,298,88.96,5,1.49,02039
2,40,758,131,17.28,595,78.5,13,1.72,02040
2,41,168,1,0.6,163,97.02,1,0.6,02041
2,42,171,2,1.17,164,95.91,2,1.17,02042
2,43,420,45,10.71,357,85.0,8,1.9,02043
2,44,219,9,4.11,204,93.15,2,0.91,02044
2,45,305,13,4.26,278,91.15,7,2.3,02045
2,46,398,8,2.01,375,94.22,2,0.5,02046
2,47,209,1,0.48,199,95.22,4,1.91,02047
2,48,174,3,1.72,165,94.83,1,0.57,02048
2,49,343,48,13.99,264,76.97,10,2.92,02049
2,50,220,23,10.45,181,82.27,12,5.45,02050
2,51,225,5,2.22,214,95.11,0,0.0,02051
2,52,356,8,2.25,337,94.66,2,0.56,02052
2,53,343,67,19.53,265,77.26,4,1.17,02053
2,54,447,41,9.17,374,83.67,12,2.68,02054
2,55,205,41,20.0,157,76.59,3,1.46,02055
2,56,263,10,3.8,246,93.54,1,0.38,02056
3,1,251,4,1.59,236,94.02,4,1.59,03001
3,2,338,5,1.48,327,96.75,1,0.3,03002
3,3,349,32,9.17,306,87.68,5,1.43,03003
3,4,212,1,0.47,204,96.23,0,0.0,03004
3,5,251,8,3.19,229,91.24,4,1.59,03005
3,6,72,2,2.78,67,93.06,0,0.0,03006
3,7,314,18,5.73,290,92.36,1,0.32,03007
3,8,269,1,0.37,266,98.88,2,0.74,03008
3,9,293,4,1.37,285,97.27,0,0.0,03009
3,10,107,1,0.93,106,99.07,0,0.0,03010
3,11,287,3,1.05,274,95.47,2,0.7,03011
3,12,253,5,1.98,238,94.07,2,0.79,03012
3,13,163,15,9.2,142,87.12,5,3.07,03013
3,14,162,7,4.32,152,93.83,0,0.0,03014
3,15,314,5,1.59,305,97.13,0,0.0,03015
3,16,226,6,2.65,212,93.81,1,0.44,03016
3,17,147,2,1.36,144,97.96,1,0.68,03017
3,18,139,1,0.72,133,95.68,1,0.72,03018
3,19,71,11,15.49,58,81.69,0,0.0,03019
3,20,212,4,1.89,197,92.92,0,0.0,03020
3,21,118,0,0.0,114,96.61,1,0.85,03021
3,22,143,2,1.4,138,96.5,2,1.4,03022
3,23,269,4,1.49,253,94.05,1,0.37,03023
3,24,379,5,1.32,363,95.78,3,0.79,03024
3,25,196,1,0.51,195,99.49,0,0.0,03025
3,26,87,3,3.45,81,93.1,1,1.15,03026
3,27,283,3,1.06,277,97.88,3,1.06,03027
3,28,594,118,19.87,447,75.25,10,1.68,03028
3,29,261,5,1.92,252,96.55,1,0.38,03029
3,30,187,1,0.53,179,95.72,0,0.0,03030
3,31,373,2,0.54,362,97.05,1,0.27,03031
3,32,235,1,0.43,233,99.15,0,0.0,03032
3,33,344,5,1.45,328,95.35,2,0.58,03033
3,34,218,4,1.83,207,94.95,1,0.46,03034
3,35,275,3,1.09,267,97.09,1,0.36,03035
3,36,92,1,1.09,90,97.83,0,0.0,03036
3,37,116,0,0.0,115,99.14,0,0.0,03037
3,38,359,1,0.28,350,97.49,1,0.28,03038
3,39,356,4,1.12,347,97.47,3,0.84,03039
3,40,252,3,1.19,242,96.03,2,0.79,03040
3,41,222,13,5.86,194,87.39,8,3.6,03041
3,42,213,6,2.82,198,92.96,1,0.47,03042
3,43,50,1,2.0,48,96.0,1,2.0,03043
3,44,98,3,3.06,95,96.94,0,0.0,03044
3,45,393,42,10.69,342,87.02,3,0.76,03045
3,46,62,0,0.0,62,100.0,0,0.0,03046
3,47,167,2,1.2,161,96.41,1,0.6,03047
3,48,213,0,0.0,207,97.18,3,1.41,03048
3,49,103,0,0.0,100,97.09,0,0.0,03049
3,50,164,3,1.83,156,95.12,3,1.83,03050
4,1,511,34,6.65,457,89.43,3,0.59,04001
4,2,418,3,0.72,406,97.13,0,0.0,04002
4,3,387,3,0.78,370,95.61,2,0.52,04003
4,4,384,3,0.78,373,97.14,1,0.26,04004
4,5,456,8,1.75,437,95.83,3,0.66,04005
4,6,110,1,0.91,102,92.73,1,0.91,04006
4,7,394,9,2.28,373,94.67,1,0.25,04007
4,8,402,7,1.74,385,95.77,4,1.0,04008
4,9,581,4,0.69,563,96.9,1,0.17,04009
4,10,374,3,0.8,362,96.79,1,0.27,04010
4,11,317,2,0.63,308,97.16,0,0.0,04011
4,12,212,7,3.3,198,93.4,0,0.0,04012
4,13,267,13,4.87,238,89.14,1,0.37,04013
4,14,268,6,2.24,256,95.52,1,0.37,04014
4,15,302,13,4.3,279,92.38,3,0.99,04015
4,16,395,5,1.27,383,96.96,1,0.25,04016
4,17,346,21,6.07,319,92.2,2,0.58,04017
4,18,319,13,4.08,297,93.1,3,0.94,04018
4,19,338,4,1.18,327,96.75,2,0.59,04019
4,20,281,3,1.07,272,96.8,1,0.36,04020
4,21,442,13,2.94,409,92.53,2,0.45,04021
4,22,403,12,2.98,376,93.3,4,0.99,04022
4,23,256,18,7.03,227,88.67,1,0.39,04023
4,24,356,13,3.65,333,93.54,3,0.84,04024
4,25,342,7,2.05,329,96.2,1,0.29,04025
4,26,366,4,1.09,356,97.27,0,0.0,04026
4,27,282,5,1.77,275,97.52,1,0.35,04027
4,28,212,13,6.13,193,91.04,1,0.47,04028
4,29,299,19,6.35,274,91.64,0,0.0,04029
4,30,263,10,3.8,251,95.44,1,0.38,04030
4,31,236,11,4.66,209,88.56,0,0.0,04031
4,32,400,26,6.5,355,88.75,2,0.5,04032
4,33,306,8,2.61,290,94.77,2,0.65,04033
