ward,precinct,total,Raymond G. Wardingley,Raymond G. Wardingley Percent,Bobby L. Rush,Bobby L. Rush Percent,Jeff Adams,Jeff Adams Percent,precinct_id
2,14,351,16,4.56,327,93.16,8,2.28,02014
2,20,269,8,2.97,253,94.05,8,2.97,02020
2,31,299,12,4.01,279,93.31,8,2.68,02031
2,44,226,13,5.75,204,90.27,9,3.98,02044
2,46,401,15,3.74,373,93.02,13,3.24,02046
3,5,246,10,4.07,226,91.87,10,4.07,03005
3,7,304,18,5.92,278,91.45,8,2.63,03007
3,20,29,2,6.9,25,86.21,2,6.9,03020
3,23,80,1,1.25,77,96.25,2,2.5,03023
3,30,183,0,0.0,177,96.72,6,3.28,03030
3,34,215,9,4.19,198,92.09,8,3.72,03034
3,36,6,0,0.0,6,100.0,0,0.0,03036
3,38,357,2,0.56,350,98.04,5,1.4,03038
3,41,226,20,8.85,196,86.73,10,4.42,03041
3,44,97,1,1.03,96,98.97,0,0.0,03044
3,49,10,0,0.0,10,100.0,0,0.0,03049
4,1,515,44,8.54,444,86.21,27,5.24,04001
4,2,416,4,0.96,395,94.95,17,4.09,04002
4,3,378,3,0.79,361,95.5,14,3.7,04003
4,8,405,8,1.98,387,95.56,10,2.47,04008
4,9,574,7,1.22,560,97.56,7,1.22,04009
4,12,210,3,1.43,197,93.81,10,4.76,04012
4,13,263,19,7.22,225,85.55,19,7.22,04013
4,16,392,4,1.02,381,97.19,7,1.79,04016
4,17,337,22,6.53,304,90.21,11,3.26,04017
4,18,318,13,4.09,296,93.08,9,2.83,04018
4,19,335,4,1.19,322,96.12,9,2.69,04019
4,20,278,4,1.44,273,98.2,1,0.36,04020
4,21,439,16,3.64,390,88.84,33,7.52,04021
4,22,396,12,3.03,354,89.39,30,7.58,04022
4,23,261,23,8.81,224,85.82,14,5.36,04023
4,24,354,20,5.65,313,88.42,21,5.93,04024
4,26,361,9,2.49,347,96.12,5,1.39,04026
4,28,209,18,8.61,173,82.78,18,8.61,04028
4,29,295,27,9.15,250,84.75,18,6.1,04029
4,31,237,22,9.28,185,78.06,30,12.66,04031
4,32,392,36,9.18,320,81.63,36,9.18,04032
4,33,304,6,1.97,287,94.41,11,3.62,04033
4,34,257,25,9.73,204,79.38,28,10.89,04034
4,37,8,0,0.0,8,100.0,0,0.0,04037
4,38,484,19,3.93,443,91.53,22,4.55,04038
4,39,236,1,0.42,230,97.46,5,2.12,04039
4,40,358,7,1.96,340,94.97,11,3.07,04040
4,41,177,14,7.91,139,78.53,24,13.56,04041
4,42,72,1,1.39,71,98.61,0,0.0,04042
4,43,234,5,2.14,207,88.46,22,9.4,04043
4,44,190,7,3.68,173,91.05,10,5.26,04044
4,45,502,20,3.98,467,93.03,15,2.99,04045
4,46,264,4,1.52,251,95.08,9,3.41,04046
4,47,467,23,4.93,407,87.15,37,7.92,04047
4,48,417,38,9.11,351,84.17,28,6.71,04048
4,49,269,1,0.37,263,97.77,5,1.86,04049
4,50,295,5,1.69,283,95.93,7,2.37,04050
4,51,303,4,1.32,290,95.71,9,2.97,04051
4,52,356,4,1.12,345,96.91,7,1.97,04052
5,2,266,6,2.26,254,95.49,6,2.26,05002
5,3,169,5,2.96,151,89.35,13,7.69,05003
5,5,283,1,0.35,281,99.29,1,0.35,05005
5,8,408,30,7.35,343,84.07,35,8.58,05008
5,9,290,4,1.38,281,96.9,5,1.72,05009
5,10,260,3,1.15,252,96.92,5,1.92,05010
5,12,197,3,1.52,190,96.45,4,2.03,05012
5,13,303,8,2.64,285,94.06,10,3.3,05013
5,15,297,20,6.73,246,82.83,31,10.44,05015
5,16,230,4,1.74,221,96.09,5,2.17,05016
5,17,325,3,0.92,318,97.85,4,1.23,05017
5,18,314,11,3.5,294,93.63,9,2.87,05018
5,19,169,3,1.78,166,98.22,0,0.0,05019
5,20,158,2,1.27,156,98.73,0,0.0,05020
5,22,289,3,1.04,281,97.23,5,1.73,05022
5,23,196,3,1.53,190,96.94,3,1.53,05023
5,25,315,4,1.27,306,97.14,5,1.59,05025
5,27,454,58,12.78,347,76.43,49,10.79,05027
5,30,303,38,12.54,230,75.91,35,11.55,05030
