ward,precinct,total,Robyn Gabel,Robyn Gabel Percent,precinct_id
49,1,236,236,100.0,49001
49,5,248,248,100.0,49005
49,6,249,249,100.0,49006
49,14,246,246,100.0,49014
49,16,183,183,100.0,49016
49,20,279,279,100.0,49020
49,30,254,254,100.0,49030
49,34,250,250,100.0,49034
49,35,274,274,100.0,49035
