ward,precinct,total,Deborah L. Mell,Deborah L. Mell Percent,precinct_id
1,7,113,113,100.0,01007
1,16,79,79,100.0,01016
1,19,131,131,100.0,01019
1,28,51,51,100.0,01028
1,41,70,70,100.0,01041
1,42,129,129,100.0,01042
30,1,165,165,100.0,30001
30,3,178,178,100.0,30003
30,7,122,122,100.0,30007
30,8,154,154,100.0,30008
30,13,131,131,100.0,30013
30,14,42,42,100.0,30014
30,15,171,171,100.0,30015
30,16,166,166,100.0,30016
30,30,170,170,100.0,30030
30,38,197,197,100.0,30038
30,39,147,147,100.0,30039
31,8,100,100,100.0,31008
31,26,84,84,100.0,31026
33,1,281,281,100.0,33001
33,2,316,316,100.0,33002
33,3,277,277,100.0,33003
33,4,285,285,100.0,33004
33,5,247,247,100.0,33005
33,6,255,255,100.0,33006
33,9,285,285,100.0,33009
33,11,294,294,100.0,33011
33,12,274,274,100.0,33012
33,13,279,279,100.0,33013
33,14,243,243,100.0,33014
33,15,277,277,100.0,33015
33,16,231,231,100.0,33016
33,17,306,306,100.0,33017
33,18,57,57,100.0,33018
33,19,278,278,100.0,33019
33,20,280,280,100.0,33020
33,21,314,314,100.0,33021
33,22,341,341,100.0,33022
33,23,320,320,100.0,33023
33,25,344,344,100.0,33025
33,26,314,314,100.0,33026
33,27,282,282,100.0,33027
35,1,8,8,100.0,35001
35,4,236,236,100.0,35004
35,22,86,86,100.0,35022
35,24,0,0,0.0,35024
35,26,261,261,100.0,35026
35,33,140,140,100.0,35033
38,10,29,29,100.0,38010
38,24,119,119,100.0,38024
38,34,107,107,100.0,38034
39,12,121,121,100.0,39012
39,13,118,118,100.0,39013
39,22,202,202,100.0,39022
39,23,123,123,100.0,39023
39,24,189,189,100.0,39024
39,27,215,215,100.0,39027
39,28,237,237,100.0,39028
39,29,195,195,100.0,39029
39,30,124,124,100.0,39030
39,31,143,143,100.0,39031
39,44,283,283,100.0,39044
39,46,173,173,100.0,39046
