ward,precinct,total,Steven James ''Steve'' Bernstein,Steven James ''Steve'' Bernstein Percent,precinct_id
39,32,128,128,100.0,39032
39,41,41,41,100.0,39041
40,9,163,163,100.0,40009
40,12,139,139,100.0,40012
40,13,211,211,100.0,40013
40,18,152,152,100.0,40018
40,26,200,200,100.0,40026
40,27,157,157,100.0,40027
40,28,223,223,100.0,40028
40,35,182,182,100.0,40035
40,37,131,131,100.0,40037
40,39,143,143,100.0,40039
40,47,177,177,100.0,40047
41,19,127,127,100.0,41019
41,44,198,198,100.0,41044
41,47,184,184,100.0,41047
41,54,144,144,100.0,41054
41,57,162,162,100.0,41057
45,5,3,3,100.0,45005
48,2,171,171,100.0,48002
48,13,187,187,100.0,48013
48,15,128,128,100.0,48015
48,22,265,265,100.0,48022
48,32,98,98,100.0,48032
48,33,171,171,100.0,48033
48,41,131,131,100.0,48041
48,54,182,182,100.0,48054
49,1,197,197,100.0,49001
49,2,271,271,100.0,49002
49,3,125,125,100.0,49003
49,4,105,105,100.0,49004
49,5,204,204,100.0,49005
49,6,209,209,100.0,49006
49,7,160,160,100.0,49007
49,8,196,196,100.0,49008
49,9,167,167,100.0,49009
49,10,163,163,100.0,49010
49,11,132,132,100.0,49011
49,12,221,221,100.0,49012
49,13,224,224,100.0,49013
49,14,193,193,100.0,49014
49,15,183,183,100.0,49015
49,16,142,142,100.0,49016
49,18,142,142,100.0,49018
49,19,151,151,100.0,49019
49,20,230,230,100.0,49020
49,21,56,56,100.0,49021
49,22,165,165,100.0,49022
49,23,151,151,100.0,49023
49,24,194,194,100.0,49024
49,25,221,221,100.0,49025
49,26,189,189,100.0,49026
49,27,305,305,100.0,49027
49,28,145,145,100.0,49028
49,29,236,236,100.0,49029
49,30,206,206,100.0,49030
49,31,196,196,100.0,49031
49,32,114,114,100.0,49032
49,33,138,138,100.0,49033
49,34,197,197,100.0,49034
49,35,210,210,100.0,49035
49,36,277,277,100.0,49036
49,37,306,306,100.0,49037
49,38,187,187,100.0,49038
49,39,172,172,100.0,49039
49,40,165,165,100.0,49040
49,41,191,191,100.0,49041
49,42,200,200,100.0,49042
50,1,192,192,100.0,50001
50,2,229,229,100.0,50002
50,3,153,153,100.0,50003
50,4,177,177,100.0,50004
50,5,196,196,100.0,50005
50,6,131,131,100.0,50006
50,7,204,204,100.0,50007
50,9,140,140,100.0,50009
50,10,130,130,100.0,50010
50,11,144,144,100.0,50011
50,12,108,108,100.0,50012
50,13,215,215,100.0,50013
50,14,86,86,100.0,50014
50,15,214,214,100.0,50015
50,16,87,87,100.0,50016
50,17,140,140,100.0,50017
50,18,152,152,100.0,50018
50,19,146,146,100.0,50019
50,20,173,173,100.0,50020
50,21,181,181,100.0,50021
50,22,195,195,100.0,50022
50,24,186,186,100.0,50024
50,25,171,171,100.0,50025
50,26,137,137,100.0,50026
50,27,76,76,100.0,50027
50,28,191,191,100.0,50028
50,30,139,139,100.0,50030
50,31,53,53,100.0,50031
50,32,214,214,100.0,50032
50,33,125,125,100.0,50033
50,34,174,174,100.0,50034
50,35,240,240,100.0,50035
50,36,187,187,100.0,50036
50,37,230,230,100.0,50037
50,38,124,124,100.0,50038
50,39,124,124,100.0,50039
50,40,163,163,100.0,50040
50,41,208,208,100.0,50041
50,42,153,153,100.0,50042
50,43,165,165,100.0,50043
50,44,139,139,100.0,50044
50,45,47,47,100.0,50045
