ward,precinct,total,Yes,Yes Percent,No,No Percent,precinct_id
1,1,152,121,79.61,31,20.39,01001
1,2,144,122,84.72,22,15.28,01002
1,3,114,91,79.82,23,20.18,01003
1,4,132,108,81.82,24,18.18,01004
1,5,148,120,81.08,28,18.92,01005
1,6,128,96,75.0,32,25.0,01006
1,7,141,110,78.01,31,21.99,01007
1,8,142,116,81.69,26,18.31,01008
1,9,149,122,81.88,27,18.12,01009
1,10,157,130,82.8,27,17.2,01010
1,11,124,102,82.26,22,17.74,01011
1,12,182,145,79.67,37,20.33,01012
1,13,202,152,75.25,50,24.75,01013
1,14,152,123,80.92,29,19.08,01014
1,15,107,87,81.31,20,18.69,01015
1,16,48,41,85.42,7,14.58,01016
1,17,80,71,88.75,9,11.25,01017
1,18,107,77,71.96,30,28.04,01018
1,19,95,71,74.74,24,25.26,01019
1,20,136,109,80.15,27,19.85,01020
1,21,101,82,81.19,19,18.81,01021
1,22,109,85,77.98,24,22.02,01022
1,23,130,91,70.0,39,30.0,01023
1,24,212,162,76.42,50,23.58,01024
1,25,88,73,82.95,15,17.05,01025
1,26,153,120,78.43,33,21.57,01026
1,27,109,79,72.48,30,27.52,01027
1,28,78,55,70.51,23,29.49,01028
1,29,153,118,77.12,35,22.88,01029
1,30,210,162,77.14,48,22.86,01030
1,31,189,136,71.96,53,28.04,01031
1,32,104,76,73.08,28,26.92,01032
1,33,148,114,77.03,34,22.97,01033
1,34,117,86,73.5,31,26.5,01034
1,35,138,112,81.16,26,18.84,01035
1,36,142,120,84.51,22,15.49,01036
1,37,103,81,78.64,22,21.36,01037
1,38,91,70,76.92,21,23.08,01038
1,39,152,111,73.03,41,26.97,01039
1,40,83,68,81.93,15,18.07,01040
1,41,116,92,79.31,24,20.69,01041
1,42,108,92,85.19,16,14.81,01042
1,43,132,104,78.79,28,21.21,01043
1,44,120,92,76.67,28,23.33,01044
1,45,135,111,82.22,24,17.78,01045
1,46,165,126,76.36,39,23.64,01046
1,47,133,110,82.71,23,17.29,01047
1,48,81,60,74.07,21,25.93,01048
1,49,74,55,74.32,19,25.68,01049
1,50,101,74,73.27,27,26.73,01050
2,1,445,357,80.22,88,19.78,02001
2,2,63,52,82.54,11,17.46,02002
2,3,234,183,78.21,51,21.79,02003
2,4,146,119,81.51,27,18.49,02004
2,5,182,153,84.07,29,15.93,02005
2,6,320,246,76.88,74,23.13,02006
2,7,253,221,87.35,32,12.65,02007
2,8,275,229,83.27,46,16.73,02008
2,9,188,157,83.51,31,16.49,02009
2,10,113,97,85.84,16,14.16,02010
2,11,302,247,81.79,55,18.21,02011
2,12,318,241,75.79,77,24.21,02012
2,13,201,171,85.07,30,14.93,02013
2,14,281,250,88.97,31,11.03,02014
2,15,117,106,90.6,11,9.4,02015
2,16,302,237,78.48,65,21.52,02016
2,17,163,139,85.28,24,14.72,02017
2,18,230,184,80.0,46,20.0,02018
2,19,355,267,75.21,88,24.79,02019
2,20,287,253,88.15,34,11.85,02020
2,21,192,172,89.58,20,10.42,02021
2,22,318,273,85.85,45,14.15,02022
2,23,138,112,81.16,26,18.84,02023
2,24,131,108,82.44,23,17.56,02024
2,25,260,212,81.54,48,18.46,02025
2,26,206,165,80.1,41,19.9,02026
2,27,161,147,91.3,14,8.7,02027
2,28,150,118,78.67,32,21.33,02028
2,29,101,89,88.12,12,11.88,02029
2,30,189,154,81.48,35,18.52,02030
2,31,213,188,88.26,25,11.74,02031
2,32,90,70,77.78,20,22.22,02032
2,33,124,114,91.94,10,8.06,02033
2,34,124,108,87.1,16,12.9,02034
2,35,49,40,81.63,9,18.37,02035
2,36,319,267,83.7,52,16.3,02036
2,37,196,168,85.71,28,14.29,02037
2,38,359,273,76.04,86,23.96,02038
2,39,208,169,81.25,39,18.75,02039
2,40,439,367,83.6,72,16.4,02040
2,41,105,86,81.9,19,18.1,02041
2,42,85,68,80.0,17,20.0,02042
2,43,264,224,84.85,40,15.15,02043
2,44,132,121,91.67,11,8.33,02044
2,45,180,142,78.89,38,21.11,02045
2,46,299,270,90.3,29,9.7,02046
2,47,133,125,93.98,8,6.02,02047
2,48,109,95,87.16,14,12.84,02048
2,49,195,159,81.54,36,18.46,02049
2,50,135,117,86.67,18,13.33,02050
2,51,161,137,85.09,24,14.91,02051
2,52,211,183,86.73,28,13.27,02052
2,53,218,176,80.73,42,19.27,02053
2,54,231,182,78.79,49,21.21,02054
2,55,126,104,82.54,22,17.46,02055
2,56,158,133,84.18,25,15.82,02056
3,1,154,135,87.66,19,12.34,03001
3,2,229,201,87.77,28,12.23,03002
3,3,214,179,83.64,35,16.36,03003
3,4,144,122,84.72,22,15.28,03004
3,5,161,143,88.82,18,11.18,03005
3,6,31,21,67.74,10,32.26,03006
3,7,146,129,88.36,17,11.64,03007
3,8,180,154,85.56,26,14.44,03008
3,9,189,162,85.71,27,14.29,03009
3,10,58,46,79.31,12,20.69,03010
3,11,207,186,89.86,21,10.14,03011
3,12,147,122,82.99,25,17.01,03012
3,13,106,80,75.47,26,24.53,03013
