ward,precinct,total,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,precinct_id
2,1,590,590,100.0,02001
2,11,383,383,100.0,02011
2,14,322,322,100.0,02014
2,20,38,38,100.0,02020
2,22,415,415,100.0,02022
2,24,88,88,100.0,02024
2,26,0,0,0.0,02026
2,31,118,118,100.0,02031
2,35,76,76,100.0,02035
2,43,337,337,100.0,02043
2,49,234,234,100.0,02049
2,53,279,279,100.0,02053
2,54,358,358,100.0,02054
2,55,164,164,100.0,02055
3,1,224,224,100.0,03001
3,3,274,274,100.0,03003
3,6,59,59,100.0,03006
3,8,239,239,100.0,03008
3,9,142,142,100.0,03009
3,11,195,195,100.0,03011
3,14,146,146,100.0,03014
3,15,259,259,100.0,03015
3,17,126,126,100.0,03017
3,18,124,124,100.0,03018
3,22,106,106,100.0,03022
3,23,216,216,100.0,03023
3,24,341,341,100.0,03024
3,27,234,234,100.0,03027
3,28,443,443,100.0,03028
3,29,221,221,100.0,03029
3,32,199,199,100.0,03032
3,33,308,308,100.0,03033
3,35,231,231,100.0,03035
3,36,82,82,100.0,03036
3,37,97,97,100.0,03037
3,38,41,41,100.0,03038
3,40,218,218,100.0,03040
3,41,190,190,100.0,03041
3,42,171,171,100.0,03042
3,43,43,43,100.0,03043
3,45,190,190,100.0,03045
3,46,56,56,100.0,03046
3,47,131,131,100.0,03047
3,49,85,85,100.0,03049
4,6,101,101,100.0,04006
11,14,160,160,100.0,11014
11,36,44,44,100.0,11036
11,48,8,8,100.0,11048
20,1,205,205,100.0,20001
20,3,195,195,100.0,20003
20,6,242,242,100.0,20006
20,7,56,56,100.0,20007
20,11,134,134,100.0,20011
20,12,56,56,100.0,20012
20,14,262,262,100.0,20014
20,17,141,141,100.0,20017
20,23,259,259,100.0,20023
20,27,180,180,100.0,20027
20,31,228,228,100.0,20031
20,33,244,244,100.0,20033
20,37,195,195,100.0,20037
20,42,169,169,100.0,20042
20,46,185,185,100.0,20046
25,14,88,88,100.0,25014
25,16,103,103,100.0,25016
25,18,87,87,100.0,25018
27,5,127,127,100.0,27005
27,6,58,58,100.0,27006
27,9,235,235,100.0,27009
27,12,271,271,100.0,27012
27,16,86,86,100.0,27016
27,20,272,272,100.0,27020
27,21,148,148,100.0,27021
27,28,205,205,100.0,27028
27,37,196,196,100.0,27037
27,39,94,94,100.0,27039
27,42,185,185,100.0,27042
27,43,57,57,100.0,27043
27,51,28,28,100.0,27051
42,3,245,245,100.0,42003
42,4,214,214,100.0,42004
42,9,251,251,100.0,42009
42,17,398,398,100.0,42017
42,19,94,94,100.0,42019
42,20,153,153,100.0,42020
42,22,195,195,100.0,42022
42,24,49,49,100.0,42024
42,27,244,244,100.0,42027
42,32,219,219,100.0,42032
42,39,98,98,100.0,42039
42,45,240,240,100.0,42045
42,46,216,216,100.0,42046
42,49,57,57,100.0,42049
42,55,289,289,100.0,42055
42,56,355,355,100.0,42056
42,57,218,218,100.0,42057
42,58,169,169,100.0,42058
42,60,119,119,100.0,42060
42,61,19,19,100.0,42061
43,13,147,147,100.0,43013
43,19,197,197,100.0,43019
43,30,167,167,100.0,43030
43,37,220,220,100.0,43037
43,51,249,249,100.0,43051
43,54,200,200,100.0,43054
43,55,154,154,100.0,43055
