ward,precinct,total,Richard L. Grabowski,Richard L. Grabowski Percent,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
18,19,353,6,1.7,347,98.3,18019
18,24,333,8,2.4,325,97.6,18024
18,25,320,6,1.88,314,98.13,18025
18,26,244,10,4.1,234,95.9,18026
18,30,256,3,1.17,253,98.83,18030
18,32,384,3,0.78,381,99.22,18032
18,34,400,23,5.75,377,94.25,18034
18,45,323,4,1.24,319,98.76,18045
18,46,293,2,0.68,291,99.32,18046
18,51,356,9,2.53,347,97.47,18051
18,52,329,3,0.91,326,99.09,18052
18,53,195,4,2.05,191,97.95,18053
19,9,266,88,33.08,178,66.92,19009
19,56,454,84,18.5,370,81.5,19056
21,15,226,5,2.21,221,97.79,21015
21,29,155,2,1.29,153,98.71,21029
21,35,171,5,2.92,166,97.08,21035
21,36,245,9,3.67,236,96.33,21036
21,57,254,6,2.36,248,97.64,21057
21,70,238,1,0.42,237,99.58,21070
21,71,234,1,0.43,233,99.57,21071
21,73,352,4,1.14,348,98.86,21073
