ward,precinct,total,Miriam Shabo,Miriam Shabo Percent,Deborah Sims,Deborah Sims Percent,precinct_id
9,1,336,5,1.49,331,98.51,09001
9,2,337,3,0.89,334,99.11,09002
9,3,127,0,0.0,127,100.0,09003
9,4,279,4,1.43,275,98.57,09004
9,5,359,6,1.67,353,98.33,09005
9,6,361,5,1.39,356,98.61,09006
9,7,246,9,3.66,237,96.34,09007
9,9,352,8,2.27,344,97.73,09009
9,10,293,4,1.37,289,98.63,09010
9,11,219,5,2.28,214,97.72,09011
9,12,281,5,1.78,276,98.22,09012
9,13,329,4,1.22,325,98.78,09013
9,14,406,6,1.48,400,98.52,09014
9,15,265,11,4.15,254,95.85,09015
9,16,237,0,0.0,237,100.0,09016
9,17,292,3,1.03,289,98.97,09017
9,18,291,6,2.06,285,97.94,09018
9,19,302,9,2.98,293,97.02,09019
9,22,353,4,1.13,349,98.87,09022
9,23,221,7,3.17,214,96.83,09023
9,24,137,8,5.84,129,94.16,09024
9,25,48,6,12.5,42,87.5,09025
9,26,224,3,1.34,221,98.66,09026
9,28,136,4,2.94,132,97.06,09028
9,29,251,5,1.99,246,98.01,09029
9,30,304,4,1.32,300,98.68,09030
9,31,232,6,2.59,226,97.41,09031
9,32,268,11,4.1,257,95.9,09032
9,33,264,3,1.14,261,98.86,09033
9,34,236,2,0.85,234,99.15,09034
9,35,327,9,2.75,318,97.25,09035
9,38,304,9,2.96,295,97.04,09038
9,39,356,7,1.97,349,98.03,09039
9,40,327,6,1.83,321,98.17,09040
9,41,332,6,1.81,326,98.19,09041
9,42,142,2,1.41,140,98.59,09042
9,43,187,6,3.21,181,96.79,09043
9,44,212,3,1.42,209,98.58,09044
9,45,275,6,2.18,269,97.82,09045
9,46,236,2,0.85,234,99.15,09046
9,48,312,11,3.53,301,96.47,09048
9,50,288,11,3.82,277,96.18,09050
9,52,321,7,2.18,314,97.82,09052
9,53,164,4,2.44,160,97.56,09053
19,43,452,15,3.32,437,96.68,19043
19,48,523,20,3.82,503,96.18,19048
19,50,367,6,1.63,361,98.37,19050
34,1,463,2,0.43,461,99.57,34001
34,2,268,7,2.61,261,97.39,34002
34,3,338,6,1.78,332,98.22,34003
34,4,399,10,2.51,389,97.49,34004
34,5,297,3,1.01,294,98.99,34005
34,6,201,10,4.98,191,95.02,34006
34,7,384,5,1.3,379,98.7,34007
34,9,247,8,3.24,239,96.76,34009
34,10,320,3,0.94,317,99.06,34010
34,11,235,4,1.7,231,98.3,34011
34,12,378,5,1.32,373,98.68,34012
34,14,239,9,3.77,230,96.23,34014
34,15,278,7,2.52,271,97.48,34015
34,16,232,8,3.45,224,96.55,34016
34,17,298,9,3.02,289,96.98,34017
34,18,210,5,2.38,205,97.62,34018
34,20,460,9,1.96,451,98.04,34020
34,21,314,3,0.96,311,99.04,34021
34,22,348,7,2.01,341,97.99,34022
34,23,291,3,1.03,288,98.97,34023
34,24,283,5,1.77,278,98.23,34024
34,25,356,4,1.12,352,98.88,34025
34,26,207,4,1.93,203,98.07,34026
34,27,268,8,2.99,260,97.01,34027
34,28,200,3,1.5,197,98.5,34028
34,30,379,9,2.37,370,97.63,34030
34,31,186,1,0.54,185,99.46,34031
34,32,204,3,1.47,201,98.53,34032
34,33,176,3,1.7,173,98.3,34033
34,34,366,16,4.37,350,95.63,34034
34,35,369,8,2.17,361,97.83,34035
34,36,345,8,2.32,337,97.68,34036
34,37,297,5,1.68,292,98.32,34037
34,38,265,6,2.26,259,97.74,34038
34,39,250,5,2.0,245,98.0,34039
34,40,343,3,0.87,340,99.13,34040
34,41,184,1,0.54,183,99.46,34041
34,42,377,15,3.98,362,96.02,34042
34,43,458,10,2.18,448,97.82,34043
34,44,354,8,2.26,346,97.74,34044
34,46,303,4,1.32,299,98.68,34046
34,47,205,0,0.0,205,100.0,34047
34,48,407,8,1.97,399,98.03,34048
34,49,431,5,1.16,426,98.84,34049
34,50,314,5,1.59,309,98.41,34050
34,51,490,8,1.63,482,98.37,34051
34,52,270,3,1.11,267,98.89,34052
34,53,209,4,1.91,205,98.09,34053
34,54,250,5,2.0,245,98.0,34054
34,59,338,2,0.59,336,99.41,34059
34,60,336,3,0.89,333,99.11,34060
34,61,274,10,3.65,264,96.35,34061
