ward,precinct,total,Geary W. Kull,Geary W. Kull Percent,precinct_id
39,32,126,126,100.0,39032
39,41,39,39,100.0,39041
40,9,165,165,100.0,40009
40,12,148,148,100.0,40012
40,13,235,235,100.0,40013
40,18,156,156,100.0,40018
40,26,215,215,100.0,40026
40,27,161,161,100.0,40027
40,28,230,230,100.0,40028
40,35,192,192,100.0,40035
40,37,138,138,100.0,40037
40,39,147,147,100.0,40039
40,47,196,196,100.0,40047
41,19,133,133,100.0,41019
41,44,214,214,100.0,41044
41,47,188,188,100.0,41047
41,54,160,160,100.0,41054
41,57,172,172,100.0,41057
45,5,3,3,100.0,45005
48,2,161,161,100.0,48002
48,13,187,187,100.0,48013
48,15,131,131,100.0,48015
48,22,273,273,100.0,48022
48,32,107,107,100.0,48032
48,33,186,186,100.0,48033
48,41,134,134,100.0,48041
48,54,184,184,100.0,48054
49,1,203,203,100.0,49001
49,2,286,286,100.0,49002
49,3,137,137,100.0,49003
49,4,113,113,100.0,49004
49,5,212,212,100.0,49005
49,6,228,228,100.0,49006
49,7,172,172,100.0,49007
49,8,217,217,100.0,49008
49,9,171,171,100.0,49009
49,10,180,180,100.0,49010
49,11,135,135,100.0,49011
49,12,229,229,100.0,49012
49,13,243,243,100.0,49013
49,14,208,208,100.0,49014
49,15,183,183,100.0,49015
49,16,162,162,100.0,49016
49,18,152,152,100.0,49018
49,19,155,155,100.0,49019
49,20,243,243,100.0,49020
49,21,64,64,100.0,49021
49,22,190,190,100.0,49022
49,23,164,164,100.0,49023
49,24,218,218,100.0,49024
49,25,245,245,100.0,49025
49,26,194,194,100.0,49026
49,27,308,308,100.0,49027
49,28,153,153,100.0,49028
49,29,248,248,100.0,49029
49,30,213,213,100.0,49030
49,31,204,204,100.0,49031
49,32,132,132,100.0,49032
49,33,164,164,100.0,49033
49,34,211,211,100.0,49034
49,35,229,229,100.0,49035
49,36,297,297,100.0,49036
49,37,324,324,100.0,49037
49,38,187,187,100.0,49038
49,39,179,179,100.0,49039
49,40,175,175,100.0,49040
49,41,200,200,100.0,49041
49,42,215,215,100.0,49042
50,1,185,185,100.0,50001
50,2,215,215,100.0,50002
50,3,159,159,100.0,50003
50,4,178,178,100.0,50004
50,5,192,192,100.0,50005
50,6,139,139,100.0,50006
50,7,213,213,100.0,50007
50,9,145,145,100.0,50009
50,10,133,133,100.0,50010
50,11,141,141,100.0,50011
50,12,108,108,100.0,50012
50,13,215,215,100.0,50013
50,14,76,76,100.0,50014
50,15,224,224,100.0,50015
50,16,78,78,100.0,50016
50,17,148,148,100.0,50017
50,18,161,161,100.0,50018
50,19,150,150,100.0,50019
50,20,175,175,100.0,50020
50,21,183,183,100.0,50021
50,22,201,201,100.0,50022
50,24,183,183,100.0,50024
50,25,159,159,100.0,50025
50,26,136,136,100.0,50026
50,27,70,70,100.0,50027
50,28,184,184,100.0,50028
50,30,122,122,100.0,50030
50,31,51,51,100.0,50031
50,32,217,217,100.0,50032
50,33,115,115,100.0,50033
50,34,169,169,100.0,50034
50,35,259,259,100.0,50035
50,36,197,197,100.0,50036
50,37,238,238,100.0,50037
50,38,123,123,100.0,50038
50,39,122,122,100.0,50039
50,40,168,168,100.0,50040
50,41,206,206,100.0,50041
50,42,177,177,100.0,50042
50,43,158,158,100.0,50043
50,44,126,126,100.0,50044
50,45,42,42,100.0,50045
