ward,precinct,total,Edward Harmening,Edward Harmening Percent,precinct_id
13,1,185,185,100.0,13001
13,2,126,126,100.0,13002
13,3,204,204,100.0,13003
13,4,247,247,100.0,13004
13,5,197,197,100.0,13005
13,6,161,161,100.0,13006
13,7,162,162,100.0,13007
13,8,183,183,100.0,13008
13,9,205,205,100.0,13009
13,10,147,147,100.0,13010
13,11,166,166,100.0,13011
13,12,159,159,100.0,13012
13,13,201,201,100.0,13013
13,14,159,159,100.0,13014
13,15,245,245,100.0,13015
13,16,207,207,100.0,13016
13,17,182,182,100.0,13017
13,18,146,146,100.0,13018
13,19,234,234,100.0,13019
13,20,170,170,100.0,13020
13,21,199,199,100.0,13021
13,22,149,149,100.0,13022
13,23,141,141,100.0,13023
13,24,185,185,100.0,13024
13,25,140,140,100.0,13025
13,26,175,175,100.0,13026
13,27,199,199,100.0,13027
13,28,147,147,100.0,13028
13,29,171,171,100.0,13029
13,30,225,225,100.0,13030
13,31,186,186,100.0,13031
13,32,185,185,100.0,13032
13,33,178,178,100.0,13033
13,34,226,226,100.0,13034
13,35,183,183,100.0,13035
13,36,102,102,100.0,13036
13,37,186,186,100.0,13037
13,38,198,198,100.0,13038
13,39,156,156,100.0,13039
13,40,189,189,100.0,13040
13,41,162,162,100.0,13041
13,42,167,167,100.0,13042
13,43,176,176,100.0,13043
13,44,187,187,100.0,13044
13,45,218,218,100.0,13045
13,46,190,190,100.0,13046
13,47,200,200,100.0,13047
14,1,72,72,100.0,14001
14,2,122,122,100.0,14002
14,3,138,138,100.0,14003
14,4,115,115,100.0,14004
14,6,126,126,100.0,14006
14,9,152,152,100.0,14009
14,13,142,142,100.0,14013
14,25,132,132,100.0,14025
14,27,187,187,100.0,14027
14,28,137,137,100.0,14028
15,1,100,100,100.0,15001
15,8,197,197,100.0,15008
15,10,99,99,100.0,15010
15,14,153,153,100.0,15014
15,16,80,80,100.0,15016
15,28,149,149,100.0,15028
15,34,8,8,100.0,15034
15,41,212,212,100.0,15041
15,46,52,52,100.0,15046
15,51,52,52,100.0,15051
16,17,103,103,100.0,16017
16,39,95,95,100.0,16039
17,11,178,178,100.0,17011
17,32,184,184,100.0,17032
17,40,139,139,100.0,17040
17,56,174,174,100.0,17056
17,57,184,184,100.0,17057
17,58,3,3,100.0,17058
17,59,100,100,100.0,17059
17,60,226,226,100.0,17060
17,61,158,158,100.0,17061
17,62,135,135,100.0,17062
17,63,117,117,100.0,17063
17,64,102,102,100.0,17064
18,1,112,112,100.0,18001
18,2,238,238,100.0,18002
18,3,149,149,100.0,18003
18,4,257,257,100.0,18004
18,5,191,191,100.0,18005
18,6,175,175,100.0,18006
18,7,206,206,100.0,18007
18,8,97,97,100.0,18008
18,9,260,260,100.0,18009
18,10,390,390,100.0,18010
18,11,232,232,100.0,18011
18,12,284,284,100.0,18012
18,13,273,273,100.0,18013
18,14,275,275,100.0,18014
18,15,109,109,100.0,18015
18,16,288,288,100.0,18016
18,17,223,223,100.0,18017
18,18,207,207,100.0,18018
18,19,254,254,100.0,18019
18,21,357,357,100.0,18021
18,22,327,327,100.0,18022
18,23,217,217,100.0,18023
18,26,187,187,100.0,18026
18,27,221,221,100.0,18027
18,28,178,178,100.0,18028
18,29,258,258,100.0,18029
18,31,223,223,100.0,18031
