ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,Princess Cynthia Dempsey,Princess Cynthia Dempsey Percent,precinct_id
28,48,120,116,96.67,4,3.33,28048
28,49,92,83,90.22,9,9.78,28049
29,16,407,395,97.05,12,2.95,29016
29,19,364,350,96.15,14,3.85,29019
29,20,316,293,92.72,23,7.28,29020
29,21,259,247,95.37,12,4.63,29021
29,27,238,230,96.64,8,3.36,29027
