ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
29,9,13,13,100.0,29009
36,5,156,156,100.0,36005
36,7,157,157,100.0,36007
36,8,194,194,100.0,36008
36,9,166,166,100.0,36009
36,10,133,133,100.0,36010
36,11,243,243,100.0,36011
36,12,117,117,100.0,36012
36,13,199,199,100.0,36013
36,14,142,142,100.0,36014
36,15,145,145,100.0,36015
36,17,212,212,100.0,36017
36,18,256,256,100.0,36018
36,19,148,148,100.0,36019
36,20,230,230,100.0,36020
36,21,302,302,100.0,36021
36,25,139,139,100.0,36025
36,27,104,104,100.0,36027
36,28,136,136,100.0,36028
36,29,160,160,100.0,36029
36,30,255,255,100.0,36030
36,31,184,184,100.0,36031
36,32,187,187,100.0,36032
36,34,164,164,100.0,36034
36,35,196,196,100.0,36035
36,37,157,157,100.0,36037
36,38,110,110,100.0,36038
36,39,192,192,100.0,36039
36,40,218,218,100.0,36040
36,42,147,147,100.0,36042
36,46,168,168,100.0,36046
36,47,115,115,100.0,36047
36,48,153,153,100.0,36048
36,49,263,263,100.0,36049
36,50,137,137,100.0,36050
36,52,149,149,100.0,36052
36,53,57,57,100.0,36053
38,3,145,145,100.0,38003
38,38,213,213,100.0,38038
41,1,340,340,100.0,41001
41,2,353,353,100.0,41002
41,3,267,267,100.0,41003
41,4,335,335,100.0,41004
41,5,376,376,100.0,41005
41,7,373,373,100.0,41007
41,8,330,330,100.0,41008
41,9,307,307,100.0,41009
41,11,346,346,100.0,41011
41,12,288,288,100.0,41012
41,15,346,346,100.0,41015
41,16,304,304,100.0,41016
41,17,299,299,100.0,41017
41,18,244,244,100.0,41018
41,20,347,347,100.0,41020
41,21,311,311,100.0,41021
41,22,269,269,100.0,41022
41,24,314,314,100.0,41024
41,30,333,333,100.0,41030
41,31,345,345,100.0,41031
41,33,233,233,100.0,41033
41,34,293,293,100.0,41034
41,35,361,361,100.0,41035
41,36,325,325,100.0,41036
41,37,394,394,100.0,41037
41,38,312,312,100.0,41038
41,40,388,388,100.0,41040
41,41,328,328,100.0,41041
41,42,377,377,100.0,41042
41,43,304,304,100.0,41043
41,45,289,289,100.0,41045
41,46,227,227,100.0,41046
41,49,370,370,100.0,41049
41,50,301,301,100.0,41050
41,51,201,201,100.0,41051
41,52,368,368,100.0,41052
41,55,314,314,100.0,41055
41,56,386,386,100.0,41056
