ward,precinct,total,Andr̩ Thapedi,Andr̩ Thapedi Percent,precinct_id
6,4,212,212,100.0,06004
6,5,141,141,100.0,06005
6,6,236,236,100.0,06006
6,7,257,257,100.0,06007
6,11,201,201,100.0,06011
6,12,252,252,100.0,06012
6,15,194,194,100.0,06015
6,18,169,169,100.0,06018
6,20,281,281,100.0,06020
6,30,247,247,100.0,06030
6,32,245,245,100.0,06032
6,33,344,344,100.0,06033
6,36,176,176,100.0,06036
6,40,157,157,100.0,06040
6,48,247,247,100.0,06048
6,61,160,160,100.0,06061
6,62,247,247,100.0,06062
13,19,146,146,100.0,13019
13,30,212,212,100.0,13030
13,44,39,39,100.0,13044
13,47,217,217,100.0,13047
15,1,76,76,100.0,15001
15,6,173,173,100.0,15006
15,7,184,184,100.0,15007
15,8,226,226,100.0,15008
15,9,186,186,100.0,15009
15,11,194,194,100.0,15011
15,12,111,111,100.0,15012
15,13,121,121,100.0,15013
15,14,175,175,100.0,15014
15,15,153,153,100.0,15015
15,21,167,167,100.0,15021
15,25,155,155,100.0,15025
15,27,163,163,100.0,15027
15,28,171,171,100.0,15028
15,30,8,8,100.0,15030
15,32,164,164,100.0,15032
15,34,159,159,100.0,15034
15,41,253,253,100.0,15041
15,42,107,107,100.0,15042
15,44,182,182,100.0,15044
15,45,74,74,100.0,15045
15,46,104,104,100.0,15046
15,47,206,206,100.0,15047
15,49,55,55,100.0,15049
15,51,110,110,100.0,15051
16,35,166,166,100.0,16035
16,41,72,72,100.0,16041
17,1,118,118,100.0,17001
17,6,155,155,100.0,17006
17,8,154,154,100.0,17008
17,11,55,55,100.0,17011
17,13,124,124,100.0,17013
17,14,98,98,100.0,17014
17,16,152,152,100.0,17016
17,17,162,162,100.0,17017
17,19,95,95,100.0,17019
17,34,173,173,100.0,17034
17,36,100,100,100.0,17036
17,39,154,154,100.0,17039
17,40,26,26,100.0,17040
17,41,149,149,100.0,17041
17,42,169,169,100.0,17042
17,43,144,144,100.0,17043
17,45,116,116,100.0,17045
17,46,175,175,100.0,17046
17,49,126,126,100.0,17049
17,56,159,159,100.0,17056
17,58,175,175,100.0,17058
17,59,122,122,100.0,17059
17,60,260,260,100.0,17060
17,62,152,152,100.0,17062
17,63,147,147,100.0,17063
17,64,132,132,100.0,17064
18,1,135,135,100.0,18001
18,2,278,278,100.0,18002
18,5,227,227,100.0,18005
18,11,260,260,100.0,18011
18,15,129,129,100.0,18015
18,17,264,264,100.0,18017
18,21,409,409,100.0,18021
18,23,257,257,100.0,18023
18,27,253,253,100.0,18027
18,29,302,302,100.0,18029
18,31,261,261,100.0,18031
18,33,235,235,100.0,18033
18,39,245,245,100.0,18039
18,42,205,205,100.0,18042
18,43,187,187,100.0,18043
18,44,183,183,100.0,18044
18,47,240,240,100.0,18047
18,49,189,189,100.0,18049
18,50,247,247,100.0,18050
18,56,224,224,100.0,18056
18,57,200,200,100.0,18057
18,58,262,262,100.0,18058
18,59,243,243,100.0,18059
18,62,167,167,100.0,18062
20,10,157,157,100.0,20010
20,18,17,17,100.0,20018
20,25,82,82,100.0,20025
20,28,204,204,100.0,20028
20,30,196,196,100.0,20030
20,35,116,116,100.0,20035
20,49,135,135,100.0,20049
