ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,precinct_id
24,7,168,168,100.0,24007
24,16,140,140,100.0,24016
24,41,182,182,100.0,24041
24,46,235,235,100.0,24046
28,1,207,207,100.0,28001
28,4,209,209,100.0,28004
28,8,174,174,100.0,28008
28,12,123,123,100.0,28012
28,14,113,113,100.0,28014
28,15,173,173,100.0,28015
28,17,160,160,100.0,28017
28,19,220,220,100.0,28019
28,21,236,236,100.0,28021
28,27,204,204,100.0,28027
28,39,198,198,100.0,28039
28,40,246,246,100.0,28040
28,41,175,175,100.0,28041
28,42,133,133,100.0,28042
28,45,198,198,100.0,28045
28,46,158,158,100.0,28046
28,48,104,104,100.0,28048
28,49,85,85,100.0,28049
28,51,161,161,100.0,28051
28,55,166,166,100.0,28055
28,56,161,161,100.0,28056
28,57,170,170,100.0,28057
28,58,197,197,100.0,28058
28,60,129,129,100.0,28060
29,1,360,360,100.0,29001
29,3,330,330,100.0,29003
29,7,1,1,100.0,29007
29,12,287,287,100.0,29012
29,14,299,299,100.0,29014
29,15,285,285,100.0,29015
29,16,378,378,100.0,29016
29,17,238,238,100.0,29017
29,19,333,333,100.0,29019
29,20,280,280,100.0,29020
29,21,241,241,100.0,29021
29,22,217,217,100.0,29022
29,25,284,284,100.0,29025
29,27,205,205,100.0,29027
29,28,320,320,100.0,29028
29,31,233,233,100.0,29031
29,34,164,164,100.0,29034
29,36,322,322,100.0,29036
29,38,240,240,100.0,29038
29,42,292,292,100.0,29042
29,49,322,322,100.0,29049
37,2,175,175,100.0,37002
37,3,0,0,0.0,37003
37,10,240,240,100.0,37010
37,14,303,303,100.0,37014
37,15,254,254,100.0,37015
37,16,289,289,100.0,37016
37,20,240,240,100.0,37020
37,21,252,252,100.0,37021
37,22,162,162,100.0,37022
37,23,188,188,100.0,37023
37,24,240,240,100.0,37024
37,25,293,293,100.0,37025
37,26,288,288,100.0,37026
37,27,263,263,100.0,37027
37,30,163,163,100.0,37030
37,31,255,255,100.0,37031
37,33,216,216,100.0,37033
37,34,282,282,100.0,37034
37,36,224,224,100.0,37036
37,40,238,238,100.0,37040
37,41,287,287,100.0,37041
37,43,197,197,100.0,37043
