ward,precinct,total,Israel Vasquez,Israel Vasquez Percent,Luis V. Gutierrez,Luis V. Gutierrez Percent,Robert J. Burns,Robert J. Burns Percent,precinct_id
1,1,88,12,13.64,68,77.27,8,9.09,01001
1,2,323,61,18.89,235,72.76,27,8.36,01002
1,3,221,36,16.29,161,72.85,24,10.86,01003
1,4,280,53,18.93,202,72.14,25,8.93,01004
1,5,282,50,17.73,211,74.82,21,7.45,01005
1,7,282,66,23.4,192,68.09,24,8.51,01007
1,8,300,48,16.0,222,74.0,30,10.0,01008
1,9,222,28,12.61,164,73.87,30,13.51,01009
1,10,312,75,24.04,206,66.03,31,9.94,01010
1,11,192,39,20.31,143,74.48,10,5.21,01011
1,12,350,88,25.14,230,65.71,32,9.14,01012
1,13,348,47,13.51,261,75.0,40,11.49,01013
1,14,285,50,17.54,209,73.33,26,9.12,01014
1,15,192,19,9.9,162,84.38,11,5.73,01015
1,16,112,7,6.25,99,88.39,6,5.36,01016
1,17,188,23,12.23,144,76.6,21,11.17,01017
1,18,248,38,15.32,178,71.77,32,12.9,01018
1,19,180,27,15.0,131,72.78,22,12.22,01019
1,20,290,51,17.59,206,71.03,33,11.38,01020
1,21,223,53,23.77,160,71.75,10,4.48,01021
1,22,217,25,11.52,175,80.65,17,7.83,01022
1,23,222,49,22.07,161,72.52,12,5.41,01023
1,24,382,46,12.04,269,70.42,67,17.54,01024
1,25,207,46,22.22,151,72.95,10,4.83,01025
1,26,268,63,23.51,173,64.55,32,11.94,01026
1,27,185,45,24.32,126,68.11,14,7.57,01027
1,28,45,4,8.89,39,86.67,2,4.44,01028
1,29,291,57,19.59,199,68.38,35,12.03,01029
1,30,363,39,10.74,276,76.03,48,13.22,01030
1,31,369,106,28.73,245,66.4,18,4.88,01031
1,32,245,38,15.51,190,77.55,17,6.94,01032
1,33,290,44,15.17,219,75.52,27,9.31,01033
1,34,195,29,14.87,144,73.85,22,11.28,01034
1,35,270,76,28.15,176,65.19,18,6.67,01035
1,36,291,67,23.02,196,67.35,28,9.62,01036
1,37,208,35,16.83,155,74.52,18,8.65,01037
1,38,169,23,13.61,126,74.56,20,11.83,01038
1,39,238,33,13.87,185,77.73,20,8.4,01039
1,40,144,19,13.19,107,74.31,18,12.5,01040
1,41,208,37,17.79,147,70.67,24,11.54,01041
1,42,102,20,19.61,73,71.57,9,8.82,01042
1,43,227,33,14.54,177,77.97,17,7.49,01043
1,44,33,3,9.09,24,72.73,6,18.18,01044
1,45,252,27,10.71,200,79.37,25,9.92,01045
1,46,317,48,15.14,238,75.08,31,9.78,01046
1,47,271,49,18.08,207,76.38,15,5.54,01047
1,48,189,29,15.34,146,77.25,14,7.41,01048
1,49,170,30,17.65,124,72.94,16,9.41,01049
1,50,177,30,16.95,128,72.32,19,10.73,01050
3,13,157,11,7.01,137,87.26,9,5.73,03013
11,1,8,3,37.5,4,50.0,1,12.5,11001
11,3,189,21,11.11,151,79.89,17,8.99,11003
11,10,137,19,13.87,103,75.18,15,10.95,11010
11,18,28,4,14.29,18,64.29,6,21.43,11018
11,26,2,0,0.0,2,100.0,0,0.0,11026
11,30,0,0,0.0,0,0.0,0,0.0,11030
12,1,98,5,5.1,91,92.86,2,2.04,12001
12,2,145,19,13.1,121,83.45,5,3.45,12002
12,3,169,30,17.75,130,76.92,9,5.33,12003
12,4,118,20,16.95,93,78.81,5,4.24,12004
