ward,precinct,total,Earlean Collins,Earlean Collins Percent,Ronald Lawless,Ronald Lawless Percent,precinct_id
1,2,273,184,67.4,89,32.6,01002
1,3,192,140,72.92,52,27.08,01003
1,4,234,169,72.22,65,27.78,01004
1,5,239,169,70.71,70,29.29,01005
1,6,198,120,60.61,78,39.39,01006
1,8,260,195,75.0,65,25.0,01008
1,10,263,149,56.65,114,43.35,01010
1,11,212,158,74.53,54,25.47,01011
1,17,152,95,62.5,57,37.5,01017
1,21,186,135,72.58,51,27.42,01021
1,23,16,12,75.0,4,25.0,01023
1,25,177,125,70.62,52,29.38,01025
1,26,228,150,65.79,78,34.21,01026
1,36,247,169,68.42,78,31.58,01036
1,37,180,122,67.78,58,32.22,01037
1,46,268,182,67.91,86,32.09,01046
1,47,218,142,65.14,76,34.86,01047
1,48,156,110,70.51,46,29.49,01048
1,49,144,95,65.97,49,34.03,01049
1,50,158,107,67.72,51,32.28,01050
2,3,347,255,73.49,92,26.51,02003
2,5,276,259,93.84,17,6.16,02005
2,6,123,81,65.85,42,34.15,02006
2,15,80,75,93.75,5,6.25,02015
2,16,322,185,57.45,137,42.55,02016
2,23,190,163,85.79,27,14.21,02023
2,42,156,154,98.72,2,1.28,02042
2,45,291,265,91.07,26,8.93,02045
2,52,335,306,91.34,29,8.66,02052
24,55,213,207,97.18,6,2.82,24055
26,46,69,48,69.57,21,30.43,26046
27,2,156,147,94.23,9,5.77,27002
27,3,170,165,97.06,5,2.94,27003
27,4,3,3,100.0,0,0.0,27004
27,7,317,202,63.72,115,36.28,27007
27,8,206,202,98.06,4,1.94,27008
27,10,314,296,94.27,18,5.73,27010
27,14,274,263,95.99,11,4.01,27014
27,15,114,107,93.86,7,6.14,27015
27,17,198,118,59.6,80,40.4,27017
27,18,150,90,60.0,60,40.0,27018
27,19,204,194,95.1,10,4.9,27019
27,22,212,207,97.64,5,2.36,27022
27,23,37,33,89.19,4,10.81,27023
27,24,166,164,98.8,2,1.2,27024
27,25,122,116,95.08,6,4.92,27025
27,26,197,185,93.91,12,6.09,27026
27,27,218,198,90.83,20,9.17,27027
27,29,160,158,98.75,2,1.25,27029
27,30,121,111,91.74,10,8.26,27030
27,31,151,146,96.69,5,3.31,27031
27,33,199,164,82.41,35,17.59,27033
27,34,235,232,98.72,3,1.28,27034
27,36,209,196,93.78,13,6.22,27036
27,40,164,160,97.56,4,2.44,27040
27,41,237,171,72.15,66,27.85,27041
27,44,156,149,95.51,7,4.49,27044
27,45,159,152,95.6,7,4.4,27045
27,46,165,161,97.58,4,2.42,27046
27,47,165,159,96.36,6,3.64,27047
27,48,251,242,96.41,9,3.59,27048
27,49,201,191,95.02,10,4.98,27049
27,50,7,3,42.86,4,57.14,27050
27,52,187,182,97.33,5,2.67,27052
27,53,185,139,75.14,46,24.86,27053
27,54,68,49,72.06,19,27.94,27054
27,55,173,173,100.0,0,0.0,27055
27,56,173,117,67.63,56,32.37,27056
27,57,161,111,68.94,50,31.06,27057
27,59,48,40,83.33,8,16.67,27059
28,1,227,224,98.68,3,1.32,28001
28,2,258,238,92.25,20,7.75,28002
28,3,167,161,96.41,6,3.59,28003
28,4,227,219,96.48,8,3.52,28004
28,5,186,173,93.01,13,6.99,28005
28,6,143,142,99.3,1,0.7,28006
28,7,168,166,98.81,2,1.19,28007
28,8,193,185,95.85,8,4.15,28008
28,9,168,165,98.21,3,1.79,28009
28,11,162,155,95.68,7,4.32,28011
28,12,144,138,95.83,6,4.17,28012
28,13,127,124,97.64,3,2.36,28013
28,14,127,122,96.06,5,3.94,28014
28,15,185,175,94.59,10,5.41,28015
28,16,183,167,91.26,16,8.74,28016
28,17,180,169,93.89,11,6.11,28017
28,18,265,253,95.47,12,4.53,28018
28,19,253,242,95.65,11,4.35,28019
28,20,226,221,97.79,5,2.21,28020
28,21,262,256,97.71,6,2.29,28021
28,22,189,181,95.77,8,4.23,28022
28,23,175,170,97.14,5,2.86,28023
28,24,144,132,91.67,12,8.33,28024
28,25,144,135,93.75,9,6.25,28025
28,26,175,168,96.0,7,4.0,28026
28,27,232,226,97.41,6,2.59,28027
28,28,128,126,98.44,2,1.56,28028
28,30,160,155,96.88,5,3.13,28030
28,31,186,180,96.77,6,3.23,28031
28,33,238,228,95.8,10,4.2,28033
28,37,297,286,96.3,11,3.7,28037
28,39,226,218,96.46,8,3.54,28039
28,40,279,268,96.06,11,3.94,28040
28,41,197,181,91.88,16,8.12,28041
28,42,154,144,93.51,10,6.49,28042
28,43,272,256,94.12,16,5.88,28043
28,44,262,253,96.56,9,3.44,28044
28,45,223,218,97.76,5,2.24,28045
28,46,182,172,94.51,10,5.49,28046
28,47,205,196,95.61,9,4.39,28047
28,48,116,114,98.28,2,1.72,28048
28,49,98,92,93.88,6,6.12,28049
28,51,201,192,95.52,9,4.48,28051
28,55,187,181,96.79,6,3.21,28055
28,56,189,175,92.59,14,7.41,28056
28,57,186,179,96.24,7,3.76,28057
28,58,231,222,96.1,9,3.9,28058
28,59,166,160,96.39,6,3.61,28059
28,60,146,140,95.89,6,4.11,28060
29,1,386,377,97.67,9,2.33,29001
29,3,358,342,95.53,16,4.47,29003
29,4,268,261,97.39,7,2.61,29004
29,5,233,229,98.28,4,1.72,29005
29,8,183,174,95.08,9,4.92,29008
29,11,300,284,94.67,16,5.33,29011
29,12,317,289,91.17,28,8.83,29012
29,13,281,262,93.24,19,6.76,29013
29,14,326,316,96.93,10,3.07,29014
29,15,312,297,95.19,15,4.81,29015
29,16,408,396,97.06,12,2.94,29016
29,17,255,248,97.25,7,2.75,29017
29,18,311,294,94.53,17,5.47,29018
29,19,373,354,94.91,19,5.09,29019
29,20,318,304,95.6,14,4.4,29020
29,21,254,240,94.49,14,5.51,29021
29,22,251,213,84.86,38,15.14,29022
29,23,247,237,95.95,10,4.05,29023
29,25,304,300,98.68,4,1.32,29025
29,26,248,241,97.18,7,2.82,29026
29,27,238,229,96.22,9,3.78,29027
29,28,358,348,97.21,10,2.79,29028
29,29,351,329,93.73,22,6.27,29029
29,31,252,242,96.03,10,3.97,29031
29,33,254,242,95.28,12,4.72,29033
29,34,188,168,89.36,20,10.64,29034
29,35,238,229,96.22,9,3.78,29035
29,36,348,335,96.26,13,3.74,29036
29,37,268,257,95.9,11,4.1,29037
29,38,258,251,97.29,7,2.71,29038
29,40,386,370,95.85,16,4.15,29040
29,41,321,305,95.02,16,4.98,29041
29,42,328,315,96.04,13,3.96,29042
29,43,315,305,96.83,10,3.17,29043
29,44,258,246,95.35,12,4.65,29044
29,45,245,236,96.33,9,3.67,29045
29,46,274,261,95.26,13,4.74,29046
29,47,335,303,90.45,32,9.55,29047
29,48,263,249,94.68,14,5.32,29048
29,49,359,354,98.61,5,1.39,29049
32,6,2,2,100.0,0,0.0,32006
32,11,230,142,61.74,88,38.26,32011
32,12,52,30,57.69,22,42.31,32012
32,46,44,30,68.18,14,31.82,32046
36,23,120,103,85.83,17,14.17,36023
36,24,284,259,91.2,25,8.8,36024
36,44,280,215,76.79,65,23.21,36044
36,54,336,281,83.63,55,16.37,36054
37,2,187,179,95.72,8,4.28,37002
37,3,176,171,97.16,5,2.84,37003
37,4,300,289,96.33,11,3.67,37004
37,5,317,311,98.11,6,1.89,37005
37,6,317,301,94.95,16,5.05,37006
37,7,329,316,96.05,13,3.95,37007
37,8,232,228,98.28,4,1.72,37008
37,9,277,265,95.67,12,4.33,37009
37,10,260,247,95.0,13,5.0,37010
37,12,200,192,96.0,8,4.0,37012
37,13,241,234,97.1,7,2.9,37013
37,14,355,341,96.06,14,3.94,37014
37,15,282,275,97.52,7,2.48,37015
37,16,305,290,95.08,15,4.92,37016
37,17,255,250,98.04,5,1.96,37017
37,18,326,309,94.79,17,5.21,37018
37,20,274,269,98.18,5,1.82,37020
37,21,284,270,95.07,14,4.93,37021
37,22,176,168,95.45,8,4.55,37022
37,23,218,211,96.79,7,3.21,37023
37,24,263,254,96.58,9,3.42,37024
37,25,329,315,95.74,14,4.26,37025
37,26,329,318,96.66,11,3.34,37026
37,27,309,299,96.76,10,3.24,37027
37,28,259,245,94.59,14,5.41,37028
37,29,302,291,96.36,11,3.64,37029
37,30,187,179,95.72,8,4.28,37030
37,31,289,282,97.58,7,2.42,37031
37,32,287,274,95.47,13,4.53,37032
37,33,246,240,97.56,6,2.44,37033
37,34,310,301,97.1,9,2.9,37034
37,35,277,267,96.39,10,3.61,37035
37,36,250,233,93.2,17,6.8,37036
37,37,253,236,93.28,17,6.72,37037
37,38,307,294,95.77,13,4.23,37038
37,40,265,251,94.72,14,5.28,37040
37,41,324,313,96.6,11,3.4,37041
37,43,235,223,94.89,12,5.11,37043
