ward,precinct,total,Michael A Bendas,Michael A Bendas Percent,Daniel William Lipinski,Daniel William Lipinski Percent,precinct_id
3,19,71,13,18.31,52,73.24,03019
11,1,305,39,12.79,245,80.33,11001
11,2,231,31,13.42,184,79.65,11002
11,4,273,30,10.99,230,84.25,11004
11,5,165,23,13.94,130,78.79,11005
11,6,296,33,11.15,230,77.7,11006
11,7,219,25,11.42,182,83.11,11007
11,8,230,37,16.09,177,76.96,11008
11,9,150,19,12.67,115,76.67,11009
11,11,405,84,20.74,283,69.88,11011
11,12,257,42,16.34,206,80.16,11012
11,13,227,34,14.98,186,81.94,11013
11,15,194,38,19.59,149,76.8,11015
11,16,285,35,12.28,226,79.3,11016
11,17,315,29,9.21,262,83.17,11017
11,18,162,34,20.99,111,68.52,11018
11,19,221,35,15.84,162,73.3,11019
11,20,192,29,15.1,154,80.21,11020
11,21,228,33,14.47,184,80.7,11021
11,22,207,21,10.14,170,82.13,11022
11,23,179,28,15.64,142,79.33,11023
11,24,412,57,13.83,338,82.04,11024
11,25,249,36,14.46,193,77.51,11025
11,26,291,37,12.71,225,77.32,11026
11,29,257,27,10.51,215,83.66,11029
11,30,235,28,11.91,184,78.3,11030
11,31,179,41,22.91,126,70.39,11031
11,32,179,38,21.23,128,71.51,11032
11,33,154,23,14.94,121,78.57,11033
11,34,76,13,17.11,58,76.32,11034
11,35,334,62,18.56,254,76.05,11035
11,37,314,72,22.93,237,75.48,11037
11,38,326,70,21.47,239,73.31,11038
11,39,355,60,16.9,283,79.72,11039
11,40,153,27,17.65,116,75.82,11040
11,41,131,13,9.92,100,76.34,11041
11,42,184,26,14.13,146,79.35,11042
11,43,256,40,15.63,204,79.69,11043
11,44,255,48,18.82,180,70.59,11044
11,45,129,43,33.33,78,60.47,11045
11,47,220,52,23.64,150,68.18,11047
11,48,98,23,23.47,73,74.49,11048
11,49,210,31,14.76,163,77.62,11049
11,50,129,22,17.05,102,79.07,11050
13,1,268,36,13.43,219,81.72,13001
13,2,189,19,10.05,160,84.66,13002
13,4,393,76,19.34,290,73.79,13004
13,5,273,23,8.42,242,88.64,13005
13,6,250,38,15.2,202,80.8,13006
13,7,241,17,7.05,206,85.48,13007
13,8,281,55,19.57,210,74.73,13008
13,9,286,29,10.14,242,84.62,13009
13,10,224,34,15.18,181,80.8,13010
13,11,247,22,8.91,210,85.02,13011
13,12,218,22,10.09,185,84.86,13012
13,13,298,23,7.72,266,89.26,13013
13,14,250,39,15.6,197,78.8,13014
13,15,329,26,7.9,288,87.54,13015
13,16,297,35,11.78,249,83.84,13016
13,17,270,50,18.52,209,77.41,13017
13,18,204,24,11.76,172,84.31,13018
13,19,330,24,7.27,301,91.21,13019
13,20,236,25,10.59,197,83.47,13020
13,21,310,32,10.32,266,85.81,13021
13,22,221,43,19.46,171,77.38,13022
13,23,228,28,12.28,183,80.26,13023
13,24,244,25,10.25,207,84.84,13024
