ward,precinct,total,Gregory Harris,Gregory Harris Percent,precinct_id
40,1,58,58,100.0,40001
40,2,118,118,100.0,40002
40,9,199,199,100.0,40009
40,10,144,144,100.0,40010
40,14,249,249,100.0,40014
40,15,204,204,100.0,40015
40,18,242,242,100.0,40018
40,19,206,206,100.0,40019
40,21,210,210,100.0,40021
40,22,151,151,100.0,40022
40,23,321,321,100.0,40023
40,24,38,38,100.0,40024
40,25,150,150,100.0,40025
40,33,232,232,100.0,40033
40,35,84,84,100.0,40035
40,36,242,242,100.0,40036
40,39,159,159,100.0,40039
40,40,139,139,100.0,40040
40,41,301,301,100.0,40041
40,42,240,240,100.0,40042
40,43,234,234,100.0,40043
40,44,132,132,100.0,40044
40,45,358,358,100.0,40045
40,46,274,274,100.0,40046
46,2,305,305,100.0,46002
46,4,263,263,100.0,46004
46,6,317,317,100.0,46006
46,7,195,195,100.0,46007
46,8,290,290,100.0,46008
46,9,265,265,100.0,46009
46,11,302,302,100.0,46011
46,12,327,327,100.0,46012
46,14,257,257,100.0,46014
46,16,259,259,100.0,46016
46,19,347,347,100.0,46019
46,20,195,195,100.0,46020
46,21,131,131,100.0,46021
46,22,211,211,100.0,46022
46,23,227,227,100.0,46023
46,25,330,330,100.0,46025
46,26,296,296,100.0,46026
46,27,289,289,100.0,46027
46,32,204,204,100.0,46032
46,34,273,273,100.0,46034
46,35,350,350,100.0,46035
46,38,219,219,100.0,46038
46,39,307,307,100.0,46039
46,40,196,196,100.0,46040
46,41,222,222,100.0,46041
46,42,287,287,100.0,46042
46,45,318,318,100.0,46045
46,46,255,255,100.0,46046
46,47,121,121,100.0,46047
47,5,332,332,100.0,47005
47,10,216,216,100.0,47010
47,11,489,489,100.0,47011
47,19,342,342,100.0,47019
47,20,352,352,100.0,47020
47,22,258,258,100.0,47022
47,23,162,162,100.0,47023
47,26,522,522,100.0,47026
47,28,361,361,100.0,47028
47,30,336,336,100.0,47030
47,31,347,347,100.0,47031
47,32,355,355,100.0,47032
47,33,287,287,100.0,47033
47,34,380,380,100.0,47034
47,36,454,454,100.0,47036
47,37,373,373,100.0,47037
47,38,338,338,100.0,47038
47,39,293,293,100.0,47039
47,41,514,514,100.0,47041
47,45,321,321,100.0,47045
48,4,317,317,100.0,48004
48,17,314,314,100.0,48017
48,21,298,298,100.0,48021
48,23,243,243,100.0,48023
48,24,146,146,100.0,48024
48,25,290,290,100.0,48025
48,34,293,293,100.0,48034
48,35,108,108,100.0,48035
48,40,188,188,100.0,48040
48,49,131,131,100.0,48049
50,34,14,14,100.0,50034
