ward,precinct,total,Harry Osterman,Harry Osterman Percent,precinct_id
40,3,246,246,100.0,40003
40,4,244,244,100.0,40004
40,7,274,274,100.0,40007
40,11,204,204,100.0,40011
40,12,171,171,100.0,40012
40,13,310,310,100.0,40013
40,16,221,221,100.0,40016
40,26,284,284,100.0,40026
40,27,198,198,100.0,40027
40,28,281,281,100.0,40028
40,35,150,150,100.0,40035
40,37,189,189,100.0,40037
40,42,27,27,100.0,40042
40,43,33,33,100.0,40043
40,47,246,246,100.0,40047
48,1,317,317,100.0,48001
48,2,231,231,100.0,48002
48,3,411,411,100.0,48003
48,5,255,255,100.0,48005
48,6,353,353,100.0,48006
48,7,259,259,100.0,48007
48,8,209,209,100.0,48008
48,9,279,279,100.0,48009
48,10,196,196,100.0,48010
48,11,315,315,100.0,48011
48,12,291,291,100.0,48012
48,13,252,252,100.0,48013
48,14,313,313,100.0,48014
48,15,172,172,100.0,48015
48,16,249,249,100.0,48016
48,18,199,199,100.0,48018
48,19,265,265,100.0,48019
48,20,186,186,100.0,48020
48,22,355,355,100.0,48022
48,26,303,303,100.0,48026
48,27,197,197,100.0,48027
48,28,236,236,100.0,48028
48,29,207,207,100.0,48029
48,30,284,284,100.0,48030
48,31,258,258,100.0,48031
48,32,237,237,100.0,48032
48,33,238,238,100.0,48033
48,36,245,245,100.0,48036
48,37,263,263,100.0,48037
48,38,339,339,100.0,48038
48,39,247,247,100.0,48039
48,41,178,178,100.0,48041
48,42,293,293,100.0,48042
48,43,363,363,100.0,48043
48,44,377,377,100.0,48044
48,45,225,225,100.0,48045
48,46,182,182,100.0,48046
48,47,241,241,100.0,48047
48,48,294,294,100.0,48048
48,50,326,326,100.0,48050
48,51,414,414,100.0,48051
48,52,204,204,100.0,48052
48,53,174,174,100.0,48053
48,54,235,235,100.0,48054
49,2,360,360,100.0,49002
49,3,175,175,100.0,49003
49,4,131,131,100.0,49004
49,7,217,217,100.0,49007
49,8,272,272,100.0,49008
49,9,199,199,100.0,49009
49,10,228,228,100.0,49010
49,11,180,180,100.0,49011
49,12,279,279,100.0,49012
49,13,331,331,100.0,49013
49,15,223,223,100.0,49015
49,17,92,92,100.0,49017
49,18,185,185,100.0,49018
49,19,180,180,100.0,49019
49,21,81,81,100.0,49021
49,22,236,236,100.0,49022
49,23,202,202,100.0,49023
49,25,298,298,100.0,49025
49,26,242,242,100.0,49026
49,27,386,386,100.0,49027
49,29,303,303,100.0,49029
49,31,246,246,100.0,49031
49,32,158,158,100.0,49032
49,33,202,202,100.0,49033
49,36,370,370,100.0,49036
49,37,396,396,100.0,49037
49,39,232,232,100.0,49039
49,42,279,279,100.0,49042
50,34,4,4,100.0,50034
