ward,precinct,total,Edward J. Acevedo,Edward J. Acevedo Percent,precinct_id
11,1,259,259,100.0,11001
11,2,189,189,100.0,11002
11,4,212,212,100.0,11004
11,5,134,134,100.0,11005
11,6,239,239,100.0,11006
11,7,189,189,100.0,11007
11,8,180,180,100.0,11008
11,9,116,116,100.0,11009
11,10,116,116,100.0,11010
11,11,308,308,100.0,11011
11,16,229,229,100.0,11016
11,17,266,266,100.0,11017
11,18,158,158,100.0,11018
11,19,178,178,100.0,11019
11,20,162,162,100.0,11020
11,21,182,182,100.0,11021
11,22,179,179,100.0,11022
11,24,334,334,100.0,11024
11,25,196,196,100.0,11025
11,26,250,250,100.0,11026
11,29,211,211,100.0,11029
11,30,195,195,100.0,11030
11,38,262,262,100.0,11038
11,40,123,123,100.0,11040
11,41,105,105,100.0,11041
11,44,199,199,100.0,11044
11,45,85,85,100.0,11045
11,47,165,165,100.0,11047
11,50,108,108,100.0,11050
12,1,95,95,100.0,12001
12,7,178,178,100.0,12007
12,8,186,186,100.0,12008
12,9,31,31,100.0,12009
12,15,93,93,100.0,12015
12,16,44,44,100.0,12016
12,18,146,146,100.0,12018
12,19,35,35,100.0,12019
12,22,110,110,100.0,12022
22,1,117,117,100.0,22001
22,29,85,85,100.0,22029
24,53,152,152,100.0,24053
25,1,205,205,100.0,25001
25,2,281,281,100.0,25002
25,5,191,191,100.0,25005
25,7,193,193,100.0,25007
25,8,225,225,100.0,25008
25,9,238,238,100.0,25009
25,11,232,232,100.0,25011
25,13,226,226,100.0,25013
25,15,202,202,100.0,25015
25,17,322,322,100.0,25017
25,19,241,241,100.0,25019
25,20,239,239,100.0,25020
25,22,112,112,100.0,25022
25,23,269,269,100.0,25023
25,24,262,262,100.0,25024
25,30,223,223,100.0,25030
28,29,167,167,100.0,28029
28,38,81,81,100.0,28038
28,53,1,1,100.0,28053
