ward,precinct,total,Paul Chialdikas,Paul Chialdikas Percent,Jimmy Lee Tillman II,Jimmy Lee Tillman II Percent,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,Barbara McGowan,Barbara McGowan Percent,Michael A. Alvarez,Michael A. Alvarez Percent,Diana Horton,Diana Horton Percent,John ''Jack'' Ailey,John ''Jack'' Ailey Percent,Nadine Bopp,Nadine Bopp Percent,precinct_id
1,1,582,47,8.08,24,4.12,138,23.71,118,20.27,141,24.23,44,7.56,31,5.33,39,6.7,01001
1,2,628,66,10.51,31,4.94,138,21.97,120,19.11,149,23.73,47,7.48,40,6.37,37,5.89,01002
1,3,456,39,8.55,17,3.73,112,24.56,102,22.37,103,22.59,34,7.46,25,5.48,24,5.26,01003
1,4,562,60,10.68,38,6.76,135,24.02,113,20.11,121,21.53,35,6.23,30,5.34,30,5.34,01004
1,5,565,51,9.03,33,5.84,129,22.83,128,22.65,126,22.3,38,6.73,28,4.96,32,5.66,01005
1,6,577,77,13.34,39,6.76,131,22.7,93,16.12,114,19.76,46,7.97,38,6.59,39,6.76,01006
1,7,581,79,13.6,46,7.92,120,20.65,107,18.42,148,25.47,36,6.2,26,4.48,19,3.27,01007
1,8,590,53,8.98,27,4.58,141,23.9,127,21.53,137,23.22,30,5.08,39,6.61,36,6.1,01008
1,9,472,31,6.57,14,2.97,99,20.97,91,19.28,107,22.67,45,9.53,41,8.69,44,9.32,01009
1,10,665,88,13.23,47,7.07,140,21.05,105,15.79,126,18.95,51,7.67,52,7.82,56,8.42,01010
1,11,460,38,8.26,23,5.0,102,22.17,93,20.22,112,24.35,34,7.39,30,6.52,28,6.09,01011
1,12,716,105,14.66,55,7.68,153,21.37,124,17.32,155,21.65,49,6.84,36,5.03,39,5.45,01012
1,13,736,66,8.97,28,3.8,163,22.15,148,20.11,185,25.14,53,7.2,42,5.71,51,6.93,01013
1,14,579,59,10.19,24,4.15,141,24.35,131,22.63,140,24.18,35,6.04,23,3.97,26,4.49,01014
1,15,379,16,4.22,9,2.37,92,24.27,90,23.75,117,30.87,20,5.28,16,4.22,19,5.01,01015
1,16,214,5,2.34,7,3.27,56,26.17,67,31.31,73,34.11,2,0.93,2,0.93,2,0.93,01016
1,17,359,30,8.36,15,4.18,86,23.96,62,17.27,80,22.28,31,8.64,29,8.08,26,7.24,01017
1,18,478,29,6.07,14,2.93,99,20.71,86,17.99,132,27.62,44,9.21,37,7.74,37,7.74,01018
1,19,373,31,8.31,15,4.02,87,23.32,69,18.5,88,23.59,32,8.58,26,6.97,25,6.7,01019
1,20,579,46,7.94,35,6.04,129,22.28,112,19.34,160,27.63,38,6.56,29,5.01,30,5.18,01020
1,21,437,64,14.65,36,8.24,88,20.14,80,18.31,94,21.51,30,6.86,23,5.26,22,5.03,01021
1,22,417,23,5.52,15,3.6,97,23.26,95,22.78,120,28.78,26,6.24,20,4.8,21,5.04,01022
1,23,426,45,10.56,28,6.57,92,21.6,82,19.25,106,24.88,29,6.81,24,5.63,20,4.69,01023
1,24,837,60,7.17,23,2.75,184,21.98,146,17.44,192,22.94,90,10.75,71,8.48,71,8.48,01024
1,25,395,43,10.89,21,5.32,86,21.77,80,20.25,92,23.29,30,7.59,22,5.57,21,5.32,01025
1,26,513,67,13.06,42,8.19,112,21.83,101,19.69,109,21.25,34,6.63,22,4.29,26,5.07,01026
1,27,363,45,12.4,22,6.06,78,21.49,74,20.39,94,25.9,20,5.51,15,4.13,15,4.13,01027
1,28,293,29,9.9,15,5.12,67,22.87,66,22.53,87,29.69,12,4.1,9,3.07,8,2.73,01028
1,29,621,55,8.86,31,4.99,137,22.06,118,19.0,141,22.71,53,8.53,46,7.41,40,6.44,01029
1,30,784,53,6.76,25,3.19,170,21.68,157,20.03,193,24.62,66,8.42,62,7.91,58,7.4,01030
1,31,729,122,16.74,62,8.5,171,23.46,116,15.91,155,21.26,43,5.9,31,4.25,29,3.98,01031
1,32,493,40,8.11,27,5.48,116,23.53,96,19.47,119,24.14,41,8.32,26,5.27,28,5.68,01032
1,33,581,53,9.12,29,4.99,122,21.0,125,21.51,143,24.61,45,7.75,31,5.34,33,5.68,01033
1,34,398,31,7.79,18,4.52,84,21.11,74,18.59,92,23.12,42,10.55,26,6.53,31,7.79,01034
1,35,541,81,14.97,46,8.5,112,20.7,93,17.19,120,22.18,32,5.91,30,5.55,27,4.99,01035
1,36,555,64,11.53,28,5.05,123,22.16,114,20.54,119,21.44,43,7.75,33,5.95,31,5.59,01036
1,37,394,36,9.14,20,5.08,86,21.83,81,20.56,93,23.6,29,7.36,21,5.33,28,7.11,01037
1,38,339,27,7.96,20,5.9,71,20.94,57,16.81,85,25.07,30,8.85,27,7.96,22,6.49,01038
1,39,512,37,7.23,25,4.88,111,21.68,119,23.24,146,28.52,28,5.47,24,4.69,22,4.3,01039
1,40,308,32,10.39,16,5.19,69,22.4,64,20.78,70,22.73,21,6.82,20,6.49,16,5.19,01040
1,41,429,42,9.79,28,6.53,92,21.45,84,19.58,99,23.08,40,9.32,19,4.43,25,5.83,01041
1,42,431,61,14.15,31,7.19,83,19.26,77,17.87,96,22.27,33,7.66,25,5.8,25,5.8,01042
1,43,461,33,7.16,20,4.34,118,25.6,112,24.3,135,29.28,16,3.47,11,2.39,16,3.47,01043
1,44,466,47,10.09,26,5.58,101,21.67,90,19.31,99,21.24,41,8.8,27,5.79,35,7.51,01044
1,45,496,44,8.87,13,2.62,109,21.98,96,19.35,140,28.23,39,7.86,27,5.44,28,5.65,01045
1,46,664,65,9.79,32,4.82,145,21.84,136,20.48,143,21.54,58,8.73,42,6.33,43,6.48,01046
1,47,546,51,9.34,32,5.86,130,23.81,106,19.41,121,22.16,45,8.24,29,5.31,32,5.86,01047
1,48,370,29,7.84,17,4.59,90,24.32,80,21.62,91,24.59,28,7.57,15,4.05,20,5.41,01048
1,49,320,26,8.13,12,3.75,69,21.56,65,20.31,69,21.56,30,9.38,28,8.75,21,6.56,01049
1,50,356,33,9.27,15,4.21,84,23.6,72,20.22,83,23.31,29,8.15,19,5.34,21,5.9,01050
2,1,1534,196,12.78,117,7.63,329,21.45,322,20.99,342,22.29,96,6.26,63,4.11,69,4.5,02001
2,2,196,6,3.06,4,2.04,56,28.57,60,30.61,56,28.57,5,2.55,5,2.55,4,2.04,02002
2,3,801,68,8.49,37,4.62,197,24.59,198,24.72,201,25.09,44,5.49,31,3.87,25,3.12,02003
2,4,498,4,0.8,7,1.41,148,29.72,164,32.93,162,32.53,8,1.61,3,0.6,2,0.4,02004
2,5,540,12,2.22,14,2.59,137,25.37,183,33.89,162,30.0,20,3.7,6,1.11,6,1.11,02005
2,6,1150,189,16.43,110,9.57,247,21.48,217,18.87,226,19.65,61,5.3,50,4.35,50,4.35,02006
2,7,748,6,0.8,9,1.2,212,28.34,245,32.75,248,33.16,15,2.01,4,0.53,9,1.2,02007
2,8,1050,125,11.9,68,6.48,268,25.52,228,21.71,248,23.62,54,5.14,23,2.19,36,3.43,02008
2,9,600,20,3.33,12,2.0,174,29.0,186,31.0,183,30.5,12,2.0,6,1.0,7,1.17,02009
2,10,315,7,2.22,5,1.59,88,27.94,102,32.38,97,30.79,9,2.86,4,1.27,3,0.95,02010
2,11,1233,150,12.17,64,5.19,304,24.66,230,18.65,275,22.3,92,7.46,51,4.14,67,5.43,02011
2,12,1260,192,15.24,108,8.57,269,21.35,228,18.1,240,19.05,92,7.3,58,4.6,73,5.79,02012
2,13,692,28,4.05,16,2.31,184,26.59,192,27.75,203,29.34,32,4.62,15,2.17,22,3.18,02013
2,14,863,22,2.55,23,2.67,234,27.11,271,31.4,254,29.43,22,2.55,13,1.51,24,2.78,02014
2,15,369,6,1.63,9,2.44,99,26.83,124,33.6,121,32.79,6,1.63,2,0.54,2,0.54,02015
2,16,1107,185,16.71,101,9.12,234,21.14,188,16.98,224,20.23,72,6.5,57,5.15,46,4.16,02016
2,17,515,6,1.17,7,1.36,149,28.93,177,34.37,157,30.49,12,2.33,4,0.78,3,0.58,02017
2,18,902,137,15.19,64,7.1,216,23.95,192,21.29,201,22.28,41,4.55,22,2.44,29,3.22,02018
2,19,1230,186,15.12,100,8.13,274,22.28,240,19.51,248,20.16,76,6.18,55,4.47,51,4.15,02019
2,20,984,27,2.74,27,2.74,270,27.44,312,31.71,290,29.47,26,2.64,19,1.93,13,1.32,02020
2,21,680,37,5.44,24,3.53,179,26.32,203,29.85,183,26.91,24,3.53,14,2.06,16,2.35,02021
2,22,1193,140,11.74,76,6.37,286,23.97,262,21.96,294,24.64,57,4.78,27,2.26,51,4.27,02022
2,23,440,19,4.32,13,2.95,117,26.59,128,29.09,128,29.09,17,3.86,11,2.5,7,1.59,02023
2,24,463,53,11.45,34,7.34,105,22.68,102,22.03,103,22.25,29,6.26,17,3.67,20,4.32,02024
2,25,922,54,5.86,35,3.8,229,24.84,248,26.9,250,27.11,46,4.99,28,3.04,32,3.47,02025
2,26,710,66,9.3,44,6.2,165,23.24,181,25.49,172,24.23,30,4.23,24,3.38,28,3.94,02026
2,27,494,6,1.21,2,0.4,139,28.14,171,34.62,152,30.77,16,3.24,3,0.61,5,1.01,02027
2,28,542,80,14.76,41,7.56,121,22.32,112,20.66,131,24.17,23,4.24,19,3.51,15,2.77,02028
2,29,388,23,5.93,11,2.84,101,26.03,109,28.09,105,27.06,16,4.12,12,3.09,11,2.84,02029
2,30,901,136,15.09,69,7.66,210,23.31,181,20.09,187,20.75,44,4.88,34,3.77,40,4.44,02030
2,31,687,12,1.75,26,3.78,185,26.93,227,33.04,203,29.55,16,2.33,7,1.02,11,1.6,02031
2,32,320,21,6.56,8,2.5,81,25.31,93,29.06,91,28.44,9,2.81,8,2.5,9,2.81,02032
2,33,409,4,0.98,2,0.49,122,29.83,146,35.7,130,31.78,1,0.24,1,0.24,3,0.73,02033
2,34,462,11,2.38,12,2.6,132,28.57,167,36.15,131,28.35,4,0.87,2,0.43,3,0.65,02034
2,35,206,16,7.77,8,3.88,48,23.3,39,18.93,40,19.42,18,8.74,17,8.25,20,9.71,02035
2,36,1145,137,11.97,79,6.9,259,22.62,266,23.23,272,23.76,55,4.8,43,3.76,34,2.97,02036
2,37,729,98,13.44,49,6.72,172,23.59,147,20.16,159,21.81,50,6.86,25,3.43,29,3.98,02037
2,38,1370,197,14.38,111,8.1,316,23.07,292,21.31,293,21.39,70,5.11,41,2.99,50,3.65,02038
2,39,683,33,4.83,25,3.66,175,25.62,183,26.79,197,28.84,31,4.54,18,2.64,21,3.07,02039
2,40,1533,159,10.37,93,6.07,361,23.55,372,24.27,347,22.64,80,5.22,58,3.78,63,4.11,02040
2,41,373,2,0.54,4,1.07,121,32.44,119,31.9,121,32.44,4,1.07,1,0.27,1,0.27,02041
2,42,350,3,0.86,8,2.29,109,31.14,120,34.29,103,29.43,3,0.86,2,0.57,2,0.57,02042
2,43,951,88,9.25,29,3.05,255,26.81,225,23.66,250,26.29,38,4.0,28,2.94,38,4.0,02043
2,44,472,8,1.69,15,3.18,128,27.12,145,30.72,144,30.51,17,3.6,7,1.48,8,1.69,02044
2,45,611,15,2.45,14,2.29,165,27.0,192,31.42,180,29.46,22,3.6,9,1.47,14,2.29,02045
2,46,909,17,1.87,25,2.75,241,26.51,289,31.79,266,29.26,36,3.96,17,1.87,18,1.98,02046
2,47,408,3,0.74,7,1.72,111,27.21,137,33.58,126,30.88,11,2.7,6,1.47,7,1.72,02047
2,48,390,0,0.0,2,0.51,114,29.23,129,33.08,125,32.05,11,2.82,5,1.28,4,1.03,02048
2,49,730,75,10.27,34,4.66,156,21.37,143,19.59,158,21.64,66,9.04,45,6.16,53,7.26,02049
2,50,424,36,8.49,16,3.77,98,23.11,98,23.11,112,26.42,24,5.66,21,4.95,19,4.48,02050
2,51,429,8,1.86,4,0.93,127,29.6,139,32.4,134,31.24,8,1.86,4,0.93,5,1.17,02051
2,52,749,15,2.0,11,1.47,214,28.57,232,30.97,236,31.51,20,2.67,9,1.2,12,1.6,02052
2,53,769,91,11.83,51,6.63,171,22.24,162,21.07,177,23.02,50,6.5,29,3.77,38,4.94,02053
2,54,962,76,7.9,37,3.85,227,23.6,219,22.77,222,23.08,67,6.96,52,5.41,62,6.44,02054
2,55,437,52,11.9,32,7.32,93,21.28,92,21.05,94,21.51,27,6.18,23,5.26,24,5.49,02055
2,56,493,8,1.62,9,1.83,125,25.35,174,35.29,144,29.21,17,3.45,11,2.23,5,1.01,02056
3,1,518,1,0.19,11,2.12,159,30.69,171,33.01,154,29.73,14,2.7,2,0.39,6,1.16,03001
3,2,745,3,0.4,20,2.68,212,28.46,257,34.5,227,30.47,16,2.15,5,0.67,5,0.67,03002
3,3,695,44,6.33,27,3.88,174,25.04,191,27.48,193,27.77,28,4.03,19,2.73,19,2.73,03003
3,4,440,2,0.45,13,2.95,116,26.36,138,31.36,140,31.82,18,4.09,7,1.59,6,1.36,03004
3,5,555,12,2.16,15,2.7,153,27.57,184,33.15,165,29.73,15,2.7,5,0.9,6,1.08,03005
3,6,142,0,0.0,4,2.82,40,28.17,45,31.69,44,30.99,2,1.41,3,2.11,4,2.82,03006
3,7,639,17,2.66,17,2.66,189,29.58,189,29.58,195,30.52,16,2.5,9,1.41,7,1.1,03007
3,8,552,1,0.18,9,1.63,156,28.26,194,35.14,161,29.17,19,3.44,5,0.91,7,1.27,03008
3,9,600,8,1.33,6,1.0,182,30.33,188,31.33,192,32.0,7,1.17,10,1.67,7,1.17,03009
3,10,202,2,0.99,6,2.97,57,28.22,76,37.62,56,27.72,2,0.99,3,1.49,0,0.0,03010
3,11,660,5,0.76,16,2.42,176,26.67,213,32.27,193,29.24,29,4.39,12,1.82,16,2.42,03011
3,12,510,4,0.78,15,2.94,145,28.43,167,32.75,153,30.0,8,1.57,7,1.37,11,2.16,03012
3,13,292,20,6.85,5,1.71,70,23.97,60,20.55,120,41.1,8,2.74,4,1.37,5,1.71,03013
3,14,404,3,0.74,12,2.97,118,29.21,136,33.66,126,31.19,7,1.73,2,0.5,0,0.0,03014
3,15,635,4,0.63,13,2.05,170,26.77,216,34.02,200,31.5,17,2.68,8,1.26,7,1.1,03015
3,16,510,9,1.76,28,5.49,130,25.49,169,33.14,133,26.08,24,4.71,3,0.59,14,2.75,03016
3,17,285,1,0.35,4,1.4,74,25.96,101,35.44,100,35.09,3,1.05,1,0.35,1,0.35,03017
3,18,269,0,0.0,2,0.74,78,29.0,90,33.46,89,33.09,9,3.35,0,0.0,1,0.37,03018
3,19,153,13,8.5,6,3.92,36,23.53,33,21.57,49,32.03,7,4.58,4,2.61,5,3.27,03019
3,20,463,5,1.08,6,1.3,126,27.21,156,33.69,141,30.45,17,3.67,5,1.08,7,1.51,03020
3,21,208,1,0.48,2,0.96,57,27.4,76,36.54,61,29.33,3,1.44,5,2.4,3,1.44,03021
3,22,304,4,1.32,2,0.66,85,27.96,102,33.55,98,32.24,7,2.3,3,0.99,3,0.99,03022
3,23,499,5,1.0,12,2.4,144,28.86,174,34.87,146,29.26,11,2.2,4,0.8,3,0.6,03023
3,24,752,12,1.6,14,1.86,215,28.59,251,33.38,230,30.59,16,2.13,8,1.06,6,0.8,03024
3,25,376,4,1.06,6,1.6,109,28.99,126,33.51,126,33.51,3,0.8,1,0.27,1,0.27,03025
3,26,157,3,1.91,6,3.82,41,26.11,56,35.67,49,31.21,1,0.64,1,0.64,0,0.0,03026
3,27,552,3,0.54,11,1.99,154,27.9,191,34.6,165,29.89,16,2.9,5,0.91,7,1.27,03027
3,28,1280,170,13.28,90,7.03,294,22.97,257,20.08,279,21.8,76,5.94,56,4.38,58,4.53,03028
3,29,536,3,0.56,9,1.68,161,30.04,184,34.33,169,31.53,5,0.93,5,0.93,0,0.0,03029
3,30,367,1,0.27,6,1.63,98,26.7,118,32.15,122,33.24,14,3.81,2,0.54,6,1.63,03030
3,31,748,6,0.8,15,2.01,205,27.41,268,35.83,224,29.95,16,2.14,6,0.8,8,1.07,03031
3,32,452,2,0.44,14,3.1,122,26.99,151,33.41,137,30.31,18,3.98,4,0.88,4,0.88,03032
3,33,691,9,1.3,16,2.32,185,26.77,240,34.73,214,30.97,17,2.46,5,0.72,5,0.72,03033
3,34,473,2,0.42,13,2.75,123,26.0,157,33.19,146,30.87,13,2.75,8,1.69,11,2.33,03034
3,35,569,6,1.05,11,1.93,155,27.24,197,34.62,173,30.4,11,1.93,9,1.58,7,1.23,03035
3,36,183,0,0.0,3,1.64,51,27.87,70,38.25,56,30.6,2,1.09,0,0.0,1,0.55,03036
3,37,238,2,0.84,5,2.1,63,26.47,76,31.93,70,29.41,10,4.2,4,1.68,8,3.36,03037
3,38,745,7,0.94,14,1.88,211,28.32,257,34.5,231,31.01,18,2.42,1,0.13,6,0.81,03038
