ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,precinct_id
11,1,260,260,100.0,11001
11,2,195,195,100.0,11002
11,3,151,151,100.0,11003
11,4,220,220,100.0,11004
11,5,127,127,100.0,11005
11,6,237,237,100.0,11006
11,7,190,190,100.0,11007
11,8,176,176,100.0,11008
11,9,117,117,100.0,11009
11,10,120,120,100.0,11010
11,11,322,322,100.0,11011
11,16,241,241,100.0,11016
11,17,264,264,100.0,11017
11,18,156,156,100.0,11018
11,19,186,186,100.0,11019
11,20,164,164,100.0,11020
11,21,190,190,100.0,11021
11,22,182,182,100.0,11022
11,24,341,341,100.0,11024
11,25,194,194,100.0,11025
11,26,247,247,100.0,11026
11,29,217,217,100.0,11029
11,30,193,193,100.0,11030
11,38,265,265,100.0,11038
11,40,130,130,100.0,11040
11,41,107,107,100.0,11041
11,44,202,202,100.0,11044
11,45,81,81,100.0,11045
11,47,173,173,100.0,11047
11,50,110,110,100.0,11050
12,1,102,102,100.0,12001
12,2,102,102,100.0,12002
12,3,133,133,100.0,12003
12,4,93,93,100.0,12004
12,5,97,97,100.0,12005
12,6,88,88,100.0,12006
12,7,185,185,100.0,12007
12,8,235,235,100.0,12008
12,9,92,92,100.0,12009
12,10,138,138,100.0,12010
12,11,192,192,100.0,12011
12,12,111,111,100.0,12012
12,13,201,201,100.0,12013
12,14,147,147,100.0,12014
12,15,96,96,100.0,12015
12,16,47,47,100.0,12016
12,17,157,157,100.0,12017
12,18,148,148,100.0,12018
12,19,191,191,100.0,12019
12,20,139,139,100.0,12020
12,21,139,139,100.0,12021
12,22,106,106,100.0,12022
12,23,154,154,100.0,12023
12,24,171,171,100.0,12024
14,7,119,119,100.0,14007
14,8,103,103,100.0,14008
14,10,137,137,100.0,14010
14,12,117,117,100.0,14012
14,14,120,120,100.0,14014
14,16,168,168,100.0,14016
14,17,133,133,100.0,14017
14,18,146,146,100.0,14018
14,19,197,197,100.0,14019
14,20,122,122,100.0,14020
14,21,132,132,100.0,14021
14,22,154,154,100.0,14022
14,23,171,171,100.0,14023
14,26,162,162,100.0,14026
14,29,179,179,100.0,14029
14,30,131,131,100.0,14030
14,31,138,138,100.0,14031
14,33,85,85,100.0,14033
14,34,19,19,100.0,14034
14,35,141,141,100.0,14035
16,11,193,193,100.0,16011
16,13,122,122,100.0,16013
16,21,142,142,100.0,16021
16,23,129,129,100.0,16023
16,32,66,66,100.0,16032
16,42,115,115,100.0,16042
20,4,144,144,100.0,20004
20,21,84,84,100.0,20021
22,1,118,118,100.0,22001
22,8,99,99,100.0,22008
22,9,144,144,100.0,22009
22,11,121,121,100.0,22011
22,15,100,100,100.0,22015
22,22,113,113,100.0,22022
22,28,1,1,100.0,22028
22,29,92,92,100.0,22029
24,53,150,150,100.0,24053
25,1,210,210,100.0,25001
25,2,275,275,100.0,25002
25,5,193,193,100.0,25005
25,7,192,192,100.0,25007
25,8,217,217,100.0,25008
25,9,248,248,100.0,25009
25,11,237,237,100.0,25011
25,13,223,223,100.0,25013
25,15,196,196,100.0,25015
25,17,319,319,100.0,25017
25,19,248,248,100.0,25019
25,20,234,234,100.0,25020
25,22,113,113,100.0,25022
25,23,256,256,100.0,25023
25,24,262,262,100.0,25024
25,30,217,217,100.0,25030
28,29,164,164,100.0,28029
28,38,83,83,100.0,28038
28,53,1,1,100.0,28053
