ward,precinct,total,Camille Lilly,Camille Lilly Percent,precinct_id
28,16,155,155,100.0,28016
28,47,170,170,100.0,28047
29,4,229,229,100.0,29004
29,5,201,201,100.0,29005
29,8,160,160,100.0,29008
29,11,252,252,100.0,29011
29,13,255,255,100.0,29013
29,18,272,272,100.0,29018
29,23,225,225,100.0,29023
29,26,212,212,100.0,29026
29,29,317,317,100.0,29029
29,33,206,206,100.0,29033
29,35,209,209,100.0,29035
29,37,232,232,100.0,29037
29,40,323,323,100.0,29040
29,41,285,285,100.0,29041
29,43,278,278,100.0,29043
29,44,224,224,100.0,29044
29,45,208,208,100.0,29045
29,46,233,233,100.0,29046
29,47,296,296,100.0,29047
29,48,225,225,100.0,29048
36,2,148,148,100.0,36002
36,16,305,305,100.0,36016
36,22,258,258,100.0,36022
36,23,102,102,100.0,36023
36,24,258,258,100.0,36024
36,33,153,153,100.0,36033
36,44,238,238,100.0,36044
36,45,190,190,100.0,36045
36,54,281,281,100.0,36054
36,55,277,277,100.0,36055
37,5,269,269,100.0,37005
37,6,252,252,100.0,37006
37,7,273,273,100.0,37007
37,9,220,220,100.0,37009
37,17,214,214,100.0,37017
37,18,273,273,100.0,37018
37,29,271,271,100.0,37029
37,32,246,246,100.0,37032
37,35,235,235,100.0,37035
37,37,223,223,100.0,37037
37,38,255,255,100.0,37038
