ward,precinct,total,Barbara Ruth Bellar,Barbara Ruth Bellar Percent,Bill Cunningham,Bill Cunningham Percent,precinct_id
19,1,375,100,26.67,275,73.33,19001
19,2,337,38,11.28,299,88.72,19002
19,3,324,137,42.28,187,57.72,19003
19,4,338,123,36.39,215,63.61,19004
19,5,412,60,14.56,352,85.44,19005
19,6,319,115,36.05,204,63.95,19006
19,7,345,80,23.19,265,76.81,19007
19,8,277,123,44.4,154,55.6,19008
19,10,475,100,21.05,375,78.95,19010
19,11,399,136,34.09,263,65.91,19011
19,12,357,147,41.18,210,58.82,19012
19,15,323,153,47.37,170,52.63,19015
19,16,430,161,37.44,269,62.56,19016
19,17,377,115,30.5,262,69.5,19017
19,18,433,82,18.94,351,81.06,19018
19,19,394,72,18.27,322,81.73,19019
19,21,268,106,39.55,162,60.45,19021
19,22,437,94,21.51,343,78.49,19022
19,23,426,145,34.04,281,65.96,19023
19,24,326,134,41.1,192,58.9,19024
19,25,428,121,28.27,307,71.73,19025
19,26,440,117,26.59,323,73.41,19026
19,29,337,130,38.58,207,61.42,19029
19,30,376,159,42.29,217,57.71,19030
19,32,374,107,28.61,267,71.39,19032
19,33,412,159,38.59,253,61.41,19033
19,34,364,95,26.1,269,73.9,19034
19,35,362,69,19.06,293,80.94,19035
19,36,477,57,11.95,420,88.05,19036
19,37,393,45,11.45,348,88.55,19037
19,38,381,46,12.07,335,87.93,19038
19,39,178,12,6.74,166,93.26,19039
19,41,287,115,40.07,172,59.93,19041
19,44,342,137,40.06,205,59.94,19044
19,45,376,112,29.79,264,70.21,19045
19,46,437,127,29.06,310,70.94,19046
19,47,282,32,11.35,250,88.65,19047
19,51,271,88,32.47,183,67.53,19051
19,52,313,116,37.06,197,62.94,19052
19,53,363,96,26.45,267,73.55,19053
19,54,289,126,43.6,163,56.4,19054
19,55,298,111,37.25,187,62.75,19055
19,57,425,68,16.0,357,84.0,19057
19,58,359,126,35.1,233,64.9,19058
19,59,418,158,37.8,260,62.2,19059
19,61,438,115,26.26,323,73.74,19061
19,62,355,77,21.69,278,78.31,19062
19,63,263,27,10.27,236,89.73,19063
