ward,precinct,total,Marlow H. Colvin,Marlow H. Colvin Percent,precinct_id
5,4,182,182,100.0,05004
7,1,404,404,100.0,07001
7,2,277,277,100.0,07002
7,4,186,186,100.0,07004
7,5,196,196,100.0,07005
7,6,175,175,100.0,07006
7,7,160,160,100.0,07007
7,12,172,172,100.0,07012
7,13,162,162,100.0,07013
7,19,330,330,100.0,07019
7,21,241,241,100.0,07021
7,24,201,201,100.0,07024
7,25,285,285,100.0,07025
7,26,273,273,100.0,07026
7,27,321,321,100.0,07027
7,30,261,261,100.0,07030
7,31,218,218,100.0,07031
7,33,179,179,100.0,07033
7,34,221,221,100.0,07034
7,38,161,161,100.0,07038
7,41,174,174,100.0,07041
7,42,342,342,100.0,07042
7,46,2,2,100.0,07046
7,47,215,215,100.0,07047
7,48,188,188,100.0,07048
7,49,114,114,100.0,07049
7,50,161,161,100.0,07050
7,51,370,370,100.0,07051
7,52,170,170,100.0,07052
7,53,186,186,100.0,07053
7,55,192,192,100.0,07055
7,58,259,259,100.0,07058
7,59,122,122,100.0,07059
7,60,163,163,100.0,07060
7,61,212,212,100.0,07061
8,1,281,281,100.0,08001
8,2,134,134,100.0,08002
8,3,331,331,100.0,08003
8,4,260,260,100.0,08004
8,5,287,287,100.0,08005
8,6,262,262,100.0,08006
8,7,233,233,100.0,08007
8,8,297,297,100.0,08008
8,9,319,319,100.0,08009
8,10,347,347,100.0,08010
8,11,262,262,100.0,08011
8,12,258,258,100.0,08012
8,13,198,198,100.0,08013
8,14,170,170,100.0,08014
8,15,203,203,100.0,08015
8,16,281,281,100.0,08016
8,17,235,235,100.0,08017
8,19,317,317,100.0,08019
8,20,189,189,100.0,08020
8,21,203,203,100.0,08021
8,22,225,225,100.0,08022
8,23,218,218,100.0,08023
8,24,258,258,100.0,08024
8,25,250,250,100.0,08025
8,26,158,158,100.0,08026
8,27,284,284,100.0,08027
8,28,207,207,100.0,08028
8,29,271,271,100.0,08029
8,30,220,220,100.0,08030
8,31,174,174,100.0,08031
8,33,230,230,100.0,08033
8,35,292,292,100.0,08035
8,36,223,223,100.0,08036
8,37,4,4,100.0,08037
8,38,255,255,100.0,08038
8,40,219,219,100.0,08040
8,41,197,197,100.0,08041
8,42,256,256,100.0,08042
8,44,198,198,100.0,08044
8,46,215,215,100.0,08046
8,48,225,225,100.0,08048
8,49,338,338,100.0,08049
8,50,276,276,100.0,08050
8,51,324,324,100.0,08051
8,52,260,260,100.0,08052
8,53,270,270,100.0,08053
8,54,258,258,100.0,08054
8,55,236,236,100.0,08055
8,57,231,231,100.0,08057
8,58,267,267,100.0,08058
8,60,240,240,100.0,08060
8,61,201,201,100.0,08061
8,62,217,217,100.0,08062
8,63,269,269,100.0,08063
8,64,223,223,100.0,08064
8,65,171,171,100.0,08065
10,3,150,150,100.0,10003
10,6,228,228,100.0,10006
10,8,150,150,100.0,10008
10,9,144,144,100.0,10009
10,10,149,149,100.0,10010
10,11,149,149,100.0,10011
10,12,128,128,100.0,10012
10,13,136,136,100.0,10013
10,14,147,147,100.0,10014
10,16,145,145,100.0,10016
10,19,191,191,100.0,10019
10,20,131,131,100.0,10020
10,22,6,6,100.0,10022
10,23,123,123,100.0,10023
10,24,133,133,100.0,10024
10,26,143,143,100.0,10026
10,27,178,178,100.0,10027
10,28,166,166,100.0,10028
10,29,196,196,100.0,10029
10,30,150,150,100.0,10030
10,31,147,147,100.0,10031
10,32,154,154,100.0,10032
10,33,158,158,100.0,10033
10,34,151,151,100.0,10034
10,35,141,141,100.0,10035
10,36,211,211,100.0,10036
10,38,176,176,100.0,10038
10,39,160,160,100.0,10039
10,40,146,146,100.0,10040
10,41,182,182,100.0,10041
10,42,148,148,100.0,10042
10,44,155,155,100.0,10044
10,46,150,150,100.0,10046
