ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
13,3,237,237,100.0,13003
13,18,157,157,100.0,13018
13,20,197,197,100.0,13020
13,31,175,175,100.0,13031
14,1,84,84,100.0,14001
14,2,142,142,100.0,14002
14,3,165,165,100.0,14003
14,4,139,139,100.0,14004
14,5,179,179,100.0,14005
14,6,145,145,100.0,14006
14,9,180,180,100.0,14009
14,11,117,117,100.0,14011
14,13,156,156,100.0,14013
14,15,153,153,100.0,14015
14,24,113,113,100.0,14024
14,25,147,147,100.0,14025
14,27,209,209,100.0,14027
14,28,157,157,100.0,14028
14,32,113,113,100.0,14032
14,34,79,79,100.0,14034
15,1,45,45,100.0,15001
15,10,111,111,100.0,15010
15,16,96,96,100.0,15016
16,17,116,116,100.0,16017
16,32,76,76,100.0,16032
16,39,142,142,100.0,16039
22,2,98,98,100.0,22002
22,3,154,154,100.0,22003
22,4,127,127,100.0,22004
22,5,135,135,100.0,22005
22,6,114,114,100.0,22006
22,10,135,135,100.0,22010
22,12,110,110,100.0,22012
22,13,150,150,100.0,22013
22,14,93,93,100.0,22014
22,16,154,154,100.0,22016
22,17,135,135,100.0,22017
22,18,142,142,100.0,22018
22,20,123,123,100.0,22020
22,23,126,126,100.0,22023
22,24,87,87,100.0,22024
22,25,105,105,100.0,22025
22,26,103,103,100.0,22026
22,27,148,148,100.0,22027
22,28,74,74,100.0,22028
23,5,193,193,100.0,23005
23,6,211,211,100.0,23006
23,9,234,234,100.0,23009
23,10,250,250,100.0,23010
23,21,16,16,100.0,23021
23,24,150,150,100.0,23024
23,25,158,158,100.0,23025
23,29,170,170,100.0,23029
23,31,189,189,100.0,23031
23,32,240,240,100.0,23032
23,33,249,249,100.0,23033
23,37,39,39,100.0,23037
23,41,216,216,100.0,23041
23,50,134,134,100.0,23050
23,51,182,182,100.0,23051
23,53,135,135,100.0,23053
