ward,precinct,total,"Napoleon B. Harris, III","Napoleon B. Harris, III Percent",precinct_id
9,3,234,234,100.0,09003
9,4,69,69,100.0,09004
9,7,267,267,100.0,09007
9,11,220,220,100.0,09011
9,15,353,353,100.0,09015
9,16,299,299,100.0,09016
9,18,236,236,100.0,09018
9,26,357,357,100.0,09026
9,28,121,121,100.0,09028
9,31,17,17,100.0,09031
9,33,252,252,100.0,09033
9,41,268,268,100.0,09041
9,44,231,231,100.0,09044
9,45,263,263,100.0,09045
