ward,precinct,total,"Marcus C. Evans, Jr.","Marcus C. Evans, Jr. Percent",precinct_id
7,26,282,282,100.0,07026
7,27,270,270,100.0,07027
7,28,232,232,100.0,07028
7,29,289,289,100.0,07029
7,30,198,198,100.0,07030
7,32,199,199,100.0,07032
7,36,410,410,100.0,07036
7,37,23,23,100.0,07037
7,38,284,284,100.0,07038
7,39,315,315,100.0,07039
7,40,282,282,100.0,07040
7,41,335,335,100.0,07041
7,42,290,290,100.0,07042
7,43,342,342,100.0,07043
7,44,287,287,100.0,07044
7,45,316,316,100.0,07045
8,3,412,412,100.0,08003
8,4,410,410,100.0,08004
8,5,406,406,100.0,08005
8,6,378,378,100.0,08006
8,7,408,408,100.0,08007
8,8,349,349,100.0,08008
8,10,460,460,100.0,08010
8,11,288,288,100.0,08011
8,12,311,311,100.0,08012
8,14,247,247,100.0,08014
8,15,243,243,100.0,08015
8,17,320,320,100.0,08017
8,18,320,320,100.0,08018
8,19,390,390,100.0,08019
8,23,311,311,100.0,08023
8,24,223,223,100.0,08024
8,25,353,353,100.0,08025
8,27,403,403,100.0,08027
8,29,408,408,100.0,08029
8,30,370,370,100.0,08030
8,33,338,338,100.0,08033
8,35,400,400,100.0,08035
8,36,399,399,100.0,08036
8,37,300,300,100.0,08037
8,38,232,232,100.0,08038
8,40,276,276,100.0,08040
8,41,412,412,100.0,08041
8,44,247,247,100.0,08044
8,45,226,226,100.0,08045
8,46,293,293,100.0,08046
8,48,337,337,100.0,08048
8,49,340,340,100.0,08049
8,50,356,356,100.0,08050
8,51,398,398,100.0,08051
8,52,450,450,100.0,08052
8,53,208,208,100.0,08053
8,54,102,102,100.0,08054
8,56,367,367,100.0,08056
10,2,272,272,100.0,10002
10,3,276,276,100.0,10003
10,5,224,224,100.0,10005
10,9,235,235,100.0,10009
10,13,263,263,100.0,10013
10,14,5,5,100.0,10014
10,15,627,627,100.0,10015
10,16,217,217,100.0,10016
10,17,358,358,100.0,10017
10,21,3,3,100.0,10021
10,23,33,33,100.0,10023
10,24,263,263,100.0,10024
10,27,17,17,100.0,10027
10,33,2,2,100.0,10033
