ward,precinct,total,Luis Arroyo Jr.,Luis Arroyo Jr. Percent,Walter Zarnecki,Walter Zarnecki Percent,precinct_id
1,1,570,515,90.35,55,9.65,01001
1,2,455,428,94.07,27,5.93,01002
1,7,389,348,89.46,41,10.54,01007
1,9,415,372,89.64,43,10.36,01009
1,13,244,216,88.52,28,11.48,01013
1,15,413,350,84.75,63,15.25,01015
1,16,629,579,92.05,50,7.95,01016
1,17,465,417,89.68,48,10.32,01017
1,18,503,469,93.24,34,6.76,01018
1,19,608,559,91.94,49,8.06,01019
1,20,429,397,92.54,32,7.46,01020
1,22,338,312,92.31,26,7.69,01022
1,23,742,675,90.97,67,9.03,01023
1,24,449,416,92.65,33,7.35,01024
1,25,529,478,90.36,51,9.64,01025
1,26,332,308,92.77,24,7.23,01026
1,27,567,492,86.77,75,13.23,01027
1,29,643,564,87.71,79,12.29,01029
1,30,584,542,92.81,42,7.19,01030
1,31,493,437,88.64,56,11.36,01031
1,34,423,388,91.73,35,8.27,01034
1,38,230,197,85.65,33,14.35,01038
1,41,323,302,93.5,21,6.5,01041
1,42,136,119,87.5,17,12.5,01042
1,43,334,304,91.02,30,8.98,01043
1,44,488,444,90.98,44,9.02,01044
26,1,393,361,91.86,32,8.14,26001
26,2,311,288,92.6,23,7.4,26002
26,3,426,364,85.45,62,14.55,26003
26,4,231,224,96.97,7,3.03,26004
26,5,328,311,94.82,17,5.18,26005
26,6,309,291,94.17,18,5.83,26006
26,7,372,346,93.01,26,6.99,26007
26,8,188,170,90.43,18,9.57,26008
26,9,261,244,93.49,17,6.51,26009
26,10,308,300,97.4,8,2.6,26010
26,11,311,281,90.35,30,9.65,26011
26,12,395,366,92.66,29,7.34,26012
26,13,182,170,93.41,12,6.59,26013
26,14,265,247,93.21,18,6.79,26014
26,15,201,183,91.04,18,8.96,26015
26,16,190,176,92.63,14,7.37,26016
26,17,310,228,73.55,82,26.45,26017
26,18,266,247,92.86,19,7.14,26018
26,19,218,201,92.2,17,7.8,26019
26,20,316,287,90.82,29,9.18,26020
26,21,419,391,93.32,28,6.68,26021
26,22,169,155,91.72,14,8.28,26022
26,23,233,216,92.7,17,7.3,26023
26,24,281,260,92.53,21,7.47,26024
26,25,324,307,94.75,17,5.25,26025
26,26,252,232,92.06,20,7.94,26026
26,27,430,397,92.33,33,7.67,26027
26,29,220,194,88.18,26,11.82,26029
26,30,273,263,96.34,10,3.66,26030
26,31,150,129,86.0,21,14.0,26031
26,33,402,368,91.54,34,8.46,26033
26,34,449,428,95.32,21,4.68,26034
26,35,301,281,93.36,20,6.64,26035
26,36,371,325,87.6,46,12.4,26036
26,37,376,359,95.48,17,4.52,26037
26,38,156,145,92.95,11,7.05,26038
26,39,399,354,88.72,45,11.28,26039
26,40,242,230,95.04,12,4.96,26040
26,41,416,391,93.99,25,6.01,26041
26,42,298,285,95.64,13,4.36,26042
26,43,195,189,96.92,6,3.08,26043
26,44,204,189,92.65,15,7.35,26044
26,45,162,149,91.98,13,8.02,26045
26,46,256,199,77.73,57,22.27,26046
26,47,227,206,90.75,21,9.25,26047
26,48,335,308,91.94,27,8.06,26048
26,49,198,188,94.95,10,5.05,26049
30,1,6,6,100.0,0,0.0,30001
30,2,405,322,79.51,83,20.49,30002
30,3,350,307,87.71,43,12.29,30003
30,5,291,256,87.97,35,12.03,30005
30,6,342,286,83.63,56,16.37,30006
30,7,433,363,83.83,70,16.17,30007
30,8,515,448,86.99,67,13.01,30008
30,9,102,86,84.31,16,15.69,30009
30,10,418,355,84.93,63,15.07,30010
30,11,374,336,89.84,38,10.16,30011
30,12,345,294,85.22,51,14.78,30012
30,13,400,335,83.75,65,16.25,30013
30,14,260,237,91.15,23,8.85,30014
30,15,401,339,84.54,62,15.46,30015
30,16,192,159,82.81,33,17.19,30016
30,18,504,457,90.67,47,9.33,30018
30,19,366,328,89.62,38,10.38,30019
30,20,439,370,84.28,69,15.72,30020
30,21,117,88,75.21,29,24.79,30021
30,22,565,497,87.96,68,12.04,30022
30,23,447,392,87.7,55,12.3,30023
30,24,539,472,87.57,67,12.43,30024
30,25,586,517,88.23,69,11.77,30025
30,26,240,192,80.0,48,20.0,30026
30,27,274,223,81.39,51,18.61,30027
30,28,410,364,88.78,46,11.22,30028
30,29,225,199,88.44,26,11.56,30029
30,30,185,168,90.81,17,9.19,30030
30,31,272,214,78.68,58,21.32,30031
30,32,315,273,86.67,42,13.33,30032
31,1,244,227,93.03,17,6.97,31001
31,2,220,199,90.45,21,9.55,31002
31,3,228,182,79.82,46,20.18,31003
31,4,384,348,90.63,36,9.38,31004
31,5,292,256,87.67,36,12.33,31005
31,6,195,172,88.21,23,11.79,31006
31,7,422,401,95.02,21,4.98,31007
31,8,207,180,86.96,27,13.04,31008
31,9,255,216,84.71,39,15.29,31009
31,10,238,202,84.87,36,15.13,31010
31,11,218,179,82.11,39,17.89,31011
31,12,246,203,82.52,43,17.48,31012
31,13,273,257,94.14,16,5.86,31013
31,14,240,195,81.25,45,18.75,31014
31,15,247,209,84.62,38,15.38,31015
31,16,331,301,90.94,30,9.06,31016
31,17,250,207,82.8,43,17.2,31017
31,18,251,221,88.05,30,11.95,31018
31,19,242,207,85.54,35,14.46,31019
31,20,234,198,84.62,36,15.38,31020
31,21,254,229,90.16,25,9.84,31021
31,22,234,217,92.74,17,7.26,31022
31,23,269,227,84.39,42,15.61,31023
31,24,254,218,85.83,36,14.17,31024
31,25,243,212,87.24,31,12.76,31025
31,26,294,250,85.03,44,14.97,31026
31,27,296,255,86.15,41,13.85,31027
31,28,217,189,87.1,28,12.9,31028
31,29,280,236,84.29,44,15.71,31029
31,30,212,190,89.62,22,10.38,31030
31,31,214,174,81.31,40,18.69,31031
31,32,218,186,85.32,32,14.68,31032
31,33,218,173,79.36,45,20.64,31033
31,34,260,211,81.15,49,18.85,31034
31,35,293,250,85.32,43,14.68,31035
31,36,294,259,88.1,35,11.9,31036
31,37,265,226,85.28,39,14.72,31037
31,38,215,202,93.95,13,6.05,31038
31,39,313,296,94.57,17,5.43,31039
31,40,307,275,89.58,32,10.42,31040
31,41,233,206,88.41,27,11.59,31041
32,1,161,150,93.17,11,6.83,32001
32,3,594,534,89.9,60,10.1,32003
32,5,179,154,86.03,25,13.97,32005
32,11,501,474,94.61,27,5.39,32011
32,12,404,367,90.84,37,9.16,32012
32,14,568,518,91.2,50,8.8,32014
32,16,559,479,85.69,80,14.31,32016
32,17,562,511,90.93,51,9.07,32017
32,20,530,496,93.58,34,6.42,32020
32,22,701,632,90.16,69,9.84,32022
32,26,623,558,89.57,65,10.43,32026
32,28,566,515,90.99,51,9.01,32028
32,29,608,531,87.34,77,12.66,32029
32,32,24,21,87.5,3,12.5,32032
32,43,526,473,89.92,53,10.08,32043
33,1,512,467,91.21,45,8.79,33001
33,3,746,666,89.28,80,10.72,33003
33,4,710,614,86.48,96,13.52,33004
33,5,491,427,86.97,64,13.03,33005
