ward,precinct,total,James ''Jamie'' Shapiro,James ''Jamie'' Shapiro Percent,precinct_id
2,2,311,311,100.0,02002
2,9,365,365,100.0,02009
2,10,297,297,100.0,02010
2,11,423,423,100.0,02011
2,12,386,386,100.0,02012
2,13,350,350,100.0,02013
2,18,396,396,100.0,02018
2,19,253,253,100.0,02019
2,20,477,477,100.0,02020
2,22,425,425,100.0,02022
2,23,256,256,100.0,02023
2,24,371,371,100.0,02024
2,26,348,348,100.0,02026
2,27,350,350,100.0,02027
2,28,461,461,100.0,02028
2,29,449,449,100.0,02029
2,30,351,351,100.0,02030
2,31,457,457,100.0,02031
2,32,331,331,100.0,02032
2,33,561,561,100.0,02033
2,34,306,306,100.0,02034
2,35,540,540,100.0,02035
2,36,447,447,100.0,02036
2,37,377,377,100.0,02037
2,38,342,342,100.0,02038
2,39,245,245,100.0,02039
2,40,589,589,100.0,02040
2,41,436,436,100.0,02041
2,42,467,467,100.0,02042
2,43,545,545,100.0,02043
2,44,253,253,100.0,02044
2,45,474,474,100.0,02045
2,46,196,196,100.0,02046
3,3,308,308,100.0,03003
3,6,526,526,100.0,03006
3,13,449,449,100.0,03013
3,14,460,460,100.0,03014
3,17,584,584,100.0,03017
3,18,81,81,100.0,03018
3,19,451,451,100.0,03019
3,21,441,441,100.0,03021
3,22,552,552,100.0,03022
3,25,670,670,100.0,03025
3,26,446,446,100.0,03026
3,27,529,529,100.0,03027
3,32,488,488,100.0,03032
3,33,508,508,100.0,03033
3,34,532,532,100.0,03034
3,39,680,680,100.0,03039
3,40,423,423,100.0,03040
4,2,565,565,100.0,04002
4,6,127,127,100.0,04006
4,13,545,545,100.0,04013
4,16,746,746,100.0,04016
4,17,564,564,100.0,04017
4,20,377,377,100.0,04020
4,21,609,609,100.0,04021
4,25,480,480,100.0,04025
4,37,792,792,100.0,04037
11,30,149,149,100.0,11030
11,36,128,128,100.0,11036
11,37,79,79,100.0,11037
25,6,103,103,100.0,25006
25,14,166,166,100.0,25014
25,18,159,159,100.0,25018
25,21,687,687,100.0,25021
25,27,205,205,100.0,25027
27,6,366,366,100.0,27006
27,9,159,159,100.0,27009
27,11,157,157,100.0,27011
27,12,262,262,100.0,27012
27,20,235,235,100.0,27020
27,21,345,345,100.0,27021
27,28,337,337,100.0,27028
27,35,291,291,100.0,27035
27,37,379,379,100.0,27037
27,38,486,486,100.0,27038
27,42,226,226,100.0,27042
27,46,266,266,100.0,27046
27,47,195,195,100.0,27047
27,48,589,589,100.0,27048
32,7,472,472,100.0,32007
32,8,524,524,100.0,32008
32,10,442,442,100.0,32010
32,13,159,159,100.0,32013
32,18,372,372,100.0,32018
32,23,469,469,100.0,32023
32,27,46,46,100.0,32027
32,39,454,454,100.0,32039
40,13,310,310,100.0,40013
40,21,138,138,100.0,40021
40,22,481,481,100.0,40022
40,23,518,518,100.0,40023
40,26,457,457,100.0,40026
40,28,114,114,100.0,40028
40,31,490,490,100.0,40031
40,32,475,475,100.0,40032
40,33,431,431,100.0,40033
40,36,373,373,100.0,40036
42,1,338,338,100.0,42001
42,2,501,501,100.0,42002
42,4,853,853,100.0,42004
42,5,384,384,100.0,42005
42,6,393,393,100.0,42006
42,7,508,508,100.0,42007
42,8,364,364,100.0,42008
42,9,538,538,100.0,42009
42,10,601,601,100.0,42010
42,11,256,256,100.0,42011
42,12,212,212,100.0,42012
42,13,348,348,100.0,42013
42,14,566,566,100.0,42014
42,15,469,469,100.0,42015
42,17,555,555,100.0,42017
42,18,0,0,0.0,42018
42,19,496,496,100.0,42019
42,20,470,470,100.0,42020
42,22,207,207,100.0,42022
42,23,444,444,100.0,42023
42,24,419,419,100.0,42024
42,25,424,424,100.0,42025
42,26,576,576,100.0,42026
42,27,307,307,100.0,42027
42,28,455,455,100.0,42028
42,29,471,471,100.0,42029
42,30,322,322,100.0,42030
42,31,517,517,100.0,42031
42,32,455,455,100.0,42032
42,33,520,520,100.0,42033
42,34,351,351,100.0,42034
42,35,571,571,100.0,42035
42,36,152,152,100.0,42036
42,37,344,344,100.0,42037
42,38,409,409,100.0,42038
42,39,630,630,100.0,42039
42,40,615,615,100.0,42040
42,42,761,761,100.0,42042
43,1,241,241,100.0,43001
43,2,471,471,100.0,43002
43,3,416,416,100.0,43003
43,4,492,492,100.0,43004
43,5,390,390,100.0,43005
43,6,358,358,100.0,43006
43,7,281,281,100.0,43007
43,8,311,311,100.0,43008
43,9,425,425,100.0,43009
43,10,508,508,100.0,43010
43,11,385,385,100.0,43011
43,12,322,322,100.0,43012
43,13,440,440,100.0,43013
43,14,415,415,100.0,43014
43,15,433,433,100.0,43015
43,16,513,513,100.0,43016
43,17,340,340,100.0,43017
43,18,496,496,100.0,43018
43,19,486,486,100.0,43019
43,20,492,492,100.0,43020
43,21,479,479,100.0,43021
43,22,303,303,100.0,43022
43,23,328,328,100.0,43023
43,24,305,305,100.0,43024
43,25,345,345,100.0,43025
43,26,270,270,100.0,43026
43,27,428,428,100.0,43027
43,28,550,550,100.0,43028
43,29,420,420,100.0,43029
43,30,480,480,100.0,43030
43,31,424,424,100.0,43031
43,32,449,449,100.0,43032
43,33,430,430,100.0,43033
43,34,312,312,100.0,43034
43,35,421,421,100.0,43035
43,36,264,264,100.0,43036
43,37,510,510,100.0,43037
43,38,288,288,100.0,43038
43,39,396,396,100.0,43039
43,40,328,328,100.0,43040
43,41,582,582,100.0,43041
43,42,428,428,100.0,43042
43,43,376,376,100.0,43043
43,44,421,421,100.0,43044
43,45,265,265,100.0,43045
43,46,264,264,100.0,43046
44,1,782,782,100.0,44001
44,2,458,458,100.0,44002
44,3,303,303,100.0,44003
44,4,388,388,100.0,44004
44,5,582,582,100.0,44005
44,6,628,628,100.0,44006
44,7,312,312,100.0,44007
44,8,691,691,100.0,44008
44,9,478,478,100.0,44009
44,10,506,506,100.0,44010
44,11,513,513,100.0,44011
44,12,513,513,100.0,44012
44,13,376,376,100.0,44013
44,14,441,441,100.0,44014
44,15,433,433,100.0,44015
44,16,523,523,100.0,44016
44,17,681,681,100.0,44017
44,18,547,547,100.0,44018
44,19,600,600,100.0,44019
44,20,557,557,100.0,44020
44,21,648,648,100.0,44021
44,22,513,513,100.0,44022
44,23,504,504,100.0,44023
44,24,364,364,100.0,44024
44,25,493,493,100.0,44025
44,26,611,611,100.0,44026
44,27,576,576,100.0,44027
44,28,490,490,100.0,44028
44,29,496,496,100.0,44029
44,30,582,582,100.0,44030
44,31,408,408,100.0,44031
44,32,530,530,100.0,44032
44,33,542,542,100.0,44033
44,34,532,532,100.0,44034
44,35,558,558,100.0,44035
44,36,537,537,100.0,44036
44,37,553,553,100.0,44037
44,38,483,483,100.0,44038
44,39,513,513,100.0,44039
44,40,429,429,100.0,44040
44,41,628,628,100.0,44041
46,1,341,341,100.0,46001
46,2,432,432,100.0,46002
46,3,538,538,100.0,46003
46,4,432,432,100.0,46004
46,5,621,621,100.0,46005
46,6,363,363,100.0,46006
46,7,444,444,100.0,46007
46,8,300,300,100.0,46008
46,9,510,510,100.0,46009
46,10,749,749,100.0,46010
46,11,411,411,100.0,46011
46,12,516,516,100.0,46012
46,13,456,456,100.0,46013
46,14,408,408,100.0,46014
46,15,460,460,100.0,46015
46,16,543,543,100.0,46016
46,17,509,509,100.0,46017
46,18,511,511,100.0,46018
46,19,304,304,100.0,46019
46,20,360,360,100.0,46020
46,21,286,286,100.0,46021
46,22,332,332,100.0,46022
46,23,370,370,100.0,46023
46,24,548,548,100.0,46024
46,25,446,446,100.0,46025
46,26,524,524,100.0,46026
46,27,596,596,100.0,46027
46,28,438,438,100.0,46028
46,29,369,369,100.0,46029
46,30,468,468,100.0,46030
46,31,471,471,100.0,46031
46,32,429,429,100.0,46032
46,33,568,568,100.0,46033
46,34,564,564,100.0,46034
46,35,521,521,100.0,46035
46,36,437,437,100.0,46036
46,37,378,378,100.0,46037
46,38,501,501,100.0,46038
46,39,440,440,100.0,46039
46,40,383,383,100.0,46040
47,9,129,129,100.0,47009
47,11,448,448,100.0,47011
47,15,589,589,100.0,47015
47,18,421,421,100.0,47018
47,19,598,598,100.0,47019
47,23,547,547,100.0,47023
47,24,502,502,100.0,47024
47,33,150,150,100.0,47033
47,41,544,544,100.0,47041
47,44,428,428,100.0,47044
48,1,419,419,100.0,48001
48,2,205,205,100.0,48002
48,3,508,508,100.0,48003
48,4,433,433,100.0,48004
48,5,248,248,100.0,48005
48,6,564,564,100.0,48006
48,7,466,466,100.0,48007
48,8,234,234,100.0,48008
48,9,262,262,100.0,48009
48,10,689,689,100.0,48010
48,11,413,413,100.0,48011
48,12,571,571,100.0,48012
48,14,213,213,100.0,48014
48,16,457,457,100.0,48016
48,17,402,402,100.0,48017
48,18,287,287,100.0,48018
48,19,309,309,100.0,48019
48,20,532,532,100.0,48020
48,21,549,549,100.0,48021
48,23,424,424,100.0,48023
48,24,475,475,100.0,48024
48,25,417,417,100.0,48025
48,26,218,218,100.0,48026
48,27,348,348,100.0,48027
48,28,432,432,100.0,48028
48,29,200,200,100.0,48029
48,30,413,413,100.0,48030
48,31,281,281,100.0,48031
48,32,157,157,100.0,48032
48,34,400,400,100.0,48034
48,35,266,266,100.0,48035
48,36,241,241,100.0,48036
48,37,479,479,100.0,48037
48,38,449,449,100.0,48038
48,39,334,334,100.0,48039
48,40,421,421,100.0,48040
48,41,588,588,100.0,48041
48,42,558,558,100.0,48042
48,43,481,481,100.0,48043
48,44,600,600,100.0,48044
48,45,346,346,100.0,48045
49,2,322,322,100.0,49002
49,17,287,287,100.0,49017
